date;followers;following;fans
2013-09-02;1456;12;1444
2013-09-04;1476;12;1464
2013-09-06;1483;12;1471
2013-09-08;1489;12;1477
2013-09-10;1498;12;1486
2013-09-12;1505;12;1493
2013-09-14;1520;12;1508
2013-09-16;1522;12;1510
2013-09-18;1535;12;1523
2013-09-20;1541;12;1529
2013-09-22;1550;12;1538
2013-09-24;1562;12;1550
2013-09-26;1573;12;1561
2013-09-28;1583;12;1571
2013-09-30;1589;12;1577
2013-10-02;1595;12;1583
2013-10-04;1597;12;1585
2013-10-06;1604;12;1592
2013-10-08;1616;12;1604
2013-10-10;1625;12;1613
2013-10-12;1632;12;1620
2013-10-14;1639;12;1627
2013-10-16;1651;12;1639
2013-10-18;1654;12;1642
2013-10-20;1659;12;1647
2013-10-22;1661;12;1649
2013-10-24;1666;12;1654
2013-10-26;1672;12;1660
2013-10-28;1683;12;1671
2013-10-30;1687;12;1675
2013-11-01;1689;12;1677
2013-11-03;1696;12;1684
2013-11-05;1695;12;1683
2013-11-07;1699;12;1687
2013-11-09;1708;12;1696
2013-11-11;1717;12;1705
2013-11-13;1727;12;1715
2013-11-15;1738;12;1726
2013-11-17;1752;12;1740
2013-11-19;1767;12;1755
2013-11-21;1782;12;1770
2013-11-23;1791;12;1779
2013-11-25;1797;12;1785
2013-11-27;1802;12;1790
2013-11-29;1804;12;1792
2013-12-01;1810;12;1798
2013-12-03;1819;12;1807
2013-12-05;1822;12;1810
2013-12-07;1826;12;1814
2013-12-09;1837;12;1825
2013-12-11;1844;12;1832
2013-12-13;1852;12;1840
2013-12-15;1858;12;1846
2013-12-17;1865;12;1853
2013-12-19;1871;12;1859
2013-12-21;1875;12;1863
2013-12-23;1879;12;1867
2013-12-25;1882;12;1870
2013-12-27;1891;12;1879
2013-12-29;1895;12;1883
2013-12-31;1899;12;1887
2014-01-02;1911;12;1899
2014-01-04;1919;12;1907
2014-01-06;1924;12;1912
2014-01-08;1932;12;1920
2014-01-10;1932;12;1920
2014-01-12;1942;12;1930
2014-01-14;1949;12;1937
2014-01-16;1949;12;1937
2014-01-18;1951;12;1939
2014-01-20;1956;12;1944
2014-01-22;1960;12;1948
2014-01-24;1968;12;1956
2014-01-26;1980;12;1968
2014-01-28;1989;12;1977
2014-01-30;2007;12;1995
2014-02-01;2012;12;2000
2014-02-03;2024;12;2012
2014-02-05;2040;12;2028
2014-02-07;2046;12;2034
2014-02-09;2044;12;2032
2014-02-11;2055;12;2043
2014-02-13;2060;12;2048
2014-02-15;2062;12;2050
2014-02-17;2068;12;2056
2014-02-19;2072;12;2060
2014-02-21;2082;12;2070
2014-02-23;2093;12;2081
2014-02-25;2098;12;2086
2014-02-27;2102;12;2090
2014-03-01;2105;12;2093
2014-03-03;2109;12;2097
2014-03-05;2109;12;2097
2014-03-07;2109;12;2097
2014-03-09;2116;12;2104
2014-03-11;2118;12;2106
2014-03-13;2125;12;2113
2014-03-15;2131;12;2119
2014-03-17;2142;12;2130
2014-03-19;2146;12;2134
2014-03-21;2156;12;2144
2014-03-23;2167;12;2155
2014-03-25;2165;12;2153
2014-03-27;2167;12;2155
2014-03-29;2173;12;2161
2014-03-31;2178;12;2166
2014-04-02;2190;12;2178
2014-04-04;2194;12;2182
2014-04-06;2198;12;2186
2014-04-08;2207;12;2195
2014-04-10;2211;12;2199
2014-04-12;2219;12;2207
2014-04-14;2220;12;2208
2014-04-16;2225;12;2213
2014-04-18;2230;12;2218
2014-04-20;2231;12;2219
2014-04-22;2236;12;2224
2014-04-24;2238;12;2226
2014-04-26;2248;12;2236
2014-04-28;2252;12;2240
2014-04-30;2255;12;2243
2014-05-02;2263;12;2251
2014-05-04;2266;12;2254
