date;followers;following;fans
2013-04-17;2409;378;2031
2013-04-19;2408;378;2030
2013-04-22;2407;378;2029
2013-04-24;2411;378;2033
2013-04-26;2412;378;2034
2013-04-28;2416;378;2038
2013-04-30;2422;378;2044
2013-05-02;2428;378;2050
2013-05-04;2429;378;2051
2013-05-06;2428;378;2050
2013-05-08;2429;378;2051
2013-05-10;2429;378;2051
2013-05-12;2409;378;2031
2013-05-14;2417;378;2039
2013-05-16;2435;378;2057
2013-05-18;2443;378;2065
2013-05-20;2446;378;2068
2013-05-22;2449;378;2071
2013-05-24;2451;378;2073
2013-05-26;2454;378;2076
2013-05-28;2458;378;2080
2013-05-30;2464;378;2086
2013-06-01;2467;378;2089
2013-06-03;2472;378;2094
2013-06-05;2474;378;2096
2013-06-07;2475;378;2097
2013-06-09;2479;378;2101
2013-06-11;2479;378;2101
2013-06-20;2487;378;2109
2013-06-22;2489;378;2111
2013-06-24;2492;378;2114
2013-06-26;2493;378;2115
2013-06-28;2495;378;2117
2013-06-30;2499;378;2121
2013-07-02;2503;378;2125
2013-07-04;2506;378;2128
2013-07-06;2511;378;2133
2013-07-08;2512;378;2134
2013-07-10;2519;378;2141
2013-07-12;2522;378;2144
2013-07-14;2522;378;2144
2013-07-16;2525;378;2147
2013-07-18;2529;378;2151
2013-07-20;2531;378;2153
2013-07-22;2535;378;2157
2013-07-24;2536;378;2158
2013-07-26;2539;378;2161
2013-07-28;2538;377;2161
2013-07-30;2536;377;2159
2013-08-01;2537;377;2160
2013-08-03;2537;377;2160
2013-08-05;2537;377;2160
2013-08-07;2540;377;2163
2013-08-09;2549;377;2172
2013-08-11;2551;377;2174
2013-08-13;2551;377;2174
2013-08-15;2554;377;2177
2013-08-17;2557;377;2180
2013-08-19;2562;377;2185
2013-08-21;2565;377;2188
2013-08-23;2567;377;2190
2013-08-25;2566;377;2189
2013-08-27;2573;377;2196
2013-08-29;2578;377;2201
2013-08-31;2580;377;2203
2013-09-02;2582;377;2205
2013-09-04;2585;377;2208
2013-09-06;2587;377;2210
2013-09-08;2591;377;2214
2013-09-10;2593;377;2216
2013-09-12;2596;377;2219
2013-09-14;2598;377;2221
2013-09-16;2602;377;2225
2013-09-18;2599;377;2222
2013-09-20;2602;377;2225
2013-09-22;2601;377;2224
2013-09-24;2600;377;2223
2013-09-26;2600;377;2223
2013-09-28;2601;377;2224
2013-09-30;2603;377;2226
2013-10-02;2604;377;2227
2013-10-04;2606;378;2228
2013-10-06;2608;378;2230
2013-10-08;2608;378;2230
2013-10-10;2613;378;2235
2013-10-12;2615;378;2237
2013-10-14;2616;378;2238
2013-10-16;2621;378;2243
2013-10-18;2623;378;2245
2013-10-20;2627;378;2249
2013-10-22;2629;379;2250
2013-10-24;2632;379;2253
2013-10-26;2632;379;2253
2013-10-28;2631;379;2252
2013-10-30;2633;379;2254
2013-11-01;2634;379;2255
2013-11-03;2636;379;2257
2013-11-05;2640;379;2261
2013-11-07;2647;379;2268
2013-11-09;2650;379;2271
2013-11-11;2652;379;2273
2013-11-13;2656;379;2277
2013-11-15;2657;379;2278
2013-11-17;2655;379;2276
2013-11-19;2655;379;2276
2013-11-21;2655;379;2276
2013-11-23;2655;379;2276
2013-11-25;2655;379;2276
2013-11-27;2659;378;2281
2013-11-29;2659;378;2281
2013-12-01;2659;378;2281
2013-12-03;2661;378;2283
2013-12-05;2668;378;2290
2013-12-07;2668;378;2290
2013-12-09;2666;378;2288
2013-12-11;2670;378;2292
2013-12-13;2672;378;2294
2013-12-15;2674;378;2296
2013-12-17;2674;378;2296
2013-12-19;2674;378;2296
2013-12-21;2674;378;2296
2013-12-23;2675;378;2297
2013-12-25;2680;378;2302
2013-12-27;2682;378;2304
2013-12-29;2682;378;2304
2013-12-31;2681;378;2303
2014-01-02;2681;378;2303
2014-01-04;2686;378;2308
2014-01-06;2684;377;2307
2014-01-08;2685;377;2308
2014-01-10;2688;380;2308
2014-01-12;2689;380;2309
2014-01-14;2691;380;2311
2014-01-16;2698;374;2324
2014-01-18;2697;374;2323
2014-01-20;2704;374;2330
2014-01-22;2711;375;2336
2014-01-24;2714;375;2339
2014-01-26;2716;375;2341
2014-01-28;2718;375;2343
2014-01-30;2723;376;2347
2014-02-01;2730;378;2352
2014-02-03;2728;381;2347
2014-02-05;2732;381;2351
2014-02-07;2737;382;2355
2014-02-09;2745;384;2361
2014-02-11;2744;384;2360
2014-02-13;2745;384;2361
2014-02-15;2746;384;2362
2014-02-17;2747;384;2363
2014-02-19;2741;384;2357
2014-02-21;2743;384;2359
2014-02-23;2742;384;2358
2014-02-25;2742;384;2358
2014-02-27;2748;384;2364
2014-03-01;2750;384;2366
2014-03-03;2750;384;2366
2014-03-05;2751;384;2367
2014-03-07;2753;384;2369
2014-03-09;2759;384;2375
2014-03-11;2765;384;2381
2014-03-13;2769;384;2385
2014-03-15;2773;384;2389
2014-03-17;2775;384;2391
2014-03-19;2776;384;2392
2014-03-21;2779;384;2395
2014-03-23;2780;384;2396
2014-03-25;2783;384;2399
2014-03-27;2787;384;2403
2014-03-29;2785;384;2401
2014-03-31;2789;384;2405
2014-04-02;2791;384;2407
2014-04-04;2793;384;2409
2014-04-06;2792;384;2408
2014-04-08;2790;384;2406
2014-04-10;2787;385;2402
2014-04-12;2788;385;2403
2014-04-14;2791;385;2406
2014-04-16;2798;385;2413
2014-04-18;2804;385;2419
2014-04-20;2802;385;2417
2014-04-22;2805;385;2420
2014-04-24;2810;385;2425
2014-04-26;2808;385;2423
2014-04-28;2808;385;2423
2014-04-30;2811;386;2425
2014-05-02;2813;386;2427
2014-05-04;2812;386;2426
