date;followers;following;fans
2013-04-17;42339;354;41985
2013-04-18;42754;355;42399
2013-04-19;42964;359;42605
2013-04-20;43296;359;42937
2013-04-21;43590;359;43231
2013-04-22;43863;359;43504
2013-04-23;44118;359;43759
2013-04-24;44997;359;44638
2013-04-25;45740;359;45381
2013-04-26;46202;359;45843
2013-04-27;46671;359;46312
2013-04-28;47171;359;46812
2013-04-29;47827;359;47468
2013-04-30;48457;359;48098
2013-05-01;49124;359;48765
2013-05-02;50346;359;49987
2013-05-03;51458;359;51099
2013-05-04;52061;359;51702
2013-05-05;52482;359;52123
2013-05-06;52832;359;52473
2013-05-07;53046;359;52687
2013-05-08;53270;359;52911
2013-05-09;53565;359;53206
2013-05-10;53852;359;53493
2013-05-11;54128;359;53769
2013-05-12;54771;358;54413
2013-05-13;55277;359;54918
2013-05-14;55548;359;55189
2013-05-15;55916;359;55557
2013-05-16;56465;358;56107
2013-05-17;56758;358;56400
2013-05-18;57079;358;56721
2013-05-19;57426;361;57065
2013-05-20;57935;362;57573
2013-05-21;58594;362;58232
2013-05-22;59102;362;58740
2013-05-23;59663;362;59301
2013-05-24;60284;362;59922
2013-05-25;61006;362;60644
2013-05-26;62979;362;62617
2013-05-27;65916;362;65554
2013-05-28;67026;361;66665
2013-05-29;67747;361;67386
2013-05-30;68465;361;68104
2013-05-31;69092;362;68730
2013-06-01;69757;363;69394
2013-06-02;70828;363;70465
2013-06-03;72438;363;72075
2013-06-04;73194;363;72831
2013-06-05;73734;363;73371
2013-06-06;74227;363;73864
2013-06-07;74810;363;74447
2013-06-08;75219;366;74853
2013-06-09;75678;371;75307
2013-06-10;76184;371;75813
2013-06-11;76581;376;76205
2013-06-20;81270;377;80893
2013-06-21;81918;377;81541
2013-06-22;82633;377;82256
2013-06-23;84500;378;84122
2013-06-24;85999;378;85621
2013-06-25;87125;378;86747
2013-06-26;88125;378;87747
2013-06-27;88916;378;88538
2013-06-28;89739;378;89361
2013-06-29;90248;378;89870
2013-06-30;90821;378;90443
2013-07-01;91426;379;91047
2013-07-02;92642;379;92263
2013-07-03;93451;379;93072
2013-07-04;94070;379;93691
2013-07-05;94780;379;94401
2013-07-06;95505;379;95126
2013-07-07;96198;379;95819
2013-07-08;96803;380;96423
2013-07-09;97424;380;97044
2013-07-10;98111;380;97731
2013-07-11;98818;380;98438
2013-07-12;99559;380;99179
2013-07-13;100166;380;99786
2013-07-14;100707;380;100327
2013-07-15;101313;380;100933
2013-07-16;102096;380;101716
2013-07-17;102723;380;102343
2013-07-18;103398;380;103018
2013-07-19;104228;381;103847
2013-07-20;104863;381;104482
2013-07-21;105970;381;105589
2013-07-22;106745;381;106364
2013-07-23;107398;381;107017
2013-07-24;108115;381;107734
2013-07-25;108786;381;108405
2013-07-26;109523;381;109142
2013-07-27;110092;381;109711
2013-07-28;110710;380;110330
2013-07-29;111296;380;110916
2013-07-30;112090;380;111710
2013-07-31;112796;380;112416
2013-08-01;113582;380;113202
2013-08-02;114255;381;113874
2013-08-03;114873;381;114492
2013-08-04;115393;381;115012
2013-08-05;115985;381;115604
2013-08-06;116635;381;116254
2013-08-07;117298;381;116917
2013-08-08;117875;381;117494
