date;followers;following;fans
2013-12-06;1825;142;1683
2013-12-08;1823;144;1679
2013-12-10;1827;148;1679
2013-12-12;1811;145;1666
2013-12-14;1812;150;1662
2013-12-16;1815;148;1667
2013-12-18;1815;148;1667
2013-12-20;1808;152;1656
2013-12-22;1794;156;1638
2013-12-24;1788;159;1629
2013-12-26;1789;161;1628
2013-12-28;1785;162;1623
2013-12-30;1777;165;1612
2014-01-01;1780;167;1613
2014-01-03;1772;168;1604
2014-01-05;1770;169;1601
2014-01-07;1761;171;1590
2014-01-09;1761;173;1588
2014-01-11;1757;172;1585
2014-01-13;1755;174;1581
2014-01-15;1755;175;1580
2014-01-17;1758;176;1582
2014-01-19;1758;177;1581
2014-01-21;1757;180;1577
2014-01-23;1758;184;1574
2014-01-25;1750;181;1569
2014-01-27;1743;186;1557
2014-01-29;1740;189;1551
2014-02-01;1742;158;1584
2014-02-03;1743;158;1585
2014-02-05;1738;154;1584
2014-02-07;1730;156;1574
2014-02-09;1726;157;1569
2014-02-11;1720;160;1560
2014-02-13;1716;160;1556
2014-02-15;1713;162;1551
2014-02-17;1718;166;1552
2014-02-19;1711;168;1543
2014-02-21;1706;167;1539
2014-02-23;1706;168;1538
2014-02-25;1704;168;1536
2014-02-27;1694;166;1528
2014-03-01;1692;167;1525
2014-03-03;1688;167;1521
2014-03-05;1683;167;1516
2014-03-07;1684;168;1516
2014-03-09;1684;171;1513
2014-03-11;1689;172;1517
2014-03-13;1680;169;1511
2014-03-15;1679;169;1510
2014-03-17;1679;172;1507
2014-03-19;1672;171;1501
2014-03-21;1667;171;1496
2014-03-23;1667;172;1495
2014-03-25;1667;173;1494
2014-03-27;1666;176;1490
2014-03-29;1665;176;1489
2014-03-31;1663;179;1484
2014-04-02;1661;180;1481
2014-04-04;1663;181;1482
2014-04-06;1659;185;1474
2014-04-08;1662;185;1477
2014-04-10;1665;188;1477
2014-04-12;1672;194;1478
2014-04-14;1672;195;1477
2014-04-16;1668;133;1535
2014-04-18;1667;132;1535
2014-04-20;1664;134;1530
2014-04-22;1660;132;1528
2014-04-24;1666;135;1531
2014-04-26;1664;134;1530
2014-04-28;1656;135;1521
2014-04-30;1660;134;1526
2014-05-02;1659;140;1519
2014-05-04;1661;143;1518
