date;followers;following;fans
2013-04-18;1601;385;1216
2013-04-20;1600;385;1215
2013-04-22;1599;385;1214
2013-04-24;1600;385;1215
2013-04-26;1600;385;1215
2013-04-28;1598;385;1213
2013-04-30;1599;386;1213
2013-05-02;1601;386;1215
2013-05-04;1597;388;1209
2013-05-06;1597;388;1209
2013-05-08;1597;388;1209
2013-05-10;1596;388;1208
2013-05-12;1592;388;1204
2013-05-14;1592;388;1204
2013-05-16;1597;389;1208
2013-05-18;1598;388;1210
2013-05-20;1597;387;1210
2013-05-22;1599;387;1212
2013-05-24;1599;387;1212
2013-05-26;1598;387;1211
2013-05-28;1596;387;1209
2013-05-30;1596;387;1209
2013-06-01;1596;387;1209
2013-06-03;1597;387;1210
2013-06-05;1596;387;1209
2013-06-07;1595;387;1208
2013-06-09;1592;387;1205
2013-06-11;1597;387;1210
2013-06-20;1600;387;1213
2013-06-22;1601;387;1214
2013-06-24;1601;387;1214
2013-06-26;1601;387;1214
2013-06-28;1601;386;1215
2013-06-30;1600;386;1214
2013-07-02;1601;386;1215
2013-07-04;1602;386;1216
2013-07-06;1601;386;1215
2013-07-08;1601;386;1215
2013-07-10;1601;386;1215
2013-07-12;1601;386;1215
2013-07-14;1601;386;1215
2013-07-16;1602;386;1216
2013-07-18;1602;386;1216
2013-07-20;1602;386;1216
2013-07-22;1602;386;1216
2013-07-24;1602;386;1216
2013-07-26;1601;385;1216
2013-07-28;1599;384;1215
2013-07-30;1600;386;1214
2013-08-01;1600;386;1214
2013-08-03;1600;386;1214
2013-08-05;1600;387;1213
2013-08-07;1599;389;1210
2013-08-09;1597;389;1208
2013-08-11;1597;389;1208
2013-08-13;1597;389;1208
2013-08-15;1597;389;1208
2013-08-17;1597;389;1208
2013-08-19;1597;389;1208
2013-08-21;1597;389;1208
2013-08-23;1597;389;1208
2013-08-25;1597;389;1208
2013-08-27;1596;389;1207
2013-08-29;1596;388;1208
2013-08-31;1597;388;1209
2013-09-02;1597;388;1209
2013-09-04;1600;389;1211
2013-09-06;1601;390;1211
2013-09-08;1601;390;1211
2013-09-10;1600;392;1208
2013-09-12;1601;392;1209
2013-09-14;1602;392;1210
2013-09-16;1603;392;1211
2013-09-18;1603;392;1211
2013-09-20;1601;391;1210
2013-09-22;1601;391;1210
2013-09-24;1601;391;1210
2013-09-26;1601;391;1210
2013-09-28;1601;393;1208
2013-09-30;1601;394;1207
2013-10-02;1601;395;1206
2013-10-04;1600;395;1205
2013-10-06;1599;395;1204
2013-10-08;1600;395;1205
2013-10-10;1600;396;1204
2013-10-12;1600;396;1204
2013-10-14;1600;396;1204
2013-10-16;1600;396;1204
2013-10-18;1602;396;1206
2013-10-20;1604;396;1208
2013-10-22;1603;396;1207
2013-10-24;1604;396;1208
2013-10-26;1603;396;1207
2013-10-28;1603;397;1206
2013-10-30;1601;397;1204
2013-11-01;1603;396;1207
2013-11-03;1601;396;1205
2013-11-05;1599;395;1204
2013-11-07;1600;395;1205
2013-11-09;1601;397;1204
2013-11-11;1600;398;1202
2013-11-13;1600;398;1202
2013-11-15;1600;398;1202
2013-11-17;1600;398;1202
2013-11-19;1601;398;1203
2013-11-21;1601;398;1203
2013-11-23;1602;398;1204
2013-11-25;1602;398;1204
2013-11-27;1601;398;1203
2013-11-29;1603;398;1205
2013-12-01;1604;398;1206
2013-12-03;1602;397;1205
2013-12-05;1601;397;1204
2013-12-07;1598;397;1201
2013-12-09;1598;397;1201
2013-12-11;1599;397;1202
2013-12-13;1599;397;1202
2013-12-15;1598;397;1201
2013-12-17;1598;397;1201
2013-12-19;1597;398;1199
2013-12-21;1596;398;1198
2013-12-23;1596;398;1198
2013-12-25;1596;398;1198
2013-12-27;1596;398;1198
2013-12-29;1594;399;1195
2013-12-31;1593;399;1194
2014-01-02;1592;400;1192
2014-01-04;1591;400;1191
2014-01-06;1590;400;1190
2014-01-08;1591;399;1192
2014-01-10;1591;399;1192
2014-01-12;1590;398;1192
2014-01-14;1591;398;1193
2014-01-16;1591;398;1193
2014-01-18;1592;398;1194
2014-01-20;1594;398;1196
2014-01-22;1592;398;1194
2014-01-24;1592;398;1194
2014-01-26;1592;398;1194
2014-01-28;1592;398;1194
2014-01-30;1591;398;1193
2014-02-01;1593;398;1195
2014-02-03;1592;398;1194
2014-02-05;1592;399;1193
2014-02-07;1591;399;1192
2014-02-09;1590;399;1191
2014-02-11;1590;399;1191
2014-02-13;1589;399;1190
2014-02-15;1590;399;1191
2014-02-17;1592;399;1193
2014-02-19;1592;399;1193
2014-02-21;1592;398;1194
2014-02-23;1591;398;1193
2014-02-25;1589;399;1190
2014-02-27;1586;399;1187
2014-03-01;1586;399;1187
2014-03-03;1586;402;1184
2014-03-05;1586;402;1184
2014-03-07;1586;402;1184
2014-03-09;1587;402;1185
2014-03-11;1588;402;1186
2014-03-13;1587;402;1185
2014-03-15;1587;402;1185
2014-03-17;1589;402;1187
2014-03-19;1590;402;1188
2014-03-21;1591;402;1189
2014-03-23;1589;402;1187
2014-03-25;1589;403;1186
2014-03-27;1587;403;1184
2014-03-29;1586;403;1183
2014-03-31;1586;403;1183
2014-04-02;1587;406;1181
2014-04-04;1589;406;1183
2014-04-06;1589;406;1183
2014-04-08;1589;406;1183
2014-04-10;1588;407;1181
2014-04-12;1589;407;1182
2014-04-14;1589;407;1182
2014-04-16;1591;407;1184
2014-04-18;1589;407;1182
2014-04-20;1587;409;1178
2014-04-22;1587;409;1178
2014-04-24;1585;410;1175
2014-04-26;1585;410;1175
2014-04-28;1584;410;1174
2014-04-30;1584;410;1174
