date;followers;following;fans
2013-04-18;1166;6;1160
2013-04-20;1170;6;1164
2013-04-22;1170;6;1164
2013-04-24;1172;6;1166
2013-04-26;1176;6;1170
2013-04-28;1176;6;1170
2013-04-30;1176;6;1170
2013-05-02;1178;6;1172
2013-05-04;1181;6;1175
2013-05-06;1185;6;1179
2013-05-08;1185;6;1179
2013-05-10;1187;6;1181
2013-05-12;1190;6;1184
2013-05-14;1195;6;1189
2013-05-16;1197;6;1191
2013-05-18;1199;6;1193
2013-05-20;1202;6;1196
2013-05-22;1200;6;1194
2013-05-24;1207;6;1201
2013-05-26;1211;6;1205
2013-05-28;1214;6;1208
2013-05-30;1219;6;1213
2013-06-01;1217;6;1211
2013-06-03;1221;6;1215
2013-06-05;1224;6;1218
2013-06-07;1225;6;1219
2013-06-09;1229;6;1223
2013-06-11;1232;6;1226
2013-06-20;1238;6;1232
2013-06-22;1240;6;1234
2013-06-24;1246;6;1240
2013-06-26;1247;6;1241
2013-06-28;1248;6;1242
2013-06-30;1253;6;1247
2013-07-02;1255;6;1249
2013-07-04;1257;6;1251
2013-07-06;1259;6;1253
2013-07-08;1259;6;1253
2013-07-10;1261;6;1255
2013-07-12;1265;6;1259
2013-07-14;1271;6;1265
2013-07-16;1273;6;1267
2013-07-18;1277;6;1271
2013-07-20;1275;6;1269
2013-07-22;1277;6;1271
2013-07-24;1275;6;1269
2013-07-26;1282;6;1276
2013-07-28;1282;6;1276
2013-07-30;1283;6;1277
2013-08-01;1283;6;1277
2013-08-03;1290;6;1284
2013-08-05;1291;6;1285
2013-08-07;1298;6;1292
2013-08-09;1299;6;1293
2013-08-11;1299;6;1293
2013-08-13;1306;6;1300
2013-08-15;1307;6;1301
2013-08-17;1308;6;1302
2013-08-19;1316;6;1310
2013-08-21;1317;6;1311
2013-08-23;1320;6;1314
2013-08-25;1322;6;1316
2013-08-27;1322;6;1316
2013-08-29;1321;6;1315
2013-08-31;1327;6;1321
2013-09-02;1331;6;1325
2013-09-04;1334;6;1328
2013-09-06;1337;6;1331
2013-09-08;1344;6;1338
2013-09-10;1349;6;1343
2013-09-12;1351;6;1345
2013-09-14;1351;6;1345
2013-09-16;1351;6;1345
2013-09-18;1352;6;1346
2013-09-20;1354;6;1348
2013-09-22;1357;6;1351
2013-09-24;1357;6;1351
2013-09-26;1359;6;1353
2013-09-28;1359;6;1353
2013-09-30;1365;6;1359
2013-10-02;1369;6;1363
2013-10-04;1370;6;1364
2013-10-06;1377;6;1371
2013-10-08;1381;6;1375
2013-10-10;1383;6;1377
2013-10-12;1385;6;1379
2013-10-14;1389;6;1383
2013-10-16;1391;6;1385
2013-10-18;1396;6;1390
2013-10-20;1405;6;1399
2013-10-22;1411;6;1405
2013-10-24;1418;6;1412
2013-10-26;1424;6;1418
2013-10-28;1427;6;1421
2013-10-30;1441;6;1435
2013-11-01;1447;6;1441
2013-11-03;1449;6;1443
2013-11-05;1452;6;1446
2013-11-07;1456;6;1450
2013-11-09;1456;6;1450
2013-11-11;1455;6;1449
2013-11-13;1458;6;1452
2013-11-15;1458;6;1452
2013-11-17;1459;6;1453
2013-11-19;1462;6;1456
2013-11-21;1464;6;1458
2013-11-23;1467;6;1461
2013-11-25;1472;6;1466
2013-11-27;1472;6;1466
2013-11-29;1473;6;1467
2013-12-01;1481;6;1475
2013-12-03;1482;6;1476
2013-12-05;1487;6;1481
2013-12-07;1491;6;1485
2013-12-09;1490;6;1484
2013-12-11;1489;6;1483
2013-12-13;1492;6;1486
2013-12-15;1491;6;1485
2013-12-17;1490;6;1484
2013-12-19;1491;6;1485
2013-12-21;1493;6;1487
2013-12-23;1495;6;1489
2013-12-25;1494;6;1488
2013-12-27;1495;6;1489
2013-12-29;1495;6;1489
2013-12-31;1499;6;1493
2014-01-02;1499;6;1493
2014-01-04;1500;6;1494
2014-01-06;1503;6;1497
2014-01-08;1508;6;1502
2014-01-10;1510;6;1504
2014-01-12;1513;6;1507
2014-01-14;1515;6;1509
2014-01-16;1517;6;1511
2014-01-18;1517;6;1511
2014-01-20;1522;6;1516
2014-01-22;1526;6;1520
2014-01-24;1527;6;1521
2014-01-26;1528;6;1522
2014-01-28;1531;6;1525
2014-01-30;1537;6;1531
2014-02-01;1536;6;1530
2014-02-03;1540;6;1534
2014-02-05;1540;6;1534
2014-02-07;1541;6;1535
2014-02-09;1540;6;1534
2014-02-11;1541;6;1535
2014-02-13;1543;6;1537
2014-02-15;1547;6;1541
2014-02-17;1548;6;1542
2014-02-19;1549;6;1543
2014-02-21;1551;6;1545
2014-02-23;1551;6;1545
2014-02-25;1554;6;1548
2014-02-27;1555;6;1549
2014-03-01;1558;6;1552
2014-03-03;1560;6;1554
2014-03-05;1562;6;1556
2014-03-07;1570;6;1564
2014-03-09;1572;6;1566
2014-03-11;1572;6;1566
2014-03-13;1572;6;1566
2014-03-15;1575;6;1569
2014-03-17;1574;6;1568
2014-03-19;1574;6;1568
2014-03-21;1574;6;1568
2014-03-23;1575;6;1569
2014-03-25;1576;6;1570
2014-03-27;1581;6;1575
2014-03-29;1579;6;1573
2014-03-31;1578;6;1572
2014-04-02;1578;6;1572
2014-04-04;1578;6;1572
2014-04-06;1580;6;1574
2014-04-08;1585;6;1579
2014-04-10;1587;6;1581
2014-04-12;1591;6;1585
2014-04-14;1590;6;1584
2014-04-16;1592;6;1586
2014-04-18;1595;6;1589
2014-04-20;1594;6;1588
2014-04-22;1595;6;1589
2014-04-24;1599;6;1593
2014-04-26;1605;6;1599
2014-04-28;1610;6;1604
2014-04-30;1610;6;1604
2014-05-02;1611;6;1605
2014-05-04;1613;6;1607
