date;followers;following;fans
2013-04-17;32329;108;32221
2013-04-18;32650;108;32542
2013-04-19;32826;108;32718
2013-04-20;33056;108;32948
2013-04-21;33253;110;33143
2013-04-22;33505;111;33394
2013-04-23;33704;111;33593
2013-04-24;34291;111;34180
2013-04-25;34854;111;34743
2013-04-26;35227;111;35116
2013-04-27;35587;111;35476
2013-04-28;35964;111;35853
2013-04-29;36443;111;36332
2013-04-30;36869;112;36757
2013-05-01;37406;112;37294
2013-05-02;38851;112;38739
2013-05-03;39676;112;39564
2013-05-04;40184;113;40071
2013-05-05;40641;114;40527
2013-05-06;41054;114;40940
2013-05-07;41371;114;41257
2013-05-08;41670;114;41556
2013-05-09;41979;113;41866
2013-05-10;42329;113;42216
2013-05-11;42679;113;42566
2013-05-12;43347;113;43234
2013-05-13;43851;114;43737
2013-05-14;44205;114;44091
2013-05-15;44859;115;44744
2013-05-16;45545;114;45431
2013-05-17;46004;115;45889
2013-05-18;46509;115;46394
2013-05-19;46986;115;46871
2013-05-20;47582;115;47467
2013-05-21;48192;115;48077
2013-05-22;48751;116;48635
2013-05-23;49293;116;49177
2013-05-24;49895;116;49779
2013-05-25;50540;116;50424
2013-05-26;52395;116;52279
2013-05-27;54836;116;54720
2013-05-28;55963;116;55847
2013-05-29;56758;116;56642
2013-05-30;57563;116;57447
2013-05-31;58252;117;58135
2013-06-01;58839;117;58722
2013-06-02;59861;117;59744
2013-06-03;61006;117;60889
2013-06-04;61842;117;61725
2013-06-05;62458;117;62341
2013-06-06;62971;117;62854
2013-06-07;63453;117;63336
2013-06-08;63818;117;63701
2013-06-09;64327;117;64210
2013-06-10;64792;117;64675
2013-06-11;65205;116;65089
2013-06-20;69304;117;69187
2013-06-21;69899;117;69782
2013-06-22;70476;117;70359
2013-06-23;71038;117;70921
2013-06-24;71780;117;71663
2013-06-25;72344;117;72227
2013-06-26;72938;116;72822
2013-06-27;73585;116;73469
2013-06-28;74269;116;74153
2013-06-29;74718;116;74602
2013-06-30;75245;116;75129
2013-07-01;75695;116;75579
2013-07-02;76829;116;76713
2013-07-03;77503;116;77387
2013-07-04;78066;117;77949
2013-07-05;78675;117;78558
2013-07-06;79315;117;79198
2013-07-07;79876;117;79759
2013-07-08;80452;117;80335
2013-07-09;81038;117;80921
2013-07-10;81657;117;81540
2013-07-11;82243;117;82126
2013-07-12;82865;117;82748
2013-07-13;83382;117;83265
2013-07-14;83861;117;83744
2013-07-15;84390;117;84273
2013-07-16;85092;117;84975
2013-07-17;85638;117;85521
2013-07-18;86262;117;86145
2013-07-19;86869;118;86751
2013-07-20;87519;118;87401
2013-07-21;88133;118;88015
2013-07-22;88763;118;88645
2013-07-23;89222;118;89104
2013-07-24;89886;118;89768
2013-07-25;90525;118;90407
2013-07-26;91115;118;90997
2013-07-27;91624;118;91506
2013-07-28;92163;118;92045
2013-07-29;92713;118;92595
2013-07-30;93415;118;93297
2013-07-31;94068;118;93950
2013-08-01;94787;118;94669
2013-08-02;95408;119;95289
2013-08-03;96045;119;95926
2013-08-04;96523;119;96404
2013-08-05;96988;120;96868
2013-08-06;97654;121;97533
2013-08-07;98261;122;98139
2013-08-08;98806;122;98684
2013-08-09;99257;123;99134
2013-08-10;99844;123;99721
2013-08-11;100569;123;100446
2013-08-12;101495;123;101372
2013-08-13;103119;123;102996
2013-08-14;104011;123;103888
2013-08-15;104806;123;104683
2013-08-16;105367;123;105244
2013-08-17;105638;132;105506
2013-08-18;105759;133;105626
2013-08-19;106095;133;105962
2013-08-20;106524;133;106391
2013-08-21;106964;133;106831
2013-08-22;107278;133;107145
2013-08-23;107712;133;107579
2013-08-24;108049;133;107916
2013-08-25;108451;135;108316
2013-08-26;108880;135;108745
2013-08-27;109245;138;109107
2013-08-28;109553;138;109415
2013-08-29;109906;138;109768
2013-08-30;110459;138;110321
2013-08-31;111161;139;111022
2013-09-01;111741;139;111602
2013-09-02;112384;139;112245
2013-09-03;113017;139;112878
2013-09-04;113527;139;113388
2013-09-05;114079;139;113940
2013-09-06;114754;139;114615
2013-09-07;115270;139;115131
2013-09-08;115977;139;115838
2013-09-09;116482;139;116343
2013-09-10;117046;139;116907
2013-09-11;117510;139;117371
2013-09-12;118043;139;117904
2013-09-13;118515;139;118376
2013-09-14;119064;139;118925
2013-09-15;119617;139;119478
2013-09-16;120177;139;120038
2013-09-17;120600;140;120460
2013-09-18;121127;140;120987
2013-09-19;121526;140;121386
2013-09-20;122029;140;121889
2013-09-21;122423;140;122283
2013-09-22;122885;140;122745
2013-09-23;123368;140;123228
2013-09-24;123805;140;123665
2013-09-25;124221;140;124081
2013-09-26;124673;140;124533
2013-09-27;125185;140;125045
2013-09-28;125655;140;125515
2013-09-29;126126;139;125987
2013-09-30;126600;139;126461
2013-10-01;127141;139;127002
2013-10-02;127510;139;127371
2013-10-03;127951;140;127811
2013-10-04;128417;140;128277
2013-10-05;128883;140;128743
2013-10-06;129487;140;129347
2013-10-07;129951;140;129811
2013-10-08;130405;140;130265
2013-10-09;130862;140;130722
2013-10-10;131296;140;131156
2013-10-11;131768;142;131626
2013-10-12;132261;142;132119
2013-10-13;132700;142;132558
2013-10-14;133352;142;133210
2013-10-15;133840;142;133698
2013-10-16;134414;142;134272
2013-10-17;134915;144;134771
2013-10-18;135295;147;135148
2013-10-19;135700;147;135553
2013-10-20;136052;147;135905
2013-10-21;136346;148;136198
2013-10-22;136756;148;136608
2013-10-23;137088;149;136939
2013-10-24;137486;149;137337
2013-10-25;137849;149;137700
2013-10-26;138236;149;138087
2013-10-27;138569;149;138420
2013-10-28;139104;149;138955
2013-10-29;139551;149;139402
2013-10-30;139963;150;139813
2013-10-31;140339;150;140189
2013-11-01;140686;150;140536
2013-11-02;141044;150;140894
2013-11-03;141502;150;141352
2013-11-04;141811;150;141661
2013-11-05;142338;150;142188
2013-11-06;142754;150;142604
2013-11-07;143161;150;143011
2013-11-08;143567;150;143417
2013-11-09;144030;150;143880
2013-11-10;144498;151;144347
2013-11-11;144959;154;144805
2013-11-12;145290;154;145136
2013-11-13;145723;153;145570
2013-11-14;146110;153;145957
2013-11-15;146529;153;146376
2013-11-16;146879;153;146726
2013-11-17;147387;153;147234
2013-11-18;147797;154;147643
2013-11-19;148195;154;148041
2013-11-20;148532;154;148378
2013-11-21;149112;156;148956
2013-11-22;149466;156;149310
2013-11-23;149732;156;149576
2013-11-24;150140;157;149983
2013-11-25;150583;157;150426
2013-11-26;150960;157;150803
2013-11-27;151401;159;151242
2013-11-28;151782;160;151622
2013-11-29;152052;160;151892
2013-11-30;152470;160;152310
2013-12-01;152822;160;152662
2013-12-02;153127;160;152967
2013-12-03;153467;160;153307
2013-12-04;153747;161;153586
2013-12-05;154093;161;153932
2013-12-06;154335;161;154174
2013-12-07;154768;161;154607
2013-12-08;155199;161;155038
2013-12-09;155538;161;155377
2013-12-10;155866;161;155705
2013-12-11;156218;161;156057
2013-12-12;156594;161;156433
2013-12-13;156946;162;156784
2013-12-14;157100;162;156938
