date;followers;following;fans
2013-04-17;138453;3854;134599
2013-04-18;138505;3854;134651
2013-04-19;138561;3856;134705
2013-04-20;138625;3857;134768
2013-04-21;138669;3856;134813
2013-04-22;138742;3855;134887
2013-04-23;138814;3856;134958
2013-04-24;138918;3856;135062
2013-04-25;138999;3856;135143
2013-04-26;139083;3860;135223
2013-04-27;139168;3861;135307
2013-04-28;139219;3860;135359
2013-04-29;139263;3860;135403
2013-04-30;139321;3859;135462
2013-05-01;139412;3859;135553
2013-05-02;139479;3862;135617
2013-05-03;139561;3864;135697
2013-05-04;139636;3865;135771
2013-05-05;139702;3865;135837
2013-05-06;139753;3865;135888
2013-05-07;139889;3864;136025
2013-05-08;140035;3869;136166
2013-05-09;140164;3869;136295
2013-05-10;140245;3873;136372
2013-05-11;140149;3879;136270
2013-05-12;140223;3880;136343
2013-05-13;140274;3879;136395
2013-05-14;140443;3881;136562
2013-05-15;140588;3884;136704
2013-05-16;140708;3885;136823
2013-05-17;140809;3886;136923
2013-05-18;140889;3886;137003
2013-05-19;140932;3887;137045
2013-05-20;141005;3888;137117
2013-05-21;141060;3889;137171
2013-05-22;141139;3889;137250
2013-05-23;141200;3893;137307
2013-05-24;141254;3892;137362
2013-05-25;141343;3892;137451
2013-05-26;141378;3892;137486
2013-05-27;141439;3892;137547
2013-05-28;141505;3892;137613
2013-05-29;141613;3893;137720
2013-05-30;141713;3894;137819
2013-05-31;141776;3895;137881
2013-06-01;141851;3894;137957
2013-06-02;141910;3894;138016
2013-06-03;142001;3896;138105
2013-06-04;142084;3897;138187
2013-06-05;142167;3899;138268
2013-06-06;142241;3899;138342
2013-06-07;142309;3899;138410
2013-06-08;142374;3901;138473
2013-06-09;142416;3901;138515
2013-06-10;142443;3900;138543
2013-06-11;142482;3901;138581
2013-06-20;143113;3905;139208
2013-06-21;143218;3905;139313
2013-06-22;143305;3905;139400
2013-06-23;143372;3905;139467
2013-06-24;143445;3904;139541
2013-06-25;143505;3904;139601
2013-06-26;143578;3904;139674
2013-06-27;143680;3905;139775
2013-06-28;143748;3904;139844
2013-06-29;143822;3905;139917
2013-06-30;143873;3905;139968
2013-07-01;143987;3906;140081
2013-07-02;144063;3910;140153
2013-07-03;144145;3914;140231
2013-07-04;144213;3915;140298
2013-07-05;144275;3917;140358
2013-07-06;144342;3918;140424
2013-07-07;144402;3919;140483
2013-07-08;144448;3919;140529
2013-07-09;144485;3919;140566
2013-07-10;144558;3922;140636
2013-07-11;144643;3924;140719
2013-07-12;144812;3924;140888
2013-07-13;144952;3923;141029
2013-07-14;145046;3923;141123
2013-07-15;145108;3921;141187
2013-07-16;145217;3922;141295
2013-07-17;145275;3922;141353
2013-07-18;145437;3923;141514
2013-07-19;145515;3922;141593
2013-07-20;145565;3922;141643
