date;followers;following;fans
2013-04-17;3295;712;2583
2013-04-18;3296;712;2584
2013-04-19;3294;712;2582
2013-04-20;3292;712;2580
2013-04-21;3290;712;2578
2013-04-22;3294;712;2582
2013-04-23;3298;712;2586
2013-04-24;3306;711;2595
2013-04-26;3310;709;2601
2013-04-27;3315;709;2606
2013-04-28;3322;709;2613
2013-04-29;3322;710;2612
2013-04-30;3327;710;2617
2013-05-01;3325;710;2615
2013-05-02;3322;708;2614
2013-05-03;3324;707;2617
2013-05-04;3331;706;2625
2013-05-06;3331;706;2625
2013-05-07;3333;705;2628
2013-05-08;3351;706;2645
2013-05-09;3357;705;2652
2013-05-10;3358;705;2653
2013-05-11;3361;704;2657
2013-05-12;3369;705;2664
2013-05-13;3377;706;2671
2013-05-14;3387;706;2681
2013-05-16;3390;706;2684
2013-05-17;3393;705;2688
2013-05-18;3404;703;2701
2013-05-19;3410;703;2707
2013-05-20;3415;703;2712
2013-05-21;3412;694;2718
2013-05-22;3412;694;2718
2013-05-23;3424;693;2731
2013-05-25;3426;694;2732
2013-05-26;3432;694;2738
2013-05-27;3433;693;2740
2013-05-28;3436;693;2743
2013-05-29;3442;693;2749
2013-05-30;3457;690;2767
2013-05-31;3458;690;2768
2013-06-01;3468;693;2775
2013-06-02;3475;693;2782
2013-06-04;3481;693;2788
2013-06-05;3479;694;2785
2013-06-06;3477;693;2784
2013-06-07;3477;693;2784
2013-06-08;3477;693;2784
2013-06-09;3475;693;2782
2013-06-10;3488;694;2794
2013-06-11;3504;694;2810
2013-06-20;3576;695;2881
2013-06-21;3580;695;2885
2013-06-22;3592;695;2897
2013-06-23;3604;695;2909
2013-06-25;3614;695;2919
2013-06-26;3622;692;2930
2013-06-27;3627;693;2934
2013-06-28;3637;692;2945
2013-06-29;3641;691;2950
2013-06-30;3650;692;2958
2013-07-01;3664;686;2978
2013-07-03;3673;685;2988
2013-07-04;3677;685;2992
2013-07-05;3684;685;2999
2013-07-06;3690;688;3002
2013-07-07;3711;687;3024
2013-07-08;3714;687;3027
2013-07-09;3720;686;3034
2013-07-10;3721;685;3036
2013-07-11;3739;684;3055
2013-07-13;3740;684;3056
2013-07-14;3743;684;3059
2013-07-15;3751;683;3068
2013-07-16;3761;684;3077
2013-07-17;3776;683;3093
2013-07-18;3780;683;3097
2013-07-19;3786;684;3102
2013-07-21;3796;685;3111
2013-07-22;3808;685;3123
2013-07-23;3817;685;3132
2013-07-24;3856;685;3171
2013-07-25;3859;684;3175
