date;followers;following;fans
2014-03-04;4585;1244;3341
2014-03-06;4581;1245;3336
2014-03-07;4576;1245;3331
2014-03-08;4573;1245;3328
2014-03-10;4564;1244;3320
2014-03-11;4567;1244;3323
2014-03-13;4560;1244;3316
2014-03-14;4559;1244;3315
2014-03-15;4559;1244;3315
2014-03-17;4548;1244;3304
2014-03-18;4543;1243;3300
2014-03-20;4545;1242;3303
2014-03-21;4544;1243;3301
2014-03-22;4541;1243;3298
2014-03-23;4539;1243;3296
2014-03-25;4536;1243;3293
2014-03-26;4532;1243;3289
2014-03-28;4532;1243;3289
2014-03-29;4530;1243;3287
2014-03-30;4530;1243;3287
2014-04-01;4528;1244;3284
2014-04-02;4527;1244;3283
2014-04-03;4525;1244;3281
2014-04-05;4520;1244;3276
2014-04-06;4516;1244;3272
2014-04-07;4516;1244;3272
2014-04-09;4512;1244;3268
2014-04-10;4511;1245;3266
2014-04-12;4513;1246;3267
2014-04-13;4511;1246;3265
2014-04-14;4511;1245;3266
2014-04-16;4509;1244;3265
2014-04-17;4509;1244;3265
2014-04-18;4509;1244;3265
2014-04-20;4507;1244;3263
2014-04-21;4506;1244;3262
2014-04-22;4506;1244;3262
2014-04-24;4498;1244;3254
2014-04-25;4498;1244;3254
2014-04-26;4496;1244;3252
2014-04-28;4495;1244;3251
2014-04-29;4487;1244;3243
2014-04-30;4484;1244;3240
2014-05-02;4483;1244;3239
2014-05-03;4481;1244;3237
2014-05-04;4482;1244;3238
