date;followers;following;fans
2013-04-18;2846;668;2178
2013-04-20;2848;668;2180
2013-04-22;2857;668;2189
2013-04-24;2867;668;2199
2013-04-26;2870;668;2202
2013-04-28;2875;668;2207
2013-04-30;2883;668;2215
2013-05-02;2886;668;2218
2013-05-04;2887;668;2219
2013-05-06;2891;668;2223
2013-05-08;2895;668;2227
2013-05-10;2895;667;2228
2013-05-12;2889;664;2225
2013-05-14;2894;665;2229
2013-05-16;2907;665;2242
2013-05-18;2915;667;2248
2013-05-20;2926;667;2259
2013-05-22;2939;666;2273
2013-05-24;2948;666;2282
2013-05-26;2956;666;2290
2013-05-28;2964;666;2298
2013-05-30;2970;666;2304
2013-06-01;2973;666;2307
2013-06-03;2977;666;2311
2013-06-05;2983;666;2317
2013-06-07;2990;666;2324
2013-06-09;2992;666;2326
2013-06-11;2994;666;2328
2013-06-20;3010;664;2346
2013-06-22;3014;664;2350
2013-06-24;3016;664;2352
2013-06-26;3023;664;2359
2013-06-28;3029;664;2365
2013-06-30;3036;664;2372
2013-07-02;3039;664;2375
2013-07-04;3043;664;2379
2013-07-06;3051;664;2387
2013-07-08;3052;664;2388
2013-07-10;3059;664;2395
2013-07-12;3067;664;2403
2013-07-14;3068;664;2404
2013-07-16;3071;664;2407
2013-07-18;3075;664;2411
2013-07-20;3079;664;2415
2013-07-22;3083;664;2419
2013-07-24;3086;664;2422
2013-07-26;3088;664;2424
2013-07-28;3090;664;2426
2013-07-30;3089;664;2425
2013-08-01;3096;664;2432
2013-08-03;3102;664;2438
2013-08-05;3104;663;2441
2013-08-07;3115;662;2453
2013-08-09;3119;662;2457
2013-08-11;3122;662;2460
2013-08-13;3124;662;2462
2013-08-15;3129;662;2467
2013-08-17;3136;662;2474
2013-08-19;3144;662;2482
2013-08-21;3144;662;2482
2013-08-23;3147;662;2485
2013-08-25;3150;662;2488
2013-08-27;3152;662;2490
2013-08-29;3153;662;2491
2013-08-31;3162;662;2500
2013-09-01;3163;662;2501
2013-09-02;3166;662;2504
2013-09-03;3171;662;2509
2013-09-04;3176;662;2514
2013-09-05;3178;662;2516
2013-09-06;3182;662;2520
2013-09-08;3185;662;2523
2013-09-09;3192;662;2530
2013-09-10;3194;662;2532
2013-09-11;3197;662;2535
2013-09-12;3197;662;2535
2013-09-13;3203;662;2541
2013-09-15;3206;662;2544
2013-09-16;3207;662;2545
2013-09-17;3210;662;2548
2013-09-18;3214;662;2552
2013-09-19;3219;662;2557
2013-09-20;3222;662;2560
2013-09-22;3222;662;2560
2013-09-23;3224;662;2562
2013-09-24;3226;662;2564
2013-09-25;3227;662;2565
2013-09-26;3228;662;2566
2013-09-28;3235;662;2573
2013-09-29;3236;662;2574
2013-09-30;3239;662;2577
2013-10-01;3243;661;2582
2013-10-02;3243;661;2582
2013-10-03;3246;661;2585
2013-10-05;3251;661;2590
2013-10-06;3250;661;2589
2013-10-07;3252;661;2591
2013-10-08;3253;661;2592
2013-10-10;3256;661;2595
2013-10-11;3256;661;2595
2013-10-12;3258;661;2597
2013-10-13;3261;661;2600
2013-10-14;3262;662;2600
2013-10-15;3269;662;2607
2013-10-17;3273;662;2611
2013-10-18;3276;662;2614
2013-10-19;3277;662;2615
2013-10-20;3279;662;2617
2013-10-22;3284;662;2622
2013-10-23;3287;662;2625
2013-10-24;3293;662;2631
2013-10-25;3293;662;2631
2013-10-26;3296;662;2634
2013-10-27;3300;662;2638
2013-10-29;3296;662;2634
2013-10-30;3297;662;2635
2013-10-31;3299;662;2637
2013-11-01;3301;662;2639
2013-11-02;3302;662;2640
2013-11-04;3302;662;2640
2013-11-05;3306;662;2644
2013-11-06;3304;662;2642
2013-11-07;3305;662;2643
2013-11-08;3304;662;2642
2013-11-10;3303;662;2641
2013-11-11;3304;662;2642
2013-11-12;3309;662;2647
2013-11-13;3309;662;2647
2013-11-14;3313;662;2651
2013-11-16;3315;662;2653
2013-11-17;3320;662;2658
2013-11-18;3323;662;2661
2013-11-19;3328;662;2666
2013-11-21;3330;662;2668
2013-11-22;3331;662;2669
2013-11-23;3334;662;2672
2013-11-25;3335;662;2673
2013-11-26;3337;662;2675
2013-11-27;3338;662;2676
2013-11-28;3340;662;2678
2013-11-29;3342;662;2680
2013-11-30;3339;662;2677
2013-12-02;3341;662;2679
2013-12-03;3340;662;2678
2013-12-04;3344;662;2682
2013-12-05;3347;662;2685
2013-12-07;3346;662;2684
2013-12-08;3347;662;2685
2013-12-09;3346;662;2684
2013-12-10;3347;662;2685
2013-12-12;3350;662;2688
2013-12-13;3351;662;2689
2013-12-14;3353;662;2691
2013-12-15;3354;662;2692
2013-12-17;3359;662;2697
2013-12-18;3361;662;2699
2013-12-19;3363;662;2701
2013-12-20;3367;662;2705
2013-12-22;3367;662;2705
2013-12-23;3366;662;2704
2013-12-24;3366;662;2704
2013-12-26;3368;662;2706
2013-12-27;3369;662;2707
2013-12-28;3371;662;2709
2013-12-29;3373;662;2711
2013-12-31;3377;662;2715
2014-01-01;3378;662;2716
2014-01-02;3380;662;2718
2014-01-03;3380;662;2718
2014-01-05;3380;662;2718
2014-01-06;3379;662;2717
2014-01-07;3378;662;2716
2014-01-09;3383;662;2721
2014-01-10;3384;662;2722
2014-01-11;3384;662;2722
2014-01-13;3386;662;2724
2014-01-14;3388;662;2726
2014-01-15;3389;661;2728
2014-01-16;3391;661;2730
2014-01-18;3393;661;2732
2014-01-19;3396;661;2735
2014-01-20;3398;661;2737
2014-01-22;3403;661;2742
2014-01-23;3404;661;2743
2014-01-24;3406;660;2746
2014-01-25;3411;660;2751
2014-01-27;3413;660;2753
2014-01-28;3414;660;2754
2014-01-30;3416;660;2756
2014-01-31;3417;660;2757
2014-02-01;3419;660;2759
2014-02-02;3424;660;2764
2014-02-04;3429;661;2768
2014-02-05;3431;661;2770
2014-02-06;3439;660;2779
2014-02-08;3441;660;2781
2014-02-09;3445;660;2785
2014-02-10;3453;660;2793
2014-02-12;3452;660;2792
2014-02-13;3455;660;2795
2014-02-14;3456;660;2796
2014-02-16;3458;660;2798
2014-02-17;3461;660;2801
2014-02-18;3467;660;2807
2014-02-20;3469;660;2809
2014-02-21;3473;660;2813
2014-02-22;3476;660;2816
2014-02-24;3476;660;2816
2014-02-25;3480;660;2820
2014-02-26;3481;660;2821
2014-02-28;3482;661;2821
2014-03-01;3482;661;2821
2014-03-02;3481;661;2820
2014-03-04;3483;661;2822
2014-03-05;3481;661;2820
2014-03-06;3486;661;2825
2014-03-08;3491;661;2830
2014-03-09;3495;661;2834
2014-03-10;3495;661;2834
2014-03-12;3496;661;2835
2014-03-13;3495;661;2834
2014-03-14;3497;661;2836
2014-03-16;3499;661;2838
2014-03-17;3501;661;2840
2014-03-19;3504;661;2843
2014-03-20;3505;661;2844
2014-03-21;3508;661;2847
2014-03-22;3513;661;2852
2014-03-24;3515;661;2854
2014-03-25;3517;661;2856
2014-03-26;3520;661;2859
2014-03-28;3522;661;2861
2014-03-29;3524;661;2863
2014-03-31;3527;661;2866
2014-04-01;3529;661;2868
2014-04-02;3530;661;2869
2014-04-03;3532;661;2871
2014-04-05;3534;661;2873
2014-04-06;3534;661;2873
2014-04-07;3536;661;2875
2014-04-09;3540;661;2879
2014-04-10;3541;661;2880
2014-04-12;3545;661;2884
2014-04-13;3546;661;2885
2014-04-14;3549;661;2888
2014-04-16;3550;661;2889
2014-04-17;3553;661;2892
2014-04-18;3552;661;2891
2014-04-20;3551;660;2891
2014-04-21;3550;660;2890
2014-04-22;3551;660;2891
2014-04-24;3552;660;2892
2014-04-25;3555;660;2895
2014-04-26;3558;660;2898
2014-04-28;3560;660;2900
2014-04-29;3563;660;2903
2014-04-30;3565;660;2905
2014-05-02;3569;660;2909
2014-05-03;3574;660;2914
2014-05-04;3576;660;2916
