date;followers;following;fans
2013-04-18;4488;355;4133
2013-04-19;4488;355;4133
2013-04-20;4499;355;4144
2013-04-21;4504;355;4149
2013-04-22;4505;355;4150
2013-04-23;4509;355;4154
2013-04-24;4512;355;4157
2013-04-25;4517;355;4162
2013-04-26;4515;355;4160
2013-04-27;4519;355;4164
2013-04-28;4528;355;4173
2013-04-30;4529;355;4174
2013-05-01;4539;355;4184
2013-05-02;4549;355;4194
2013-05-03;4565;355;4210
2013-05-04;4574;355;4219
2013-05-05;4580;355;4225
2013-05-06;4584;355;4229
2013-05-07;4587;355;4232
2013-05-08;4600;355;4245
2013-05-09;4610;355;4255
2013-05-10;4618;352;4266
2013-05-12;4623;352;4271
2013-05-13;4627;352;4275
2013-05-14;4639;353;4286
2013-05-15;4658;354;4304
2013-05-16;4670;354;4316
2013-05-17;4681;355;4326
2013-05-18;4697;355;4342
2013-05-19;4700;355;4345
2013-05-20;4710;355;4355
2013-05-21;4728;355;4373
2013-05-23;4731;355;4376
2013-05-24;4736;355;4381
2013-05-25;4743;355;4388
2013-05-26;4746;355;4391
2013-05-27;4752;355;4397
2013-05-28;4764;355;4409
2013-05-29;4766;355;4411
2013-05-31;4785;355;4430
2013-06-01;4797;355;4442
2013-06-02;4805;355;4450
2013-06-03;4813;355;4458
2013-06-04;4823;355;4468
2013-06-05;4831;355;4476
2013-06-06;4839;355;4484
2013-06-07;4843;355;4488
2013-06-08;4850;355;4495
2013-06-10;4849;355;4494
2013-06-11;4858;355;4503
2013-06-20;4902;355;4547
2013-06-21;4909;355;4554
2013-06-22;4910;355;4555
2013-06-23;4915;355;4560
2013-06-24;4919;355;4564
2013-06-26;4931;355;4576
2013-06-27;4940;355;4585
2013-06-28;4947;355;4592
2013-06-29;4960;355;4605
2013-06-30;4971;355;4616
2013-07-01;4977;355;4622
2013-07-02;4983;355;4628
2013-07-03;4990;355;4635
2013-07-04;4999;355;4644
2013-07-05;5018;355;4663
2013-07-07;5023;355;4668
2013-07-08;5030;355;4675
2013-07-09;5040;355;4685
2013-07-10;5048;355;4693
2013-07-11;5053;355;4698
2013-07-12;5065;355;4710
2013-07-13;5073;355;4718
2013-07-14;5082;355;4727
2013-07-16;5086;355;4731
2013-07-17;5092;355;4737
2013-07-18;5098;355;4743
2013-07-19;5111;355;4756
2013-07-20;5113;355;4758
2013-07-21;5122;355;4767
2013-07-22;5128;355;4773
2013-07-23;5138;355;4783
2013-07-25;5145;355;4790
2013-07-26;5151;356;4795
2013-07-27;5160;356;4804
2013-07-28;5163;356;4807
2013-07-29;5176;356;4820
2013-07-30;5187;356;4831
2013-07-31;5194;356;4838
2013-08-01;5199;356;4843
2013-08-03;5205;356;4849
2013-08-04;5209;356;4853
2013-08-05;5212;356;4856
2013-08-06;5219;356;4863
2013-08-07;5227;355;4872
2013-08-08;5234;355;4879
2013-08-09;5244;355;4889
2013-08-11;5247;355;4892
2013-08-12;5252;355;4897
2013-08-13;5256;356;4900
2013-08-14;5259;356;4903
2013-08-15;5265;356;4909
2013-08-16;5270;356;4914
2013-08-17;5275;356;4919
2013-08-19;5283;356;4927
2013-08-20;5316;356;4960
2013-08-21;5325;357;4968
2013-08-22;5343;358;4985
2013-08-23;5353;364;4989
2013-08-24;5375;364;5011
2013-08-25;5390;364;5026
2013-08-26;5402;364;5038
2013-08-27;5413;385;5028
2013-08-28;5421;398;5023
2013-08-29;5439;428;5011
2013-08-30;5447;431;5016
2013-08-31;5457;476;4981
2013-09-01;5459;476;4983
2013-09-02;5469;476;4993
2013-09-03;5478;476;5002
2013-09-04;5489;476;5013
2013-09-05;5499;476;5023
2013-09-06;5505;483;5022
2013-09-07;5513;483;5030
2013-09-08;5522;483;5039
2013-09-09;5521;483;5038
2013-09-10;5525;519;5006
2013-09-11;5537;520;5017
2013-09-12;5543;527;5016
2013-09-13;5544;530;5014
2013-09-14;5550;530;5020
2013-09-15;5561;530;5031
2013-09-16;5569;530;5039
2013-09-17;5573;570;5003
2013-09-18;5581;570;5011
2013-09-19;5591;570;5021
2013-09-20;5600;570;5030
2013-09-21;5609;570;5039
2013-09-22;5613;570;5043
2013-09-23;5622;570;5052
2013-09-24;5627;570;5057
2013-09-25;5635;570;5065
2013-09-26;5653;570;5083
2013-09-27;5661;573;5088
2013-09-28;5668;573;5095
2013-09-29;5671;573;5098
2013-09-30;5676;573;5103
2013-10-01;5683;576;5107
2013-10-02;5694;640;5054
2013-10-03;5703;642;5061
2013-10-04;5713;642;5071
2013-10-05;5718;642;5076
2013-10-06;5722;642;5080
2013-10-07;5734;642;5092
2013-10-08;5737;642;5095
2013-10-09;5746;642;5104
2013-10-10;5758;642;5116
2013-10-11;5771;642;5129
2013-10-12;5782;642;5140
2013-10-13;5797;642;5155
2013-10-14;5806;642;5164
2013-10-15;5812;642;5170
2013-10-16;5817;642;5175
2013-10-17;5825;642;5183
2013-10-18;5832;642;5190
2013-10-19;5842;642;5200
2013-10-20;5851;642;5209
2013-10-21;5855;642;5213
2013-10-22;5863;642;5221
2013-10-23;5868;642;5226
2013-10-24;5879;642;5237
2013-10-25;5887;642;5245
2013-10-26;5893;642;5251
2013-10-27;5900;642;5258
2013-10-28;5906;642;5264
2013-10-29;5915;642;5273
2013-10-30;5925;642;5283
2013-10-31;5937;642;5295
2013-11-01;5944;642;5302
2013-11-02;5949;642;5307
2013-11-03;5955;642;5313
2013-11-04;5960;642;5318
2013-11-05;5964;642;5322
2013-11-06;5968;642;5326
