date;followers;following;fans
2013-04-18;2529;15;2514
2013-04-19;2560;15;2545
2013-04-20;2590;15;2575
2013-04-21;2597;15;2582
2013-04-22;2602;15;2587
2013-04-23;2610;15;2595
2013-04-24;2617;15;2602
2013-04-25;2626;15;2611
2013-04-26;2635;15;2620
2013-04-27;2668;15;2653
2013-04-28;2694;15;2679
2013-04-29;2704;15;2689
2013-04-30;2719;15;2704
2013-05-02;2734;15;2719
2013-05-03;2741;15;2726
2013-05-04;2757;15;2742
2013-05-05;2766;15;2751
2013-05-06;2774;15;2759
2013-05-07;2778;15;2763
2013-05-08;2790;15;2775
2013-05-09;2794;14;2780
2013-05-10;2794;14;2780
2013-05-11;2806;14;2792
2013-05-13;2818;15;2803
2013-05-14;2823;15;2808
2013-05-15;2831;16;2815
2013-05-16;2836;16;2820
2013-05-17;2837;16;2821
2013-05-18;2838;16;2822
2013-05-19;2843;16;2827
2013-05-20;2851;16;2835
2013-05-21;2882;16;2866
2013-05-23;2908;16;2892
2013-05-24;2945;16;2929
2013-05-25;2970;17;2953
2013-05-26;2994;17;2977
2013-05-27;3058;17;3041
2013-05-28;3077;17;3060
2013-05-29;3089;17;3072
2013-05-30;3118;17;3101
2013-06-01;3135;19;3116
2013-06-02;3160;19;3141
2013-06-03;3174;19;3155
2013-06-04;3179;19;3160
2013-06-05;3192;19;3173
2013-06-06;3193;19;3174
2013-06-07;3200;19;3181
2013-06-08;3205;19;3186
2013-06-09;3209;19;3190
2013-06-11;3211;19;3192
2013-06-20;3273;20;3253
2013-06-21;3276;19;3257
2013-06-22;3280;19;3261
2013-06-23;3286;19;3267
2013-06-24;3296;19;3277
2013-06-25;3306;19;3287
2013-06-27;3314;19;3295
2013-06-28;3319;19;3300
2013-06-29;3323;19;3304
2013-06-30;3328;19;3309
2013-07-01;3330;19;3311
2013-07-02;3337;19;3318
2013-07-03;3338;18;3320
2013-07-04;3341;18;3323
2013-07-05;3340;18;3322
2013-07-07;3342;18;3324
2013-07-08;3342;18;3324
2013-07-09;3345;18;3327
2013-07-10;3353;18;3335
2013-07-11;3359;18;3341
2013-07-12;3359;18;3341
2013-07-13;3365;18;3347
2013-07-14;3387;18;3369
2013-07-15;3402;18;3384
2013-07-17;3411;19;3392
2013-07-18;3443;19;3424
2013-07-19;3450;19;3431
2013-07-20;3454;19;3435
2013-07-21;3460;19;3441
2013-07-22;3461;19;3442
2013-07-23;3465;19;3446
2013-07-24;3467;19;3448
2013-07-25;3473;19;3454
2013-07-27;3505;19;3486
2013-07-28;3507;19;3488
2013-07-29;3507;19;3488
2013-07-30;3506;19;3487
2013-07-31;3530;19;3511
2013-08-01;3535;19;3516
2013-08-02;3539;19;3520
2013-08-03;3554;19;3535
2013-08-05;3558;19;3539
2013-08-06;3563;19;3544
2013-08-07;3653;19;3634
2013-08-08;3659;19;3640
2013-08-09;3675;19;3656
2013-08-10;3680;19;3661
2013-08-11;3708;20;3688
2013-08-13;3717;20;3697
2013-08-14;3735;20;3715
2013-08-15;3738;20;3718
2013-08-16;3743;20;3723
2013-08-17;3748;20;3728
2013-08-18;3761;20;3741
2013-08-19;3768;20;3748
2013-08-21;3772;20;3752
2013-08-22;3782;20;3762
2013-08-23;3785;20;3765
2013-08-24;3818;20;3798
2013-08-25;3829;20;3809
2013-08-26;3849;20;3829
2013-08-28;3857;20;3837
2013-08-29;3867;21;3846
2013-08-30;3874;21;3853
2013-08-31;3886;21;3865
2013-09-01;3901;21;3880
2013-09-02;3912;21;3891
2013-09-04;3939;21;3918
2013-09-05;3945;21;3924
2013-09-06;3953;21;3932
2013-09-07;3963;21;3942
2013-09-08;3971;21;3950
2013-09-09;3978;21;3957
2013-09-10;3979;21;3958
2013-09-12;3989;21;3968
2013-09-13;3989;21;3968
2013-09-14;3991;21;3970
2013-09-15;3998;21;3977
2013-09-16;4002;21;3981
2013-09-18;4009;21;3988
2013-09-19;4010;21;3989
2013-09-20;4011;21;3990
2013-09-21;4016;21;3995
2013-09-22;4018;21;3997
2013-09-23;4017;21;3996
2013-09-25;4016;21;3995
2013-09-26;4023;21;4002
2013-09-27;4032;21;4011
2013-09-28;4040;21;4019
2013-09-29;4042;21;4021
2013-09-30;4040;21;4019
2013-10-02;4045;21;4024
2013-10-03;4052;21;4031
2013-10-04;4056;21;4035
2013-10-05;4069;21;4048
2013-10-06;4078;21;4057
2013-10-07;4082;21;4061
2013-10-09;4081;21;4060
2013-10-10;4086;21;4065
2013-10-11;4083;21;4062
2013-10-12;4085;21;4064
2013-10-13;4084;21;4063
2013-10-15;4089;21;4068
2013-10-16;4090;21;4069
2013-10-17;4093;21;4072
2013-10-18;4094;21;4073
2013-10-20;4101;21;4080
2013-10-21;4104;21;4083
2013-10-22;4109;21;4088
2013-10-23;4110;21;4089
2013-10-24;4113;21;4092
2013-10-26;4117;23;4094
2013-10-27;4118;23;4095
2013-10-28;4131;23;4108
2013-10-29;4130;23;4107
2013-10-30;4132;23;4109
