date;followers;following;fans
2013-04-18;3943;166;3777
2013-04-19;3957;166;3791
2013-04-20;3969;166;3803
2013-04-21;3975;166;3809
2013-04-22;3982;166;3816
2013-04-23;3999;166;3833
2013-04-24;4006;166;3840
2013-04-25;4022;166;3856
2013-04-26;4031;166;3865
2013-04-27;4051;166;3885
2013-04-29;4057;166;3891
2013-04-30;4065;166;3899
2013-05-01;4073;166;3907
2013-05-02;4083;166;3917
2013-05-03;4090;166;3924
2013-05-04;4104;166;3938
2013-05-05;4115;166;3949
2013-05-06;4125;166;3959
2013-05-07;4139;166;3973
2013-05-08;4147;166;3981
2013-05-09;4163;166;3997
2013-05-11;4166;165;4001
2013-05-12;4176;165;4011
2013-05-13;4189;165;4024
2013-05-14;4203;167;4036
2013-05-15;4213;168;4045
2013-05-16;4222;168;4054
2013-05-17;4235;168;4067
2013-05-18;4251;168;4083
2013-05-19;4263;168;4095
2013-05-20;4288;168;4120
2013-05-22;4294;168;4126
2013-05-23;4314;168;4146
2013-05-24;4317;168;4149
2013-05-25;4334;168;4166
2013-05-26;4345;168;4177
2013-05-27;4354;168;4186
2013-05-28;4369;168;4201
2013-05-29;4395;170;4225
2013-05-31;4408;170;4238
2013-06-01;4421;170;4251
2013-06-02;4437;170;4267
2013-06-03;4450;170;4280
2013-06-04;4460;171;4289
2013-06-05;4463;171;4292
2013-06-06;4469;171;4298
2013-06-07;4485;172;4313
2013-06-09;4495;172;4323
2013-06-10;4511;172;4339
2013-06-11;4528;172;4356
2013-06-20;4737;182;4555
2013-06-21;4761;182;4579
2013-06-22;4796;183;4613
2013-06-23;4802;183;4619
2013-06-24;4820;183;4637
2013-06-26;4852;184;4668
2013-06-27;4869;183;4686
2013-06-28;4896;185;4711
2013-06-29;4907;187;4720
2013-06-30;4933;188;4745
2013-07-01;4946;188;4758
2013-07-02;4960;191;4769
2013-07-03;4980;191;4789
2013-07-04;4997;191;4806
2013-07-05;5026;191;4835
2013-07-07;5049;191;4858
2013-07-08;5061;191;4870
2013-07-09;5073;191;4882
2013-07-10;5083;191;4892
2013-07-11;5098;192;4906
2013-07-12;5103;192;4911
2013-07-13;5114;192;4922
2013-07-14;5132;192;4940
2013-07-16;5142;192;4950
2013-07-17;5158;191;4967
2013-07-18;5184;191;4993
2013-07-19;5203;191;5012
2013-07-20;5218;192;5026
2013-07-21;5234;192;5042
2013-07-22;5259;192;5067
2013-07-23;5272;192;5080
2013-07-24;5292;192;5100
2013-07-25;5303;192;5111
2013-07-26;5314;192;5122
2013-07-27;5328;192;5136
2013-07-28;5346;192;5154
2013-07-29;5356;192;5164
2013-07-30;5372;192;5180
2013-07-31;5386;192;5194
2013-08-01;5397;192;5205
2013-08-02;5407;192;5215
2013-08-03;5415;192;5223
2013-08-04;5430;192;5238
2013-08-05;5441;192;5249
2013-08-06;5455;192;5263
2013-08-07;5458;192;5266
2013-08-08;5470;192;5278
2013-08-09;5482;192;5290
2013-08-10;5497;192;5305
2013-08-11;5508;192;5316
2013-08-12;5525;192;5333
2013-08-13;5539;192;5347
2013-08-14;5548;192;5356
2013-08-15;5566;192;5374
2013-08-16;5580;192;5388
2013-08-17;5595;192;5403
2013-08-18;5618;192;5426
2013-08-19;5629;192;5437
2013-08-20;5642;196;5446
2013-08-21;5657;196;5461
2013-08-22;5678;196;5482
2013-08-23;5692;196;5496
2013-08-24;5710;197;5513
2013-08-25;5726;197;5529
2013-08-26;5737;197;5540
2013-08-27;5759;198;5561
2013-08-28;5772;199;5573
2013-08-29;5787;199;5588
2013-08-30;5802;199;5603
2013-08-31;5826;199;5627
2013-09-01;5837;199;5638
2013-09-02;5864;199;5665
2013-09-03;5890;199;5691
2013-09-04;5901;199;5702
2013-09-05;5943;199;5744
2013-09-06;5980;199;5781
2013-09-07;6003;199;5804
2013-09-08;6013;199;5814
2013-09-09;6058;198;5860
2013-09-10;6082;198;5884
2013-09-11;6113;196;5917
2013-09-12;6133;196;5937
2013-09-13;6147;196;5951
2013-09-14;6163;197;5966
2013-09-15;6180;197;5983
2013-09-16;6200;197;6003
2013-09-17;6215;197;6018
2013-09-18;6225;197;6028
2013-09-19;6228;197;6031
2013-09-20;6239;197;6042
2013-09-21;6254;197;6057
2013-09-22;6263;197;6066
2013-09-23;6265;197;6068
2013-09-24;6273;197;6076
2013-09-25;6286;197;6089
2013-09-26;6293;197;6096
2013-09-27;6302;197;6105
2013-09-28;6310;197;6113
2013-09-29;6318;197;6121
2013-10-01;6341;197;6144
2013-10-02;6350;197;6153
2013-10-03;6358;197;6161
2013-10-04;6361;197;6164
2013-10-05;6373;197;6176
2013-10-06;6384;198;6186
2013-10-07;6393;198;6195
2013-10-08;6401;198;6203
2013-10-09;6403;198;6205
2013-10-10;6406;198;6208
2013-10-11;6419;198;6221
2013-10-12;6425;199;6226
2013-10-13;6439;199;6240
2013-10-14;6446;199;6247
2013-10-15;6453;199;6254
2013-10-16;6458;199;6259
2013-10-17;6472;200;6272
2013-10-18;6478;200;6278
2013-10-19;6482;200;6282
2013-10-20;6487;200;6287
2013-10-21;6494;200;6294
2013-10-22;6499;200;6299
2013-10-23;6504;200;6304
2013-10-24;6505;200;6305
2013-10-25;6516;200;6316
2013-10-26;6531;200;6331
2013-10-27;6546;200;6346
2013-10-28;6557;200;6357
2013-10-29;6568;200;6368
2013-10-30;6589;200;6389
2013-10-31;6607;200;6407
2013-11-01;6632;200;6432
2013-11-02;6648;200;6448
2013-11-03;6652;200;6452
2013-11-04;6656;200;6456
2013-11-05;6664;200;6464
2013-11-06;6675;200;6475
2013-11-07;6690;200;6490
2013-11-08;6698;200;6498
2013-11-09;6706;200;6506
2013-11-10;6737;200;6537
2013-11-11;6749;200;6549
2013-11-12;6763;199;6564
2013-11-13;6771;199;6572
2013-11-14;6782;199;6583
2013-11-15;6787;200;6587
2013-11-16;6805;202;6603
2013-11-17;6814;203;6611
2013-11-18;6834;205;6629
2013-11-19;6846;210;6636
2013-11-20;6855;212;6643
2013-11-21;6871;212;6659
2013-11-22;6895;212;6683
2013-11-23;6904;212;6692
2013-11-24;6918;212;6706
2013-11-25;6929;212;6717
2013-11-26;6943;212;6731
2013-11-27;6956;212;6744
2013-11-28;6963;212;6751
2013-11-29;6975;212;6763
2013-11-30;6991;212;6779
2013-12-01;6999;212;6787
2013-12-02;7013;212;6801
2013-12-03;7021;212;6809
2013-12-04;7035;212;6823
2013-12-05;7042;212;6830
2013-12-06;7057;213;6844
2013-12-07;7065;213;6852
2013-12-08;7076;213;6863
2013-12-09;7085;213;6872
2013-12-11;7114;213;6901
2013-12-12;7128;213;6915
2013-12-13;7134;213;6921
2013-12-14;7139;213;6926
2013-12-15;7148;213;6935
2013-12-16;7156;213;6943
2013-12-17;7167;213;6954
2013-12-18;7178;213;6965
2013-12-19;7188;213;6975
2013-12-20;7193;213;6980
2013-12-21;7201;213;6988
2013-12-22;7216;213;7003
2013-12-23;7226;213;7013
2013-12-24;7235;213;7022
2013-12-25;7238;213;7025
2013-12-26;7242;213;7029
2013-12-27;7243;213;7030
2013-12-28;7248;213;7035
2013-12-29;7256;213;7043
2013-12-30;7259;213;7046
2013-12-31;7265;213;7052
2014-01-01;7272;213;7059
2014-01-02;7279;213;7066
2014-01-03;7287;213;7074
2014-01-04;7295;213;7082
2014-01-05;7307;213;7094
2014-01-06;7311;213;7098
2014-01-07;7324;213;7111
2014-01-08;7341;213;7128
2014-01-09;7354;213;7141
2014-01-10;7368;213;7155
2014-01-11;7374;214;7160
2014-01-12;7390;214;7176
2014-01-13;7398;213;7185
2014-01-14;7420;213;7207
2014-01-15;7429;216;7213
2014-01-16;7445;217;7228
2014-01-17;7467;217;7250
2014-01-18;7480;217;7263
2014-01-19;7490;217;7273
2014-01-20;7496;218;7278
2014-01-21;7504;218;7286
2014-01-22;7515;218;7297
2014-01-23;7534;218;7316
2014-01-24;7546;218;7328
2014-01-25;7568;218;7350
2014-01-26;7570;218;7352
2014-01-27;7572;218;7354
2014-01-28;7585;218;7367
2014-01-30;7602;218;7384
2014-01-31;7623;218;7405
2014-02-01;7633;218;7415
2014-02-02;7643;217;7426
2014-02-03;7656;217;7439
2014-02-04;7658;217;7441
2014-02-05;7674;217;7457
2014-02-06;7692;217;7475
2014-02-07;7700;217;7483
2014-02-08;7706;217;7489
2014-02-09;7716;217;7499
2014-02-10;7726;217;7509
2014-02-11;7743;218;7525
2014-02-12;7763;218;7545
2014-02-13;7780;218;7562
2014-02-14;7792;218;7574
2014-02-15;7809;218;7591
2014-02-16;7816;218;7598
2014-02-17;7825;218;7607
2014-02-18;7842;218;7624
2014-02-19;7852;218;7634
2014-02-20;7858;218;7640
2014-02-21;7867;218;7649
2014-02-22;7878;218;7660
2014-02-23;7885;218;7667
2014-02-24;7896;218;7678
2014-02-25;7908;218;7690
2014-02-26;7931;219;7712
2014-02-27;7962;219;7743
2014-02-28;7991;219;7772
2014-03-01;8024;219;7805
2014-03-02;8027;219;7808
2014-03-03;8040;219;7821
2014-03-04;8059;218;7841
2014-03-05;8095;218;7877
2014-03-06;8109;218;7891
2014-03-07;8125;219;7906
2014-03-08;8150;219;7931
2014-03-09;8160;219;7941
2014-03-10;8167;219;7948
2014-03-11;8174;219;7955
2014-03-12;8173;219;7954
2014-03-13;8178;219;7959
2014-03-14;8184;219;7965
2014-03-15;8188;220;7968
2014-03-16;8198;220;7978
2014-03-17;8203;220;7983
2014-03-18;8209;221;7988
2014-03-19;8218;221;7997
2014-03-20;8231;222;8009
2014-03-21;8250;222;8028
2014-03-22;8253;222;8031
2014-03-23;8261;222;8039
2014-03-24;8267;222;8045
2014-03-25;8276;222;8054
2014-03-26;8283;222;8061
2014-03-27;8303;222;8081
2014-03-28;8310;222;8088
2014-03-29;8326;222;8104
2014-03-30;8330;222;8108
2014-03-31;8338;222;8116
2014-04-01;8349;222;8127
2014-04-02;8360;222;8138
2014-04-03;8369;225;8144
2014-04-04;8395;225;8170
2014-04-05;8406;224;8182
2014-04-06;8414;224;8190
2014-04-07;8425;224;8201
2014-04-08;8437;224;8213
2014-04-09;8444;224;8220
2014-04-10;8452;225;8227
2014-04-11;8457;225;8232
2014-04-12;8473;225;8248
2014-04-13;8488;225;8263
2014-04-14;8499;225;8274
2014-04-15;8516;226;8290
2014-04-16;8531;226;8305
2014-04-17;8544;227;8317
2014-04-18;8555;228;8327
2014-04-19;8566;228;8338
2014-04-20;8573;228;8345
2014-04-21;8577;228;8349
2014-04-22;8589;228;8361
2014-04-23;8602;228;8374
2014-04-24;8621;228;8393
2014-04-25;8640;228;8412
2014-04-26;8665;228;8437
2014-04-27;8683;228;8455
2014-04-28;8689;228;8461
2014-04-29;8695;228;8467
2014-04-30;8706;228;8478
2014-05-01;8716;229;8487
2014-05-02;8726;229;8497
2014-05-03;8732;229;8503
2014-05-04;8739;229;8510
2014-05-05;8750;229;8521
