date;followers;following;fans
2013-05-29;1197;25;1172
2013-05-31;1201;25;1176
2013-06-02;1207;25;1182
2013-06-04;1206;25;1181
2013-06-06;1208;25;1183
2013-06-08;1206;25;1181
2013-06-10;1211;25;1186
2013-06-20;1234;25;1209
2013-06-22;1237;25;1212
2013-06-24;1246;25;1221
2013-06-26;1249;25;1224
2013-06-28;1260;25;1235
2013-06-30;1267;25;1242
2013-07-02;1269;25;1244
2013-07-04;1270;25;1245
2013-07-06;1269;25;1244
2013-07-08;1268;25;1243
2013-07-10;1270;25;1245
2013-07-12;1277;25;1252
2013-07-14;1281;25;1256
2013-07-16;1286;25;1261
2013-07-18;1286;25;1261
2013-07-20;1291;25;1266
2013-07-22;1292;25;1267
2013-07-24;1297;25;1272
2013-07-26;1296;25;1271
2013-07-28;1296;25;1271
2013-07-30;1300;25;1275
2013-08-01;1306;25;1281
2013-08-03;1308;25;1283
2013-08-05;1309;25;1284
2013-08-07;1311;25;1286
2013-08-09;1316;25;1291
2013-08-11;1316;25;1291
2013-08-13;1318;25;1293
2013-08-15;1323;25;1298
2013-08-17;1329;25;1304
2013-08-19;1331;25;1306
2013-08-21;1335;25;1310
2013-08-23;1340;25;1315
2013-08-25;1343;26;1317
2013-08-27;1341;26;1315
2013-08-29;1350;26;1324
2013-08-31;1354;26;1328
2013-09-02;1358;26;1332
2013-09-04;1364;26;1338
2013-09-06;1366;26;1340
2013-09-08;1368;26;1342
2013-09-10;1377;26;1351
2013-09-12;1381;26;1355
2013-09-14;1386;26;1360
2013-09-16;1391;26;1365
2013-09-18;1397;26;1371
2013-09-20;1404;26;1378
2013-09-22;1406;26;1380
2013-09-24;1411;26;1385
2013-09-26;1418;26;1392
2013-09-28;1422;26;1396
2013-09-29;1425;26;1399
2013-10-02;1427;26;1401
2013-10-04;1430;26;1404
2013-10-06;1430;26;1404
2013-10-08;1433;26;1407
2013-10-10;1439;26;1413
2013-10-12;1442;26;1416
2013-10-14;1441;26;1415
2013-10-16;1446;26;1420
2013-10-18;1448;26;1422
2013-10-20;1448;26;1422
2013-10-22;1448;26;1422
2013-10-24;1454;26;1428
2013-10-26;1456;26;1430
2013-10-28;1460;26;1434
2013-10-30;1466;26;1440
2013-11-01;1477;26;1451
2013-11-03;1477;26;1451
2013-11-05;1478;26;1452
2013-11-07;1483;26;1457
2013-11-09;1485;26;1459
2013-11-11;1488;26;1462
2013-11-13;1496;26;1470
2013-11-15;1499;26;1473
2013-11-17;1499;26;1473
2013-11-19;1504;26;1478
2013-11-21;1504;26;1478
2013-11-23;1508;26;1482
2013-11-25;1516;26;1490
2013-11-27;1516;26;1490
2013-11-29;1529;26;1503
2013-12-01;1532;26;1506
2013-12-03;1535;26;1509
2013-12-05;1537;26;1511
2013-12-07;1538;26;1512
2013-12-09;1539;26;1513
2013-12-11;1544;26;1518
2013-12-13;1546;26;1520
2013-12-15;1546;26;1520
2013-12-17;1551;26;1525
2013-12-19;1553;26;1527
2013-12-21;1557;26;1531
2013-12-23;1558;26;1532
2013-12-25;1557;26;1531
2013-12-27;1560;26;1534
2013-12-29;1559;26;1533
2013-12-31;1561;26;1535
2014-01-02;1562;26;1536
2014-01-04;1564;26;1538
2014-01-06;1565;26;1539
2014-01-08;1570;26;1544
2014-01-10;1573;26;1547
2014-01-12;1576;26;1550
2014-01-14;1578;26;1552
2014-01-16;1584;26;1558
2014-01-18;1585;26;1559
2014-01-20;1589;26;1563
2014-01-22;1590;26;1564
2014-01-24;1594;26;1568
2014-01-26;1597;26;1571
2014-01-28;1599;26;1573
2014-01-30;1602;26;1576
2014-02-01;1607;26;1581
2014-02-03;1609;26;1583
2014-02-05;1611;26;1585
2014-02-07;1614;26;1588
2014-02-09;1616;26;1590
2014-02-11;1615;26;1589
2014-02-13;1616;26;1590
2014-02-15;1618;26;1592
2014-02-17;1619;26;1593
2014-02-19;1622;26;1596
2014-02-21;1621;26;1595
2014-02-23;1623;26;1597
2014-02-25;1624;26;1598
2014-02-27;1628;26;1602
2014-03-01;1629;26;1603
2014-03-03;1632;26;1606
2014-03-05;1635;26;1609
2014-03-07;1634;26;1608
2014-03-09;1634;26;1608
2014-03-11;1637;26;1611
2014-03-13;1639;26;1613
2014-03-15;1639;26;1613
2014-03-17;1637;26;1611
2014-03-19;1640;26;1614
2014-03-21;1642;26;1616
2014-03-23;1645;26;1619
2014-03-25;1648;26;1622
2014-03-27;1649;26;1623
2014-03-29;1652;26;1626
2014-03-31;1653;26;1627
2014-04-02;1653;26;1627
2014-04-04;1654;26;1628
2014-04-06;1656;26;1630
2014-04-08;1657;26;1631
2014-04-10;1660;26;1634
2014-04-12;1660;26;1634
2014-04-14;1661;26;1635
2014-04-16;1664;26;1638
2014-04-18;1669;26;1643
2014-04-20;1669;26;1643
2014-04-22;1670;26;1644
2014-04-24;1670;26;1644
2014-04-26;1673;26;1647
2014-04-28;1674;26;1648
2014-04-30;1677;26;1651
2014-05-02;1677;26;1651
2014-05-04;1679;26;1653
