date;followers;following;fans
2013-11-14;1225;223;1002
2013-11-16;1229;223;1006
2013-11-18;1234;223;1011
2013-11-20;1246;222;1024
2013-11-22;1249;223;1026
2013-11-24;1248;223;1025
2013-11-26;1261;225;1036
2013-11-28;1267;226;1041
2013-11-30;1271;227;1044
2013-12-02;1271;223;1048
2013-12-04;1280;224;1056
2013-12-06;1280;224;1056
2013-12-08;1290;225;1065
2013-12-10;1297;225;1072
2013-12-12;1305;225;1080
2013-12-14;1313;226;1087
2013-12-16;1316;226;1090
2013-12-18;1319;226;1093
2013-12-20;1325;226;1099
2013-12-22;1328;226;1102
2013-12-24;1327;226;1101
2013-12-26;1332;226;1106
2013-12-28;1340;226;1114
2013-12-30;1351;226;1125
2014-01-01;1359;227;1132
2014-01-03;1368;228;1140
2014-01-05;1374;228;1146
2014-01-07;1383;229;1154
2014-01-09;1394;230;1164
2014-01-11;1401;231;1170
2014-01-13;1409;232;1177
2014-01-15;1417;233;1184
2014-01-17;1421;235;1186
2014-01-19;1430;237;1193
2014-01-21;1444;237;1207
2014-01-23;1461;238;1223
2014-01-25;1473;241;1232
2014-01-27;1479;237;1242
2014-01-30;1486;237;1249
2014-02-01;1494;238;1256
2014-02-03;1497;238;1259
2014-02-05;1517;242;1275
2014-02-07;1522;243;1279
2014-02-09;1527;245;1282
2014-02-11;1541;245;1296
2014-02-13;1541;245;1296
2014-02-15;1554;242;1312
2014-02-17;1556;243;1313
2014-02-19;1582;244;1338
2014-02-21;1587;244;1343
2014-02-23;1596;246;1350
2014-02-25;1605;246;1359
2014-02-27;1615;247;1368
2014-03-01;1628;247;1381
2014-03-03;1630;247;1383
2014-03-05;1636;247;1389
2014-03-07;1646;249;1397
2014-03-09;1652;250;1402
2014-03-11;1658;249;1409
2014-03-13;1670;249;1421
2014-03-15;1689;250;1439
2014-03-17;1715;250;1465
2014-03-19;1727;252;1475
2014-03-21;1731;252;1479
2014-03-23;1736;246;1490
2014-03-25;1753;247;1506
2014-03-27;1772;247;1525
2014-03-29;1783;249;1534
2014-03-31;1788;249;1539
2014-04-02;1796;250;1546
2014-04-04;1804;250;1554
2014-04-06;1814;250;1564
2014-04-08;1821;250;1571
2014-04-10;1838;250;1588
2014-04-12;1900;255;1645
2014-04-14;1913;255;1658
2014-04-16;1920;260;1660
2014-04-18;1942;262;1680
2014-04-20;1940;262;1678
2014-04-22;1952;264;1688
2014-04-24;1964;264;1700
2014-04-26;1988;265;1723
2014-04-28;2012;266;1746
2014-04-30;2026;266;1760
2014-05-02;2034;266;1768
2014-05-04;2046;266;1780
