date;followers;following;fans
2013-04-18;3487;1149;2338
2013-04-20;3491;1150;2341
2013-04-22;3491;1150;2341
2013-04-24;3497;1151;2346
2013-04-26;3501;1153;2348
2013-04-28;3502;1153;2349
2013-04-30;3510;1153;2357
2013-05-02;3512;1153;2359
2013-05-04;3520;1154;2366
2013-05-06;3523;1154;2369
2013-05-08;3524;1153;2371
2013-05-10;3524;1153;2371
2013-05-12;3516;1148;2368
2013-05-14;3526;1152;2374
2013-05-16;3526;1153;2373
2013-05-18;3533;1158;2375
2013-05-20;3537;1158;2379
2013-05-22;3543;1158;2385
2013-05-24;3548;1162;2386
2013-05-26;3554;1166;2388
2013-05-28;3552;1166;2386
2013-05-30;3557;1166;2391
2013-06-01;3557;1166;2391
2013-06-03;3561;1166;2395
2013-06-05;3564;1166;2398
2013-06-07;3566;1166;2400
2013-06-09;3571;1166;2405
2013-06-11;3568;1166;2402
2013-06-20;3599;1168;2431
2013-06-22;3602;1168;2434
2013-06-24;3605;1168;2437
2013-06-26;3609;1169;2440
2013-06-28;3615;1171;2444
2013-06-30;3618;1170;2448
2013-07-02;3619;1170;2449
2013-07-04;3622;1170;2452
2013-07-06;3627;1171;2456
2013-07-08;3629;1171;2458
2013-07-10;3631;1171;2460
2013-07-12;3643;1173;2470
2013-07-14;3641;1172;2469
2013-07-16;3645;1172;2473
2013-07-18;3650;1171;2479
2013-07-20;3653;1171;2482
2013-07-22;3656;1171;2485
2013-07-24;3658;1171;2487
2013-07-26;3661;1171;2490
2013-07-28;3661;1169;2492
2013-07-30;3666;1170;2496
2013-08-01;3673;1170;2503
2013-08-02;3677;1170;2507
2013-08-03;3678;1170;2508
2013-08-04;3678;1170;2508
2013-08-05;3674;1170;2504
2013-08-06;3673;1170;2503
2013-08-07;3673;1170;2503
2013-08-08;3680;1170;2510
2013-08-10;3678;1170;2508
2013-08-11;3680;1170;2510
2013-08-12;3683;1170;2513
2013-08-13;3685;1170;2515
2013-08-14;3682;1170;2512
2013-08-15;3685;1170;2515
2013-08-16;3689;1170;2519
2013-08-18;3689;1170;2519
2013-08-19;3691;1170;2521
2013-08-20;3698;1170;2528
2013-08-21;3696;1170;2526
2013-08-22;3694;1170;2524
2013-08-23;3697;1170;2527
2013-08-24;3696;1170;2526
2013-08-26;3698;1170;2528
2013-08-27;3696;1170;2526
2013-08-28;3703;1170;2533
2013-08-29;3706;1170;2536
2013-08-30;3705;1169;2536
2013-08-31;3706;1169;2537
2013-09-02;3712;1169;2543
2013-09-03;3713;1169;2544
2013-09-04;3714;1169;2545
2013-09-05;3714;1169;2545
2013-09-06;3716;1169;2547
2013-09-07;3717;1169;2548
2013-09-08;3720;1169;2551
2013-09-10;3720;1169;2551
2013-09-11;3720;1169;2551
2013-09-12;3721;1169;2552
2013-09-13;3719;1169;2550
2013-09-14;3720;1168;2552
2013-09-15;3724;1168;2556
2013-09-17;3727;1168;2559
2013-09-18;3728;1168;2560
2013-09-19;3731;1168;2563
2013-09-20;3733;1168;2565
2013-09-21;3738;1167;2571
2013-09-23;3739;1167;2572
2013-09-24;3741;1167;2574
2013-09-25;3743;1167;2576
2013-09-26;3744;1167;2577
2013-09-27;3745;1167;2578
2013-09-28;3743;1167;2576
2013-09-30;3741;1167;2574
2013-10-01;3739;1167;2572
2013-10-02;3739;1168;2571
2013-10-03;3741;1168;2573
2013-10-05;3744;1169;2575
2013-10-06;3745;1169;2576
2013-10-07;3743;1169;2574
2013-10-08;3744;1169;2575
2013-10-09;3745;1169;2576
2013-10-10;3746;1169;2577
2013-10-12;3748;1169;2579
2013-10-13;3748;1169;2579
2013-10-14;3749;1169;2580
2013-10-15;3755;1169;2586
2013-10-16;3759;1169;2590
2013-10-17;3760;1169;2591
2013-10-19;3763;1171;2592
2013-10-20;3761;1171;2590
2013-10-21;3760;1171;2589
2013-10-22;3762;1170;2592
2013-10-23;3768;1170;2598
2013-10-25;3770;1170;2600
2013-10-26;3773;1170;2603
2013-10-27;3773;1170;2603
2013-10-28;3775;1170;2605
2013-10-29;3771;1170;2601
2013-10-31;3775;1170;2605
2013-11-01;3774;1169;2605
2013-11-02;3776;1169;2607
2013-11-03;3780;1169;2611
2013-11-04;3781;1169;2612
2013-11-06;3781;1169;2612
2013-11-07;3783;1169;2614
2013-11-08;3785;1169;2616
2013-11-09;3786;1169;2617
2013-11-11;3787;1169;2618
2013-11-12;3787;1169;2618
2013-11-13;3786;1169;2617
2013-11-14;3786;1170;2616
2013-11-16;3784;1170;2614
2013-11-17;3789;1170;2619
2013-11-18;3789;1170;2619
2013-11-19;3792;1170;2622
2013-11-20;3796;1170;2626
2013-11-22;3803;1170;2633
2013-11-23;3805;1170;2635
2013-11-24;3807;1170;2637
2013-11-25;3817;1170;2647
2013-11-26;3824;1170;2654
2013-11-28;3827;1170;2657
2013-11-29;3834;1170;2664
