date;followers;following;fans
2013-07-24;5963;4387;1576
2013-07-26;5994;4193;1801
2013-07-28;5950;4035;1915
2013-07-30;5945;3889;2056
2013-08-01;5937;3764;2173
2013-08-03;5932;3765;2167
2013-08-05;5927;3764;2163
2013-08-07;5923;3605;2318
2013-08-09;5920;3614;2306
2013-08-11;5918;3616;2302
2013-08-13;5914;3620;2294
2013-08-15;5912;3618;2294
2013-08-17;5909;3629;2280
2013-08-19;5906;3628;2278
2013-08-21;5905;3632;2273
2013-08-23;5905;3632;2273
2013-08-25;5909;3632;2277
2013-08-27;5906;3634;2272
2013-08-29;5906;3644;2262
2013-08-31;5905;3662;2243
2013-09-02;5902;3662;2240
2013-09-04;5901;3668;2233
2013-09-06;5909;3685;2224
2013-09-08;5915;3688;2227
2013-09-10;5914;3691;2223
2013-09-12;5916;3697;2219
2013-09-14;5917;3699;2218
2013-09-16;5920;3699;2221
2013-09-18;5928;3707;2221
2013-09-20;5930;3716;2214
2013-09-22;5931;3724;2207
2013-09-24;5929;3727;2202
2013-09-26;5933;3742;2191
2013-09-28;5938;3748;2190
2013-09-30;5937;3748;2189
2013-10-02;5942;3748;2194
2013-10-04;5943;3747;2196
2013-10-06;5941;3746;2195
2013-10-08;5940;3751;2189
2013-10-10;5935;3749;2186
2013-10-12;5933;3749;2184
2013-10-14;5932;3750;2182
2013-10-16;5933;3752;2181
2013-10-18;5933;3756;2177
2013-10-20;5939;3763;2176
2013-10-22;5937;3767;2170
2013-10-24;5936;3768;2168
2013-10-26;5941;3795;2146
2013-10-28;5939;3795;2144
2013-10-30;5950;3807;2143
2013-11-01;5960;3826;2134
2013-11-03;5968;3838;2130
2013-11-05;5972;3846;2126
2013-11-07;5968;3851;2117
2013-11-09;5969;3876;2093
2013-11-11;5971;3874;2097
2013-11-13;5968;3890;2078
2013-11-15;5969;3906;2063
2013-11-17;5984;3931;2053
2013-11-19;5991;3946;2045
2013-11-21;5994;3950;2044
2013-11-23;5997;3960;2037
2013-11-25;5995;3960;2035
2013-11-27;6004;3975;2029
2013-11-29;6011;3984;2027
2013-12-01;6039;4008;2031
2013-12-03;6038;4020;2018
2013-12-05;6040;4035;2005
2013-12-07;6073;4086;1987
2013-12-09;6081;4085;1996
2013-12-11;6106;4130;1976
2013-12-13;6124;4162;1962
2013-12-15;6134;4188;1946
2013-12-17;6141;4220;1921
2013-12-19;6152;4242;1910
2013-12-21;6162;4270;1892
2013-12-23;6160;4269;1891
2013-12-25;6156;4279;1877
2013-12-27;6162;4276;1886
2013-12-29;6163;4276;1887
2013-12-31;6166;4277;1889
2014-01-02;6161;4276;1885
2014-01-04;6153;4275;1878
2014-01-06;6145;4269;1876
2014-01-08;6163;4313;1850
2014-01-10;6166;4314;1852
2014-01-12;6165;4311;1854
2014-01-14;6162;4307;1855
2014-01-16;6159;4306;1853
2014-01-18;6166;4318;1848
2014-01-20;6166;4327;1839
2014-01-22;6189;4357;1832
2014-01-24;6192;4363;1829
2014-01-26;6192;4361;1831
2014-01-28;6192;4369;1823
2014-01-30;6194;4368;1826
2014-02-01;6196;4376;1820
2014-02-03;6191;4375;1816
2014-02-05;6190;4396;1794
2014-02-07;6194;4423;1771
2014-02-09;6209;4458;1751
2014-02-11;6208;4495;1713
2014-02-13;6233;4549;1684
2014-02-15;6238;4559;1679
2014-02-17;6244;4555;1689
2014-02-19;6256;4580;1676
2014-02-21;6266;4457;1809
2014-02-23;6272;4357;1915
2014-02-25;6270;4244;2026
2014-02-27;6272;4216;2056
2014-03-01;6272;4212;2060
2014-03-03;6271;4214;2057
2014-03-05;6266;4212;2054
2014-03-07;6265;4213;2052
2014-03-09;6264;4214;2050
2014-03-11;6258;4207;2051
2014-03-13;6259;4208;2051
2014-03-15;6257;4207;2050
2014-03-17;6253;4205;2048
2014-03-19;6253;4200;2053
2014-03-21;6253;4210;2043
2014-03-23;6251;4086;2165
2014-03-25;6247;3975;2272
2014-03-27;6247;3966;2281
2014-03-29;6248;3927;2321
2014-03-31;6248;3926;2322
2014-04-02;6250;3868;2382
2014-04-04;6255;3884;2371
2014-04-06;6270;3835;2435
2014-04-08;6277;3801;2476
2014-04-10;6284;3811;2473
2014-04-12;6288;3805;2483
2014-04-14;6287;3804;2483
2014-04-16;6299;3830;2469
2014-04-18;6314;3807;2507
2014-04-19;6313;3808;2505
2014-04-21;6309;3807;2502
2014-04-22;6309;3806;2503
2014-04-23;6317;3826;2491
2014-04-25;6321;3812;2509
2014-04-26;6336;3819;2517
2014-04-27;6340;3820;2520
2014-04-29;6347;3798;2549
2014-04-30;6352;3809;2543
2014-05-01;6353;3814;2539
2014-05-03;6352;3815;2537
2014-05-04;6350;3814;2536
2014-05-06;6350;3815;2535
