date;followers;following;fans
2013-07-24;1969;733;1236
2013-07-26;1982;736;1246
2013-07-28;1996;736;1260
2013-07-30;2002;736;1266
2013-08-01;2010;736;1274
2013-08-03;2009;736;1273
2013-08-05;2009;736;1273
2013-08-07;2014;736;1278
2013-08-09;2012;736;1276
2013-08-11;2012;736;1276
2013-08-13;2013;736;1277
2013-08-15;2013;736;1277
2013-08-17;2021;736;1285
2013-08-19;2029;736;1293
2013-08-21;2035;735;1300
2013-08-23;2034;735;1299
2013-08-25;2036;735;1301
2013-08-27;2045;735;1310
2013-08-29;2044;735;1309
2013-08-31;2044;735;1309
2013-09-02;2045;735;1310
2013-09-04;2048;735;1313
2013-09-06;2059;735;1324
2013-09-08;2062;734;1328
2013-09-10;2068;734;1334
2013-09-12;2073;734;1339
2013-09-14;2081;734;1347
2013-09-16;2082;734;1348
2013-09-18;2099;734;1365
2013-09-20;2108;734;1374
2013-09-22;2119;733;1386
2013-09-24;2127;733;1394
2013-09-26;2148;733;1415
2013-09-28;2153;733;1420
2013-09-30;2154;733;1421
2013-10-02;2156;733;1423
2013-10-04;2163;733;1430
2013-10-06;2163;733;1430
2013-10-08;2168;733;1435
2013-10-10;2171;733;1438
2013-10-12;2173;733;1440
2013-10-14;2170;733;1437
2013-10-16;2170;733;1437
2013-10-18;2170;733;1437
2013-10-20;2172;733;1439
2013-10-22;2175;733;1442
2013-10-24;2177;733;1444
2013-10-26;2182;733;1449
2013-10-28;2187;732;1455
2013-10-30;2200;732;1468
2013-11-01;2226;732;1494
2013-11-03;2236;732;1504
2013-11-05;2255;732;1523
2013-11-07;2267;732;1535
2013-11-09;2275;732;1543
2013-11-11;2283;732;1551
2013-11-13;2290;732;1558
2013-11-15;2295;732;1563
2013-11-17;2296;732;1564
2013-11-19;2300;732;1568
2013-11-21;2312;732;1580
2013-11-23;2311;732;1579
2013-11-25;2313;732;1581
2013-11-27;2319;732;1587
2013-11-29;2331;732;1599
2013-12-01;2342;732;1610
2013-12-03;2356;732;1624
2013-12-05;2352;732;1620
2013-12-07;2354;732;1622
2013-12-09;2357;732;1625
2013-12-11;2358;732;1626
2013-12-13;2362;732;1630
2013-12-15;2361;732;1629
2013-12-17;2364;732;1632
2013-12-19;2371;732;1639
2013-12-21;2375;732;1643
2013-12-23;2379;732;1647
2013-12-25;2381;732;1649
2013-12-27;2386;732;1654
2013-12-29;2385;732;1653
2013-12-31;2386;732;1654
2014-01-02;2385;732;1653
2014-01-04;2387;732;1655
2014-01-06;2387;732;1655
2014-01-08;2391;732;1659
2014-01-10;2389;732;1657
2014-01-12;2392;732;1660
2014-01-14;2392;732;1660
2014-01-16;2396;732;1664
2014-01-18;2399;732;1667
2014-01-20;2398;732;1666
2014-01-22;2401;732;1669
2014-01-24;2402;732;1670
2014-01-26;2404;732;1672
2014-01-28;2406;732;1674
2014-01-30;2406;732;1674
2014-02-01;2406;732;1674
2014-02-03;2403;732;1671
2014-02-05;2403;732;1671
2014-02-07;2404;732;1672
2014-02-09;2405;732;1673
2014-02-11;2411;732;1679
2014-02-13;2421;732;1689
2014-02-15;2437;732;1705
2014-02-17;2448;732;1716
2014-02-19;2455;732;1723
2014-02-21;2472;732;1740
2014-02-23;2482;732;1750
2014-02-25;2499;732;1767
2014-02-27;2511;732;1779
2014-03-01;2515;732;1783
2014-03-03;2518;732;1786
2014-03-05;2526;732;1794
2014-03-07;2542;736;1806
2014-03-09;2551;736;1815
2014-03-11;2554;735;1819
2014-03-13;2565;737;1828
2014-03-15;2597;737;1860
2014-03-17;2615;737;1878
2014-03-19;2617;737;1880
2014-03-21;2612;737;1875
2014-03-23;2682;737;1945
2014-03-25;2705;737;1968
2014-03-27;2720;737;1983
2014-03-29;2737;738;1999
2014-03-31;2794;738;2056
2014-04-02;2806;738;2068
2014-04-04;2804;739;2065
2014-04-06;2799;739;2060
2014-04-08;2794;739;2055
2014-04-10;2791;739;2052
2014-04-12;2791;738;2053
2014-04-14;2792;738;2054
2014-04-16;2795;738;2057
2014-04-18;2791;738;2053
2014-04-20;2788;738;2050
2014-04-22;2789;738;2051
2014-04-24;2789;738;2051
2014-04-26;2785;738;2047
2014-04-28;2785;738;2047
2014-04-30;2783;738;2045
2014-05-02;2780;738;2042
2014-05-04;2778;738;2040
