date;followers;following;fans
2013-04-18;1770;2;1768
2013-04-20;1768;2;1766
2013-04-22;1767;2;1765
2013-04-24;1764;2;1762
2013-04-26;1763;2;1761
2013-04-28;1760;2;1758
2013-04-30;1760;2;1758
2013-05-02;1760;2;1758
2013-05-04;1759;2;1757
2013-05-06;1760;2;1758
2013-05-08;1758;2;1756
2013-05-10;1758;2;1756
2013-05-12;1755;2;1753
2013-05-14;1755;2;1753
2013-05-16;1754;2;1752
2013-05-18;1754;2;1752
2013-05-20;1753;2;1751
2013-05-22;1748;2;1746
2013-05-24;1746;2;1744
2013-05-26;1745;2;1743
2013-05-28;1743;2;1741
2013-05-30;1742;2;1740
2013-06-01;1742;2;1740
2013-06-03;1738;2;1736
2013-06-05;1739;2;1737
2013-06-07;1736;2;1734
2013-06-09;1731;2;1729
2013-06-11;1731;2;1729
2013-06-20;1725;2;1723
2013-06-22;1722;2;1720
2013-06-24;1720;2;1718
2013-06-26;1719;2;1717
2013-06-28;1719;2;1717
2013-06-30;1718;2;1716
2013-07-02;1718;2;1716
2013-07-04;1718;2;1716
2013-07-06;1717;2;1715
2013-07-08;1715;2;1713
2013-07-10;1712;2;1710
2013-07-12;1713;2;1711
2013-07-14;1709;2;1707
2013-07-16;1708;2;1706
2013-07-18;1704;2;1702
2013-07-20;1699;2;1697
2013-07-22;1699;2;1697
2013-07-24;1699;2;1697
2013-07-26;1693;2;1691
2013-07-28;1675;2;1673
2013-07-30;1667;2;1665
2013-08-01;1668;2;1666
2013-08-03;1667;2;1665
2013-08-05;1666;2;1664
2013-08-07;1666;2;1664
2013-08-09;1665;2;1663
2013-08-11;1664;2;1662
2013-08-13;1664;2;1662
2013-08-15;1663;2;1661
2013-08-17;1663;2;1661
2013-08-19;1661;2;1659
2013-08-21;1660;2;1658
2013-08-23;1660;2;1658
2013-08-25;1659;2;1657
2013-08-27;1658;2;1656
2013-08-29;1657;2;1655
2013-08-31;1656;2;1654
2013-09-02;1656;2;1654
2013-09-04;1655;2;1653
2013-09-06;1655;2;1653
2013-09-08;1653;2;1651
2013-09-10;1654;2;1652
2013-09-12;1652;2;1650
2013-09-14;1651;2;1649
2013-09-16;1649;2;1647
2013-09-18;1651;2;1649
2013-09-20;1650;2;1648
2013-09-22;1649;2;1647
2013-09-24;1646;2;1644
2013-09-26;1645;2;1643
2013-09-28;1645;2;1643
2013-09-30;1644;2;1642
2013-10-02;1643;2;1641
2013-10-04;1641;2;1639
2013-10-06;1641;2;1639
2013-10-08;1641;2;1639
2013-10-10;1641;2;1639
2013-10-12;1640;2;1638
2013-10-14;1640;2;1638
2013-10-16;1642;2;1640
2013-10-18;1641;2;1639
2013-10-20;1641;2;1639
2013-10-22;1640;2;1638
2013-10-24;1640;2;1638
2013-10-26;1640;2;1638
2013-10-28;1639;2;1637
2013-10-30;1636;2;1634
2013-11-01;1637;2;1635
2013-11-03;1635;2;1633
2013-11-05;1635;2;1633
2013-11-07;1635;2;1633
2013-11-09;1633;2;1631
2013-11-11;1633;2;1631
2013-11-13;1632;2;1630
2013-11-15;1631;2;1629
2013-11-17;1631;2;1629
2013-11-19;1630;2;1628
2013-11-21;1630;2;1628
2013-11-23;1628;2;1626
2013-11-25;1627;2;1625
2013-11-27;1628;2;1626
2013-11-29;1626;2;1624
2013-12-01;1626;2;1624
2013-12-03;1626;2;1624
2013-12-05;1625;2;1623
2013-12-07;1625;2;1623
2013-12-09;1625;2;1623
2013-12-11;1625;2;1623
2013-12-13;1625;2;1623
2013-12-15;1623;2;1621
2013-12-17;1623;2;1621
2013-12-19;1622;2;1620
2013-12-21;1620;2;1618
