date;followers;following;fans
2013-04-18;2245;664;1581
2013-04-20;2247;664;1583
2013-04-22;2252;664;1588
2013-04-24;2253;664;1589
2013-04-26;2256;664;1592
2013-04-28;2263;664;1599
2013-04-30;2271;664;1607
2013-05-02;2275;664;1611
2013-05-04;2282;664;1618
2013-05-06;2285;664;1621
2013-05-08;2292;664;1628
2013-05-10;2291;662;1629
2013-05-12;2256;639;1617
2013-05-14;2267;648;1619
2013-05-16;2289;658;1631
2013-05-18;2300;664;1636
2013-05-20;2299;664;1635
2013-05-22;2314;664;1650
2013-05-24;2315;664;1651
2013-05-26;2320;664;1656
2013-05-28;2332;664;1668
2013-05-30;2331;664;1667
2013-06-01;2334;664;1670
2013-06-03;2337;664;1673
2013-06-05;2341;664;1677
2013-06-07;2342;664;1678
2013-06-09;2340;664;1676
2013-06-11;2341;664;1677
2013-06-20;2356;664;1692
2013-06-22;2361;664;1697
2013-06-24;2368;664;1704
2013-06-26;2379;664;1715
2013-06-28;2389;664;1725
2013-06-30;2389;664;1725
2013-07-02;2392;664;1728
2013-07-04;2402;664;1738
2013-07-06;2404;664;1740
2013-07-08;2409;664;1745
2013-07-10;2416;664;1752
2013-07-12;2418;664;1754
2013-07-14;2420;664;1756
2013-07-16;2424;664;1760
2013-07-18;2431;664;1767
2013-07-20;2438;664;1774
2013-07-22;2441;664;1777
2013-07-24;2446;664;1782
2013-07-26;2451;663;1788
2013-07-28;2451;662;1789
2013-07-30;2455;662;1793
2013-08-01;2460;662;1798
2013-08-03;2459;663;1796
2013-08-05;2463;663;1800
2013-08-07;2466;663;1803
2013-08-09;2470;663;1807
2013-08-11;2473;663;1810
2013-08-13;2479;663;1816
2013-08-15;2483;663;1820
2013-08-17;2487;663;1824
2013-08-19;2491;663;1828
2013-08-21;2497;663;1834
2013-08-23;2502;663;1839
2013-08-25;2512;663;1849
2013-08-27;2518;663;1855
2013-08-29;2521;663;1858
2013-08-31;2526;663;1863
2013-09-02;2530;663;1867
2013-09-04;2531;663;1868
2013-09-06;2534;663;1871
2013-09-08;2539;663;1876
2013-09-10;2541;663;1878
2013-09-12;2551;663;1888
2013-09-14;2562;663;1899
2013-09-16;2564;663;1901
2013-09-18;2573;663;1910
2013-09-20;2580;663;1917
2013-09-22;2583;663;1920
2013-09-24;2585;663;1922
2013-09-26;2601;663;1938
2013-09-28;2611;663;1948
2013-09-30;2609;663;1946
2013-10-02;2610;663;1947
2013-10-04;2618;663;1955
2013-10-06;2620;663;1957
2013-10-08;2624;662;1962
2013-10-10;2623;662;1961
2013-10-12;2628;662;1966
2013-10-14;2629;662;1967
2013-10-16;2636;662;1974
2013-10-18;2645;662;1983
2013-10-20;2651;662;1989
2013-10-22;2660;662;1998
2013-10-24;2665;662;2003
2013-10-26;2667;661;2006
2013-10-28;2666;661;2005
2013-10-30;2667;661;2006
2013-11-01;2671;661;2010
2013-11-03;2673;661;2012
2013-11-05;2680;661;2019
2013-11-07;2684;661;2023
2013-11-09;2694;661;2033
2013-11-11;2705;661;2044
2013-11-13;2712;661;2051
2013-11-15;2717;661;2056
2013-11-17;2726;661;2065
2013-11-19;2735;661;2074
2013-11-21;2740;661;2079
2013-11-23;2747;661;2086
2013-11-25;2750;661;2089
2013-11-27;2753;661;2092
2013-11-29;2759;661;2098
2013-12-01;2765;661;2104
2013-12-03;2771;661;2110
2013-12-05;2775;661;2114
2013-12-07;2774;661;2113
2013-12-09;2777;661;2116
2013-12-11;2778;661;2117
2013-12-13;2782;661;2121
2013-12-15;2787;661;2126
2013-12-17;2789;661;2128
2013-12-19;2795;661;2134
2013-12-21;2799;661;2138
2013-12-23;2802;661;2141
2013-12-25;2806;661;2145
2013-12-27;2806;661;2145
2013-12-29;2810;661;2149
2013-12-31;2817;661;2156
2014-01-02;2821;661;2160
2014-01-04;2822;661;2161
2014-01-06;2831;661;2170
2014-01-08;2835;660;2175
2014-01-10;2837;661;2176
2014-01-12;2838;661;2177
2014-01-14;2846;661;2185
2014-01-16;2852;661;2191
2014-01-18;2858;661;2197
2014-01-20;2866;661;2205
2014-01-22;2867;661;2206
2014-01-24;2863;660;2203
2014-01-26;2861;660;2201
2014-01-28;2860;660;2200
2014-01-30;2861;660;2201
2014-02-01;2863;660;2203
2014-02-03;2865;660;2205
2014-02-05;2866;660;2206
2014-02-07;2865;660;2205
2014-02-09;2867;660;2207
2014-02-11;2867;660;2207
2014-02-13;2868;660;2208
2014-02-15;2869;660;2209
2014-02-17;2867;660;2207
2014-02-19;2866;660;2206
2014-02-21;2866;660;2206
2014-02-23;2871;660;2211
2014-02-25;2874;660;2214
2014-02-27;2873;660;2213
2014-03-01;2872;660;2212
2014-03-03;2869;660;2209
2014-03-05;2871;660;2211
2014-03-07;2875;660;2215
2014-03-09;2874;660;2214
2014-03-11;2870;660;2210
2014-03-13;2869;660;2209
2014-03-15;2869;659;2210
2014-03-17;2870;659;2211
2014-03-19;2869;659;2210
2014-03-21;2871;659;2212
2014-03-23;2873;659;2214
2014-03-25;2869;659;2210
2014-03-27;2866;659;2207
2014-03-29;2869;659;2210
2014-03-31;2869;659;2210
2014-04-02;2867;659;2208
2014-04-04;2867;659;2208
2014-04-06;2868;659;2209
2014-04-08;2864;659;2205
2014-04-10;2865;658;2207
2014-04-12;2869;658;2211
2014-04-14;2869;658;2211
2014-04-16;2866;658;2208
2014-04-18;2867;658;2209
2014-04-20;2868;657;2211
2014-04-22;2867;657;2210
2014-04-24;2867;657;2210
2014-04-26;2865;656;2209
2014-04-28;2862;656;2206
2014-04-30;2862;657;2205
2014-05-02;2862;657;2205
2014-05-04;2862;657;2205
