date;followers;following;fans
2013-04-18;1882;691;1191
2013-04-20;1885;692;1193
2013-04-22;1887;692;1195
2013-04-24;1889;692;1197
2013-04-26;1888;692;1196
2013-04-28;1890;692;1198
2013-04-30;1891;691;1200
2013-05-02;1889;691;1198
2013-05-04;1895;690;1205
2013-05-06;1896;691;1205
2013-05-08;1899;692;1207
2013-05-10;1896;692;1204
2013-05-12;1884;690;1194
2013-05-14;1890;691;1199
2013-05-16;1896;692;1204
2013-05-18;1899;692;1207
2013-05-20;1898;693;1205
2013-05-22;1896;693;1203
2013-05-24;1897;693;1204
2013-05-26;1898;694;1204
2013-05-28;1899;694;1205
2013-05-30;1897;694;1203
2013-06-01;1897;693;1204
2013-06-03;1898;693;1205
2013-06-05;1896;693;1203
2013-06-07;1896;693;1203
2013-06-09;1899;692;1207
2013-06-11;1899;692;1207
2013-06-20;1903;692;1211
2013-06-22;1904;692;1212
2013-06-24;1904;692;1212
2013-06-26;1904;692;1212
2013-06-28;1904;691;1213
2013-06-30;1904;691;1213
2013-07-02;1906;691;1215
2013-07-04;1904;691;1213
2013-07-06;1905;691;1214
2013-07-08;1905;691;1214
2013-07-10;1904;691;1213
2013-07-12;1903;690;1213
2013-07-14;1903;690;1213
2013-07-16;1904;690;1214
2013-07-18;1904;690;1214
2013-07-20;1906;689;1217
2013-07-22;1906;689;1217
2013-07-24;1906;689;1217
2013-07-26;1906;689;1217
2013-07-28;1903;687;1216
2013-07-30;1905;688;1217
2013-08-01;1906;688;1218
2013-08-03;1907;688;1219
2013-08-05;1903;688;1215
2013-08-07;1903;689;1214
2013-08-09;1905;689;1216
2013-08-11;1905;689;1216
2013-08-13;1905;689;1216
2013-08-15;1906;688;1218
2013-08-17;1906;689;1217
2013-08-19;1908;690;1218
2013-08-21;1909;690;1219
2013-08-23;1910;690;1220
2013-08-25;1910;690;1220
2013-08-27;1910;690;1220
2013-08-29;1909;690;1219
2013-08-31;1910;690;1220
2013-09-02;1908;690;1218
2013-09-04;1908;690;1218
2013-09-06;1908;690;1218
2013-09-08;1910;690;1220
2013-09-10;1911;690;1221
2013-09-12;1912;690;1222
2013-09-14;1911;691;1220
2013-09-16;1912;691;1221
2013-09-18;1914;691;1223
2013-09-20;1912;688;1224
2013-09-22;1913;688;1225
2013-09-24;1911;689;1222
2013-09-26;1911;689;1222
2013-09-28;1912;688;1224
2013-09-29;1913;688;1225
2013-10-02;1916;688;1228
2013-10-04;1916;688;1228
2013-10-06;1915;687;1228
2013-10-08;1916;687;1229
2013-10-10;1914;686;1228
2013-10-12;1912;686;1226
2013-10-14;1913;687;1226
2013-10-16;1914;686;1228
2013-10-18;1911;686;1225
2013-10-20;1911;686;1225
2013-10-22;1912;686;1226
2013-10-24;1913;686;1227
2013-10-26;1912;686;1226
2013-10-28;1911;686;1225
2013-10-30;1911;686;1225
2013-11-01;1911;686;1225
2013-11-03;1913;686;1227
2013-11-05;1915;686;1229
2013-11-07;1912;686;1226
2013-11-09;1909;686;1223
2013-11-11;1908;685;1223
2013-11-12;1909;685;1224
2013-11-15;1910;685;1225
2013-11-17;1911;685;1226
2013-11-19;1910;685;1225
2013-11-21;1910;685;1225
2013-11-23;1910;685;1225
