date;followers;following;fans
2013-04-18;2935;0;2935
2013-04-19;2936;0;2936
2013-04-20;2932;0;2932
2013-04-21;2931;0;2931
2013-04-22;2940;0;2940
2013-04-23;2941;0;2941
2013-04-24;2948;0;2948
2013-04-25;2949;0;2949
2013-04-26;2947;0;2947
2013-04-27;2953;0;2953
2013-04-28;2960;0;2960
2013-04-30;2960;0;2960
2013-05-01;2964;0;2964
2013-05-02;2961;0;2961
2013-05-03;2964;0;2964
2013-05-04;2968;0;2968
2013-05-05;2971;0;2971
2013-05-06;2971;0;2971
2013-05-07;2971;0;2971
2013-05-08;2970;0;2970
2013-05-09;2969;0;2969
2013-05-10;2962;0;2962
2013-05-11;2958;0;2958
2013-05-13;2964;0;2964
2013-05-14;2975;0;2975
2013-05-15;2982;0;2982
2013-05-16;2983;0;2983
2013-05-17;2980;0;2980
2013-05-18;2981;0;2981
2013-05-19;2979;0;2979
2013-05-20;2978;0;2978
2013-05-21;2984;0;2984
2013-05-23;2983;0;2983
2013-05-24;2982;0;2982
2013-05-25;2986;0;2986
2013-05-26;2990;0;2990
2013-05-27;2989;0;2989
2013-05-28;2991;0;2991
2013-05-29;2991;0;2991
2013-05-30;2994;0;2994
2013-06-01;2997;0;2997
2013-06-02;2999;0;2999
2013-06-03;3002;0;3002
2013-06-04;3001;0;3001
2013-06-05;3000;0;3000
2013-06-06;2999;0;2999
2013-06-07;3006;0;3006
2013-06-08;3005;0;3005
2013-06-10;3007;0;3007
2013-06-11;3008;0;3008
2013-06-20;3029;0;3029
2013-06-21;3029;0;3029
2013-06-22;3030;0;3030
2013-06-23;3038;0;3038
2013-06-24;3038;0;3038
2013-06-25;3036;0;3036
2013-06-27;3034;0;3034
2013-06-28;3034;0;3034
2013-06-29;3037;0;3037
2013-06-30;3037;0;3037
2013-07-01;3038;0;3038
2013-07-02;3037;0;3037
2013-07-03;3035;0;3035
2013-07-04;3034;0;3034
2013-07-05;3036;0;3036
2013-07-07;3043;0;3043
