date;followers;following;fans
2013-05-30;12596;593;12003
2013-05-31;12605;596;12009
2013-06-01;12628;600;12028
2013-06-02;12635;600;12035
2013-06-03;12646;600;12046
2013-06-04;12654;601;12053
2013-06-05;12656;602;12054
2013-06-06;12665;602;12063
2013-06-07;12673;602;12071
2013-06-08;12674;602;12072
2013-06-09;12682;602;12080
2013-06-10;12687;603;12084
2013-06-11;12705;583;12122
2013-06-20;12792;589;12203
2013-06-21;12803;589;12214
2013-06-22;12816;590;12226
2013-06-23;12825;590;12235
2013-06-24;12831;592;12239
2013-06-25;12849;600;12249
2013-06-26;12859;596;12263
2013-06-27;12872;598;12274
2013-06-28;12899;598;12301
2013-06-29;12908;580;12328
2013-06-30;12914;580;12334
2013-07-01;12913;580;12333
2013-07-02;12924;580;12344
2013-07-03;12925;580;12345
2013-07-08;12972;586;12386
2013-07-09;12998;553;12445
2013-07-10;13018;553;12465
2013-07-11;13027;554;12473
2013-07-12;13043;554;12489
2013-07-13;13047;555;12492
2013-07-14;13057;547;12510
2013-07-15;13075;548;12527
2013-07-16;13085;545;12540
2013-07-17;13093;546;12547
2013-07-18;13112;548;12564
2013-07-19;13141;552;12589
2013-07-20;13161;548;12613
2013-07-21;13165;549;12616
2013-07-22;13181;551;12630
2013-07-23;13197;551;12646
2013-07-24;13208;552;12656
2013-07-25;13219;552;12667
2013-07-26;13234;550;12684
2013-07-27;13250;549;12701
2013-07-28;13250;548;12702
2013-07-29;13263;549;12714
2013-07-30;13277;552;12725
2013-07-31;13285;547;12738
2013-08-01;13295;551;12744
2013-08-02;13308;547;12761
2013-08-03;13318;548;12770
2013-08-04;13323;545;12778
2013-08-05;13335;551;12784
2013-08-06;13340;553;12787
2013-08-07;13360;558;12802
2013-08-08;13382;555;12827
2013-08-09;13393;556;12837
2013-08-10;13399;558;12841
2013-08-11;13400;560;12840
2013-08-12;13412;557;12855
2013-08-13;13419;558;12861
2013-08-14;13429;557;12872
2013-08-15;13446;558;12888
2013-08-16;13453;482;12971
2013-08-17;13456;481;12975
2013-08-18;13458;482;12976
2013-08-19;13464;482;12982
2013-08-24;13476;481;12995
2013-08-25;13478;481;12997
2013-08-26;13491;480;13011
2013-08-27;13512;483;13029
2013-08-28;13534;485;13049
2013-08-29;13544;485;13059
2013-08-30;13554;484;13070
2013-08-31;13565;484;13081
2013-09-01;13582;485;13097
2013-09-02;13588;485;13103
2013-09-03;13600;475;13125
2013-09-04;13604;475;13129
2013-09-05;13613;479;13134
2013-09-06;13621;480;13141
2013-09-07;13630;481;13149
2013-09-08;13635;480;13155
2013-09-09;13643;471;13172
2013-09-10;13647;472;13175
2013-09-11;13647;473;13174
2013-09-12;13656;473;13183
2013-09-13;13668;473;13195
2013-09-14;13677;474;13203
2013-09-15;13684;475;13209
2013-09-16;13691;475;13216
2013-09-17;13696;475;13221
2013-09-18;13702;476;13226
2013-09-19;13704;476;13228
2013-09-20;13709;476;13233
2013-09-21;13714;476;13238
2013-09-22;13721;476;13245
2013-09-23;13723;476;13247
2013-09-24;13728;476;13252
2013-09-25;13739;476;13263
2013-09-26;13754;478;13276
2013-09-27;13759;467;13292
2013-09-28;13765;467;13298
2013-09-29;13771;465;13306
2013-09-30;13775;464;13311
2013-10-01;13785;464;13321
2013-10-02;13789;464;13325
2013-10-03;13807;468;13339
2013-10-04;13810;468;13342
2013-10-05;13812;468;13344
2013-10-06;13811;469;13342
2013-10-07;13824;469;13355
2013-10-08;13830;473;13357
2013-10-09;13829;475;13354
2013-10-10;13844;478;13366
2013-10-11;13852;480;13372
2013-10-12;13859;480;13379
2013-10-13;13869;472;13397
2013-10-14;13886;475;13411
2013-10-15;13890;471;13419
2013-10-16;13894;471;13423
2013-10-17;13902;472;13430
2013-10-18;13907;472;13435
2013-10-19;13917;472;13445
2013-10-20;13918;473;13445
2013-10-21;13931;473;13458
2013-10-22;13938;474;13464
2013-10-23;13944;475;13469
2013-10-24;13957;476;13481
2013-10-25;13958;479;13479
2013-10-26;13972;474;13498
2013-10-27;13974;473;13501
2013-10-28;13983;474;13509
2013-10-29;13988;475;13513
2013-10-30;14003;475;13528
2013-10-31;14008;478;13530
2013-11-01;14011;479;13532
2013-11-02;14013;481;13532
2013-11-03;14021;481;13540
2013-11-04;14021;481;13540
2013-11-05;14032;482;13550
2013-11-06;14037;484;13553
2013-11-07;14041;487;13554
2013-11-08;14049;487;13562
2013-11-13;14060;488;13572
2013-11-14;14061;488;13573
2013-11-15;14060;489;13571
2013-11-16;14065;489;13576
2013-11-17;14071;485;13586
2013-11-18;14080;488;13592
2013-11-19;14095;484;13611
2013-11-20;14097;485;13612
2013-11-21;14109;485;13624
