date;followers;following;fans
2013-09-21;1806;806;1000
2013-09-23;1808;806;1002
2013-09-25;1814;810;1004
2013-09-27;1819;810;1009
2013-09-29;1826;811;1015
2013-10-01;1829;811;1018
2013-10-03;1830;812;1018
2013-10-05;1837;812;1025
2013-10-07;1842;812;1030
2013-10-09;1851;814;1037
2013-10-11;1850;814;1036
2013-10-13;1858;814;1044
2013-10-15;1868;817;1051
2013-10-17;1873;818;1055
2013-10-19;1879;819;1060
2013-10-21;1880;821;1059
2013-10-23;1885;824;1061
2013-10-25;1890;825;1065
2013-10-27;1890;825;1065
2013-10-28;1894;828;1066
2013-10-31;1901;830;1071
2013-11-01;1910;830;1080
2013-11-04;1913;830;1083
2013-11-06;1921;830;1091
2013-11-08;1932;834;1098
2013-11-10;1937;834;1103
2013-11-12;1948;834;1114
2013-11-14;1958;836;1122
2013-11-16;1961;836;1125
2013-11-18;1962;836;1126
2013-11-20;1970;836;1134
2013-11-22;1978;836;1142
2013-11-23;1982;836;1146
2013-11-26;1990;836;1154
2013-11-28;2003;838;1165
2013-11-30;2008;838;1170
2013-12-02;2010;838;1172
2013-12-04;2015;838;1177
2013-12-06;2019;837;1182
2013-12-08;2020;837;1183
2013-12-10;2023;838;1185
2013-12-12;2026;838;1188
2013-12-14;2031;838;1193
2013-12-16;2036;838;1198
2013-12-18;2044;839;1205
2013-12-20;2049;840;1209
2013-12-22;2051;840;1211
2013-12-24;2052;841;1211
2013-12-26;2056;841;1215
2013-12-28;2056;841;1215
2013-12-30;2059;841;1218
2014-01-01;2065;841;1224
2014-01-03;2068;841;1227
2014-01-05;2075;843;1232
2014-01-07;2088;843;1245
2014-01-09;2089;844;1245
2014-01-11;2095;845;1250
2014-01-13;2103;845;1258
2014-01-15;2107;845;1262
2014-01-17;2114;846;1268
2014-01-19;2124;847;1277
2014-01-21;2130;847;1283
2014-01-23;2136;847;1289
2014-01-25;2145;847;1298
2014-01-27;2158;847;1311
2014-01-29;2165;848;1317
2014-02-01;2167;849;1318
2014-02-03;2173;849;1324
2014-02-04;2185;849;1336
2014-02-07;2190;850;1340
2014-02-09;2192;850;1342
2014-02-11;2199;850;1349
2014-02-13;2207;850;1357
2014-02-15;2213;850;1363
2014-02-17;2215;850;1365
2014-02-19;2222;850;1372
2014-02-21;2228;851;1377
2014-02-23;2228;851;1377
2014-02-25;2231;851;1380
2014-02-27;2240;852;1388
2014-03-01;2248;854;1394
2014-03-03;2251;854;1397
2014-03-05;2262;854;1408
2014-03-07;2270;858;1412
2014-03-09;2272;860;1412
2014-03-11;2286;860;1426
2014-03-13;2290;860;1430
2014-03-15;2291;860;1431
2014-03-17;2294;860;1434
2014-03-19;2295;860;1435
2014-03-21;2298;860;1438
2014-03-23;2300;860;1440
2014-03-25;2302;861;1441
2014-03-27;2316;861;1455
2014-03-29;2324;864;1460
2014-03-31;2329;865;1464
2014-04-02;2332;865;1467
2014-04-04;2339;866;1473
2014-04-06;2344;866;1478
2014-04-08;2346;866;1480
2014-04-10;2356;866;1490
2014-04-12;2359;866;1493
2014-04-14;2357;866;1491
2014-04-16;2363;866;1497
2014-04-18;2369;866;1503
2014-04-20;2373;866;1507
2014-04-22;2376;866;1510
2014-04-24;2381;867;1514
2014-04-26;2392;867;1525
2014-04-28;2399;867;1532
2014-04-30;2406;871;1535
2014-05-02;2413;871;1542
2014-05-04;2418;871;1547
