date;followers;following;fans
2013-04-18;6322;1531;4791
2013-04-19;6324;1531;4793
2013-04-20;6328;1532;4796
2013-04-21;6332;1531;4801
2013-04-22;6333;1531;4802
2013-04-23;6338;1531;4807
2013-04-24;6338;1532;4806
2013-04-25;6341;1533;4808
2013-04-26;6349;1533;4816
2013-04-27;6345;1533;4812
2013-04-28;6349;1534;4815
2013-04-30;6350;1536;4814
2013-05-01;6349;1536;4813
2013-05-02;6351;1536;4815
2013-05-03;6356;1537;4819
2013-05-04;6360;1539;4821
2013-05-05;6365;1542;4823
2013-05-06;6368;1544;4824
2013-05-07;6372;1545;4827
2013-05-08;6375;1546;4829
2013-05-09;6378;1547;4831
2013-05-10;6354;1549;4805
2013-05-12;6354;1548;4806
2013-05-13;6357;1548;4809
2013-05-14;6376;1548;4828
2013-05-15;6385;1548;4837
2013-05-16;6396;1549;4847
2013-05-17;6399;1549;4850
2013-05-18;6410;1549;4861
2013-05-19;6409;1552;4857
2013-05-20;6411;1554;4857
2013-05-21;6413;1555;4858
2013-05-23;6415;1554;4861
2013-05-24;6417;1555;4862
2013-05-25;6419;1558;4861
2013-05-26;6421;1561;4860
2013-05-27;6428;1565;4863
2013-05-28;6432;1566;4866
2013-05-29;6439;1567;4872
2013-05-30;6443;1565;4878
2013-06-01;6447;1566;4881
2013-06-02;6448;1566;4882
2013-06-03;6450;1567;4883
2013-06-04;6455;1567;4888
2013-06-05;6463;1567;4896
2013-06-06;6466;1568;4898
2013-06-07;6471;1568;4903
2013-06-08;6477;1568;4909
2013-06-10;6481;1568;4913
2013-06-11;6487;1569;4918
2013-06-20;6500;1569;4931
2013-06-21;6502;1569;4933
2013-06-22;6507;1569;4938
2013-06-23;6511;1569;4942
2013-06-24;6515;1572;4943
2013-06-25;6516;1573;4943
2013-06-27;6520;1574;4946
2013-06-28;6526;1574;4952
2013-06-29;6529;1574;4955
2013-06-30;6532;1575;4957
2013-07-01;6543;1578;4965
2013-07-02;6547;1579;4968
2013-07-03;6551;1579;4972
2013-07-04;6552;1578;4974
2013-07-05;6560;1577;4983
2013-07-07;6564;1578;4986
2013-07-08;6561;1578;4983
2013-07-09;6563;1577;4986
2013-07-10;6572;1578;4994
2013-07-11;6579;1577;5002
2013-07-12;6578;1577;5001
2013-07-13;6579;1573;5006
2013-07-14;6578;1564;5014
2013-07-15;6581;1557;5024
2013-07-16;6579;1554;5025
2013-07-17;6579;1553;5026
2013-07-18;6584;1553;5031
2013-07-19;6586;1554;5032
2013-07-20;6583;1555;5028
2013-07-21;6583;1555;5028
2013-07-22;6588;1556;5032
2013-07-23;6587;1556;5031
2013-07-24;6592;1557;5035
2013-07-25;6594;1557;5037
2013-07-26;6598;1558;5040
2013-07-27;6603;1558;5045
2013-07-28;6598;1557;5041
2013-07-29;6597;1556;5041
2013-07-30;6597;1555;5042
2013-07-31;6606;1556;5050
2013-08-01;6611;1560;5051
2013-08-02;6616;1558;5058
2013-08-03;6623;1559;5064
2013-08-04;6628;1555;5073
2013-08-05;6630;1553;5077
2013-08-06;6631;1552;5079
2013-08-07;6633;1550;5083
2013-08-08;6634;1550;5084
2013-08-09;6641;1551;5090
2013-08-10;6643;1551;5092
2013-08-11;6646;1551;5095
2013-08-12;6644;1551;5093
2013-08-13;6651;1554;5097
2013-08-14;6651;1551;5100
2013-08-15;6655;1551;5104
2013-08-16;6660;1550;5110
2013-08-17;6658;1552;5106
2013-08-18;6655;1553;5102
2013-08-19;6656;1555;5101
2013-08-20;6658;1555;5103
2013-08-21;6658;1555;5103
2013-08-22;6660;1555;5105
2013-08-23;6660;1555;5105
2013-08-24;6658;1555;5103
2013-08-25;6660;1555;5105
2013-08-26;6661;1555;5106
2013-08-27;6665;1555;5110
2013-08-28;6667;1556;5111
2013-08-29;6671;1560;5111
2013-08-30;6678;1565;5113
2013-08-31;6684;1548;5136
2013-09-01;6682;1550;5132
2013-09-02;6679;1552;5127
2013-09-03;6688;1554;5134
2013-09-04;6691;1554;5137
2013-09-05;6694;1554;5140
2013-09-06;6697;1554;5143
2013-09-07;6704;1556;5148
2013-09-08;6707;1560;5147
2013-09-09;6710;1561;5149
2013-09-10;6711;1561;5150
2013-09-11;6719;1561;5158
2013-09-12;6723;1561;5162
2013-09-13;6725;1562;5163
2013-09-14;6733;1563;5170
2013-09-15;6729;1563;5166
2013-09-16;6733;1568;5165
2013-09-17;6735;1566;5169
2013-09-18;6741;1567;5174
2013-09-19;6740;1567;5173
