date;followers;following;fans
2013-04-18;1819;450;1369
2013-04-20;1819;450;1369
2013-04-22;1819;449;1370
2013-04-24;1825;452;1373
2013-04-26;1827;460;1367
2013-04-28;1825;460;1365
2013-04-30;1834;460;1374
2013-05-02;1837;463;1374
2013-05-04;1857;466;1391
2013-05-06;1870;471;1399
2013-05-08;1884;476;1408
2013-05-10;1888;480;1408
2013-05-12;1890;482;1408
2013-05-14;1889;482;1407
2013-05-16;1893;486;1407
2013-05-18;1891;488;1403
2013-05-20;1894;489;1405
2013-05-22;1898;490;1408
2013-05-24;1896;492;1404
2013-05-26;1900;494;1406
2013-05-28;1899;494;1405
2013-05-30;1914;495;1419
2013-06-01;1911;496;1415
2013-06-03;1916;497;1419
2013-06-05;1918;497;1421
2013-06-07;1916;497;1419
2013-06-09;1917;497;1420
2013-06-11;1911;497;1414
2013-06-20;1917;501;1416
2013-06-22;1922;501;1421
2013-06-24;1923;501;1422
2013-06-26;1921;502;1419
2013-06-28;1925;504;1421
2013-06-30;1934;506;1428
2013-07-02;1937;507;1430
2013-07-04;1935;508;1427
2013-07-06;1941;508;1433
2013-07-08;1944;510;1434
2013-07-10;1948;511;1437
2013-07-12;1951;511;1440
2013-07-14;1954;510;1444
2013-07-16;1955;512;1443
2013-07-18;1959;511;1448
2013-07-20;1963;510;1453
2013-07-22;1965;512;1453
2013-07-24;1968;513;1455
2013-07-26;1968;512;1456
2013-07-28;1969;513;1456
2013-07-30;1975;508;1467
2013-08-01;1981;508;1473
2013-08-03;1983;508;1475
2013-08-05;1987;509;1478
2013-08-07;1988;511;1477
2013-08-09;1995;514;1481
2013-08-11;2001;515;1486
2013-08-13;2000;516;1484
2013-08-15;2004;516;1488
2013-08-17;2005;516;1489
2013-08-19;2005;516;1489
2013-08-21;2008;518;1490
2013-08-23;2009;519;1490
2013-08-25;2007;519;1488
2013-08-27;2007;522;1485
2013-08-29;2010;525;1485
2013-08-31;2013;527;1486
2013-09-02;2015;526;1489
2013-09-04;2015;526;1489
2013-09-06;2016;528;1488
2013-09-08;2016;528;1488
2013-09-10;2015;530;1485
2013-09-12;2015;535;1480
2013-09-14;2019;541;1478
2013-09-16;2020;544;1476
2013-09-18;2032;545;1487
2013-09-20;2036;545;1491
2013-09-22;2036;547;1489
2013-09-24;2040;548;1492
2013-09-26;2041;519;1522
2013-09-28;2041;519;1522
2013-09-29;2041;518;1523
2013-10-02;2048;522;1526
2013-10-04;2045;523;1522
2013-10-06;2047;525;1522
2013-10-08;2045;528;1517
2013-10-10;2047;530;1517
2013-10-12;2055;532;1523
2013-10-14;2058;532;1526
2013-10-16;2061;535;1526
2013-10-18;2070;543;1527
2013-10-20;2071;543;1528
2013-10-22;2069;542;1527
2013-10-24;2067;544;1523
2013-10-26;2079;545;1534
2013-10-28;2084;547;1537
2013-10-30;2085;546;1539
2013-11-01;2087;545;1542
2013-11-03;2089;544;1545
2013-11-05;2091;546;1545
2013-11-07;2094;548;1546
2013-11-09;2094;548;1546
2013-11-11;2093;551;1542
2013-11-12;2094;554;1540
2013-11-15;2097;556;1541
2013-11-17;2096;561;1535
2013-11-19;2096;566;1530
2013-11-21;2094;569;1525
2013-11-23;2094;572;1522
2013-11-25;2089;573;1516
2013-11-27;2096;573;1523
2013-11-29;2096;573;1523
2013-12-01;2102;577;1525
2013-12-03;2106;581;1525
2013-12-05;2109;581;1528
2013-12-07;2109;581;1528
2013-12-09;2109;581;1528
2013-12-11;2110;581;1529
2013-12-13;2113;580;1533
2013-12-15;2116;581;1535
2013-12-17;2118;582;1536
2013-12-19;2117;582;1535
2013-12-21;2122;589;1533
2013-12-23;2126;590;1536
2013-12-25;2124;591;1533
2013-12-27;2129;590;1539
2013-12-29;2129;590;1539
2013-12-31;2128;590;1538
2014-01-02;2128;591;1537
2014-01-04;2131;591;1540
2014-01-06;2128;590;1538
2014-01-08;2133;590;1543
2014-01-10;2135;588;1547
2014-01-12;2138;587;1551
2014-01-14;2135;587;1548
2014-01-16;2139;587;1552
2014-01-18;2135;586;1549
2014-01-20;2136;586;1550
2014-01-22;2139;588;1551
2014-01-24;2139;588;1551
2014-01-26;2140;589;1551
2014-01-28;2141;589;1552
2014-01-30;2141;590;1551
2014-02-01;2141;589;1552
2014-02-03;2145;590;1555
2014-02-05;2152;589;1563
2014-02-07;2145;587;1558
2014-02-09;2147;588;1559
2014-02-11;2149;591;1558
2014-02-13;2150;592;1558
2014-02-15;2148;592;1556
2014-02-17;2146;595;1551
2014-02-19;2147;597;1550
2014-02-21;2148;597;1551
2014-02-23;2146;597;1549
2014-02-25;2145;598;1547
2014-02-27;2152;600;1552
2014-03-01;2154;602;1552
2014-03-03;2152;598;1554
2014-03-05;2152;599;1553
2014-03-07;2154;599;1555
2014-03-09;2162;601;1561
2014-03-11;2159;601;1558
2014-03-13;2164;603;1561
2014-03-15;2163;603;1560
2014-03-17;2163;604;1559
2014-03-19;2164;604;1560
2014-03-21;2165;607;1558
2014-03-23;2172;609;1563
2014-03-25;2168;609;1559
2014-03-27;2173;596;1577
2014-03-29;2175;595;1580
2014-03-31;2173;596;1577
2014-04-02;2170;596;1574
2014-04-04;2176;599;1577
2014-04-06;2180;598;1582
2014-04-08;2178;600;1578
2014-04-10;2183;607;1576
2014-04-12;2185;615;1570
2014-04-14;2187;616;1571
2014-04-16;2190;622;1568
2014-04-18;2192;623;1569
2014-04-20;2192;627;1565
2014-04-22;2194;627;1567
2014-04-24;2190;629;1561
2014-04-26;2189;630;1559
2014-04-28;2185;630;1555
2014-04-30;2187;631;1556
2014-05-02;2183;632;1551
2014-05-04;2183;633;1550
