date;followers;following;fans
2013-04-17;8417;4863;3554
2013-04-18;8426;4868;3558
2013-04-19;8437;4874;3563
2013-04-20;8449;4898;3551
2013-04-21;8456;4907;3549
2013-04-22;8465;4921;3544
2013-04-23;8488;4855;3633
2013-04-24;8502;4859;3643
2013-04-26;8523;4897;3626
2013-04-27;8534;4906;3628
2013-04-28;8538;4912;3626
2013-04-29;8558;4912;3646
2013-04-30;8575;4923;3652
2013-05-01;8590;4925;3665
2013-05-02;8609;4932;3677
2013-05-03;8607;4738;3869
2013-05-04;8621;4750;3871
2013-05-06;8631;4759;3872
2013-05-07;8646;4766;3880
2013-05-08;8666;4775;3891
2013-05-09;8684;4790;3894
2013-05-10;8695;4790;3905
2013-05-11;8685;4790;3895
2013-05-12;8694;4794;3900
2013-05-13;8696;4802;3894
2013-05-14;8732;4808;3924
2013-05-15;8753;4823;3930
2013-05-17;8773;4826;3947
2013-05-18;8788;4829;3959
2013-05-19;8801;4835;3966
2013-05-20;8823;4835;3988
2013-05-21;8841;4839;4002
2013-05-22;8868;4847;4021
2013-05-23;8884;4853;4031
2013-05-24;8907;4859;4048
2013-05-25;8930;4870;4060
2013-05-27;8950;4874;4076
2013-05-28;8963;4875;4088
2013-05-29;8982;4879;4103
2013-05-30;8993;4883;4110
2013-05-31;8999;4900;4099
2013-06-01;9014;4432;4582
2013-06-02;9027;4433;4594
2013-06-03;9034;4442;4592
2013-06-05;9061;4451;4610
2013-06-06;9073;4460;4613
2013-06-07;9085;4466;4619
2013-06-08;9098;4468;4630
2013-06-09;9113;4472;4641
2013-06-10;9129;4472;4657
2013-06-11;9147;4476;4671
2013-06-20;9248;4495;4753
2013-06-21;9269;4496;4773
2013-06-22;9298;4506;4792
2013-06-23;9308;4506;4802
2013-06-24;9331;4507;4824
2013-06-26;9347;4508;4839
2013-06-27;9360;4510;4850
2013-06-28;9374;4512;4862
2013-06-29;9393;4515;4878
2013-06-30;9406;4516;4890
2013-07-01;9417;4517;4900
2013-07-02;9433;4517;4916
2013-07-04;9442;4533;4909
2013-07-05;9457;4535;4922
2013-07-06;9472;4540;4932
2013-07-07;9475;4545;4930
2013-07-08;9496;4548;4948
2013-07-09;9502;4551;4951
2013-07-10;9519;4556;4963
2013-07-11;9545;4563;4982
2013-07-13;9564;4569;4995
2013-07-14;9575;4578;4997
2013-07-15;9585;4580;5005
2013-07-16;9604;4582;5022
2013-07-17;9610;4583;5027
2013-07-18;9635;4590;5045
2013-07-19;9641;4591;5050
2013-07-20;9653;4597;5056
2013-07-21;9654;4599;5055
2013-07-22;9664;4600;5064
2013-07-23;9671;4599;5072
2013-07-24;9683;4603;5080
2013-07-25;9709;4608;5101
2013-07-26;9716;4608;5108
2013-07-27;9722;4612;5110
2013-07-28;9730;4612;5118
2013-07-29;9736;4610;5126
2013-07-30;9756;4612;5144
2013-07-31;9758;4613;5145
2013-08-01;9770;4619;5151
2013-08-02;9781;4622;5159
2013-08-03;9794;4627;5167
2013-08-04;9804;4629;5175
2013-08-05;9810;4631;5179
2013-08-06;9823;4630;5193
2013-08-07;9835;4635;5200
2013-08-08;9841;4635;5206
2013-08-09;9846;4636;5210
2013-08-10;9853;4636;5217
2013-08-11;9856;4639;5217
2013-08-12;9868;4639;5229
2013-08-13;9881;4656;5225
2013-08-14;9895;4660;5235
2013-08-15;9903;4660;5243
2013-08-16;9910;4663;5247
2013-08-17;9921;4663;5258
