date;followers;following;fans
2013-06-24;10929;26;10903
2013-06-25;10901;28;10873
2013-06-26;10878;30;10848
2013-06-27;10845;35;10810
2013-06-28;10815;39;10776
2013-06-29;10788;40;10748
2013-06-30;10769;40;10729
2013-07-01;10739;40;10699
2013-07-02;10720;40;10680
2013-07-03;10705;42;10663
2013-07-04;10685;42;10643
2013-07-05;10676;42;10634
2013-07-06;10661;14;10647
2013-07-07;10648;14;10634
2013-07-08;10631;14;10617
2013-07-09;10614;14;10600
2013-07-10;10601;15;10586
2013-07-11;10585;16;10569
2013-07-12;10566;16;10550
2013-07-13;10559;18;10541
2013-07-14;10549;18;10531
2013-07-15;10537;18;10519
2013-07-16;10529;18;10511
2013-07-17;10519;20;10499
2013-07-18;10509;20;10489
2013-07-19;10502;21;10481
2013-07-20;10484;21;10463
2013-07-21;10475;21;10454
2013-07-22;10464;14;10450
2013-07-23;8870;14;8856
2013-07-24;8868;15;8853
2013-07-25;8860;15;8845
2013-07-26;8857;18;8839
2013-07-27;8514;17;8497
2013-07-28;8193;17;8176
2013-07-29;8179;17;8162
2013-07-30;8179;17;8162
2013-07-31;8169;17;8152
2013-08-01;8163;17;8146
2013-08-02;8151;18;8133
2013-08-03;8148;18;8130
2013-08-04;8146;18;8128
2013-08-05;8141;18;8123
2013-08-06;8143;18;8125
2013-08-07;8136;18;8118
2013-08-08;8136;20;8116
2013-08-09;8134;22;8112
2013-08-10;8133;24;8109
2013-08-11;8128;24;8104
2013-08-12;8124;24;8100
2013-08-13;8120;25;8095
2013-08-14;8113;24;8089
2013-08-15;8108;24;8084
2013-08-16;8104;22;8082
2013-08-17;8102;23;8079
2013-08-18;8098;22;8076
2013-08-19;8091;22;8069
2013-08-20;8090;23;8067
2013-08-21;8084;24;8060
2013-08-22;8076;24;8052
2013-08-23;8071;25;8046
2013-08-24;8066;25;8041
2013-08-25;8061;24;8037
2013-08-26;8055;24;8031
2013-08-27;8047;24;8023
2013-08-28;8041;21;8020
2013-08-29;8039;21;8018
2013-08-30;8037;21;8016
2013-08-31;8030;21;8009
2013-09-01;8025;21;8004
2013-09-02;8025;21;8004
2013-09-03;8018;21;7997
2013-09-04;8011;21;7990
2013-09-05;8007;21;7986
2013-09-06;8001;21;7980
2013-09-07;7998;21;7977
2013-09-08;7995;21;7974
2013-09-09;7989;21;7968
2013-09-10;7985;21;7964
2013-09-11;7979;21;7958
2013-09-12;7975;21;7954
2013-09-13;7970;21;7949
2013-09-14;7971;22;7949
2013-09-15;7968;23;7945
2013-09-16;7967;23;7944
2013-09-17;7967;23;7944
2013-09-18;7964;23;7941
2013-09-19;7961;24;7937
2013-09-20;7959;24;7935
2013-09-21;7957;24;7933
2013-09-22;7955;24;7931
2013-09-23;7954;25;7929
2013-09-24;7951;25;7926
2013-09-25;7949;26;7923
2013-09-26;7948;26;7922
2013-09-27;7941;26;7915
2013-09-28;7941;26;7915
2013-09-29;7935;24;7911
2013-09-30;7933;24;7909
2013-10-01;7932;27;7905
2013-10-02;7927;27;7900
2013-10-03;7924;27;7897
2013-10-04;7920;27;7893
2013-10-05;7916;27;7889
2013-10-06;7914;27;7887
2013-10-07;7910;27;7883
2013-10-08;7905;28;7877
2013-10-09;7905;23;7882
2013-10-10;7905;23;7882
2013-10-11;7903;23;7880
2013-10-12;7901;23;7878
2013-10-13;7897;23;7874
2013-10-14;7894;23;7871
2013-10-15;7891;23;7868
2013-10-16;7888;23;7865
2013-10-17;7885;24;7861
2013-10-18;7880;24;7856
2013-10-19;7878;24;7854
2013-10-20;7875;24;7851
2013-10-21;7874;31;7843
2013-10-22;7871;31;7840
2013-10-23;7870;31;7839
2013-10-24;6645;31;6614
2013-10-25;6636;31;6605
2013-10-26;6636;31;6605
2013-10-27;6632;31;6601
2013-10-28;6631;31;6600
2013-10-29;6630;31;6599
2013-10-30;6630;31;6599
2013-10-31;2189;31;2158
2013-11-02;2177;31;2146
2013-11-04;2173;33;2140
2013-11-06;2161;33;2128
2013-11-08;2156;33;2123
2013-11-10;2148;34;2114
2013-11-12;2144;35;2109
2013-11-14;2143;36;2107
2013-11-16;2142;37;2105
2013-11-18;2137;37;2100
2013-11-20;2131;37;2094
2013-11-22;2126;37;2089
2013-11-24;2124;38;2086
2013-11-26;2125;38;2087
2013-11-28;2121;38;2083
2013-11-30;2118;37;2081
2013-12-02;2113;37;2076
2013-12-04;2111;37;2074
2013-12-06;2105;37;2068
2013-12-08;2100;38;2062
2013-12-10;2099;38;2061
2013-12-12;2093;38;2055
2013-12-14;2084;38;2046
2013-12-16;2082;38;2044
2013-12-18;2079;38;2041
2013-12-20;2077;39;2038
2013-12-22;2073;33;2040
2013-12-24;2071;33;2038
2013-12-26;2066;33;2033
2013-12-28;2061;34;2027
2013-12-30;2059;34;2025
2014-01-01;2060;34;2026
2014-01-03;2060;21;2039
2014-01-05;2058;21;2037
2014-01-07;2053;21;2032
2014-01-09;2049;21;2028
2014-01-11;2047;21;2026
2014-01-13;2042;22;2020
2014-01-15;2036;22;2014
2014-01-17;2035;22;2013
2014-01-19;2037;20;2017
2014-01-21;2034;21;2013
2014-01-23;2031;24;2007
2014-01-25;2029;25;2004
2014-01-27;2028;25;2003
2014-01-29;2021;26;1995
2014-02-01;2023;26;1997
2014-02-03;2017;28;1989
2014-02-05;2015;31;1984
2014-02-07;2014;32;1982
2014-02-09;2008;33;1975
2014-02-11;2005;33;1972
2014-02-13;2002;34;1968
2014-02-15;1995;36;1959
2014-02-17;1993;36;1957
2014-02-19;1991;36;1955
2014-02-21;1986;36;1950
2014-02-23;1985;36;1949
2014-02-25;1981;36;1945
2014-02-27;1981;36;1945
2014-03-01;1978;37;1941
2014-03-03;1974;37;1937
2014-03-05;1970;37;1933
2014-03-07;1971;37;1934
2014-03-09;1968;38;1930
2014-03-11;1964;39;1925
2014-03-13;1963;38;1925
2014-03-15;1958;38;1920
2014-03-17;1957;37;1920
2014-03-19;1955;38;1917
2014-03-21;1953;40;1913
2014-03-23;1954;39;1915
2014-03-25;1949;39;1910
2014-03-27;1950;40;1910
2014-03-29;1947;63;1884
2014-03-31;1949;61;1888
2014-04-02;1946;61;1885
2014-04-04;1946;61;1885
2014-04-06;1945;61;1884
2014-04-08;1941;62;1879
2014-04-10;1945;63;1882
2014-04-12;1947;63;1884
2014-04-14;1947;66;1881
