date;followers;following;fans
2013-04-18;4353;2380;1973
2013-04-20;4353;2383;1970
2013-04-22;4357;2386;1971
2013-04-24;4374;2390;1984
2013-04-26;4391;2395;1996
2013-04-28;4399;2405;1994
2013-04-30;4400;2408;1992
2013-05-02;4403;2407;1996
2013-05-04;4406;2408;1998
2013-05-06;4407;2410;1997
2013-05-08;4414;2413;2001
2013-05-10;4416;2415;2001
2013-05-12;4402;2415;1987
2013-05-14;4405;2422;1983
2013-05-16;4414;2426;1988
2013-05-18;4422;2433;1989
2013-05-20;4423;2433;1990
2013-05-22;4425;2435;1990
2013-05-24;4435;2439;1996
2013-05-26;4439;2439;2000
2013-05-28;4441;2440;2001
2013-05-30;4454;2441;2013
2013-06-01;4458;2442;2016
2013-06-03;4457;2442;2015
2013-06-05;4462;2443;2019
2013-06-07;4466;2443;2023
2013-06-09;4468;2444;2024
2013-06-11;4470;2444;2026
2013-06-20;4484;2447;2037
2013-06-22;4488;2449;2039
2013-06-24;4486;2450;2036
2013-06-26;4484;2454;2030
2013-06-28;4494;2458;2036
2013-06-30;4495;2459;2036
2013-07-02;4498;2462;2036
2013-07-04;4498;2463;2035
2013-07-06;4504;2471;2033
2013-07-08;4507;2471;2036
2013-07-10;4508;2472;2036
2013-07-12;4509;2472;2037
2013-07-14;4508;2473;2035
2013-07-16;4513;2474;2039
2013-07-18;4521;2477;2044
2013-07-20;4529;2477;2052
2013-07-22;4536;2480;2056
2013-07-24;4544;2484;2060
2013-07-26;4544;2486;2058
2013-07-28;4537;2487;2050
2013-07-30;4539;2489;2050
2013-08-01;4549;2491;2058
2013-08-03;4554;2497;2057
2013-08-05;4556;2496;2060
2013-08-07;4560;2498;2062
2013-08-09;4562;2499;2063
2013-08-11;4565;2499;2066
2013-08-13;4567;2499;2068
2013-08-15;4568;2502;2066
2013-08-17;4572;2504;2068
2013-08-19;4573;2504;2069
2013-08-21;4581;2503;2078
2013-08-23;4582;2504;2078
2013-08-25;4580;2506;2074
2013-08-27;4582;2508;2074
2013-08-29;4580;2511;2069
2013-08-31;4585;2513;2072
2013-09-02;4605;2513;2092
2013-09-04;4610;2517;2093
2013-09-06;4608;2517;2091
2013-09-08;4618;2519;2099
2013-09-10;4620;2522;2098
2013-09-12;4626;2528;2098
2013-09-14;4625;2528;2097
2013-09-16;4627;2528;2099
2013-09-18;4632;2528;2104
2013-09-20;4637;2528;2109
2013-09-22;4639;2528;2111
2013-09-24;4646;2531;2115
2013-09-26;4647;2531;2116
2013-09-28;4651;2534;2117
2013-09-30;4652;2533;2119
2013-10-02;4655;2534;2121
2013-10-04;4664;2538;2126
2013-10-06;4670;2538;2132
2013-10-08;4673;2539;2134
2013-10-10;4681;2546;2135
2013-10-12;4681;2546;2135
2013-10-14;4683;2547;2136
2013-10-16;4688;2554;2134
2013-10-18;4696;2560;2136
2013-10-20;4698;2564;2134
2013-10-22;4706;2567;2139
2013-10-24;4718;2573;2145
2013-10-26;4723;2578;2145
2013-10-28;4732;2588;2144
2013-10-30;4738;2591;2147
2013-11-01;4744;2592;2152
2013-11-03;4748;2593;2155
