date;followers;following;fans
2013-04-18;1988;706;1282
2013-04-20;1994;706;1288
2013-04-22;1996;706;1290
2013-04-24;2004;707;1297
2013-04-26;2014;709;1305
2013-04-28;2021;709;1312
2013-04-30;2026;709;1317
2013-05-02;2032;709;1323
2013-05-04;2045;709;1336
2013-05-06;2043;709;1334
2013-05-08;2047;709;1338
2013-05-10;2052;709;1343
2013-05-12;2034;691;1343
2013-05-14;2042;697;1345
2013-05-16;2059;703;1356
2013-05-18;2066;709;1357
2013-05-20;2067;709;1358
2013-05-22;2072;709;1363
2013-05-24;2080;710;1370
2013-05-26;2085;710;1375
2013-05-28;2085;710;1375
2013-05-30;2087;710;1377
2013-06-01;2093;710;1383
2013-06-03;2097;710;1387
2013-06-05;2102;710;1392
2013-06-07;2107;710;1397
2013-06-09;2107;710;1397
2013-06-11;2111;710;1401
2013-06-20;2141;710;1431
2013-06-22;2152;710;1442
2013-06-24;2156;710;1446
2013-06-26;2163;710;1453
2013-06-28;2176;710;1466
2013-06-30;2176;709;1467
2013-07-02;2180;709;1471
2013-07-04;2186;708;1478
2013-07-06;2187;707;1480
2013-07-08;2193;707;1486
2013-07-10;2196;707;1489
2013-07-12;2205;707;1498
2013-07-14;2210;707;1503
2013-07-16;2215;706;1509
2013-07-18;2223;707;1516
2013-07-20;2231;708;1523
2013-07-22;2237;708;1529
2013-07-24;2235;708;1527
2013-07-26;2241;708;1533
2013-07-28;2246;708;1538
2013-07-30;2246;708;1538
2013-08-01;2250;707;1543
2013-08-03;2252;710;1542
2013-08-05;2256;710;1546
2013-08-07;2260;710;1550
2013-08-09;2267;710;1557
2013-08-11;2272;710;1562
2013-08-13;2281;710;1571
2013-08-15;2287;710;1577
2013-08-17;2291;710;1581
2013-08-19;2294;710;1584
2013-08-21;2301;710;1591
2013-08-23;2305;710;1595
2013-08-25;2310;710;1600
2013-08-27;2316;710;1606
2013-08-29;2321;711;1610
2013-08-31;2326;711;1615
2013-09-02;2331;711;1620
2013-09-04;2339;711;1628
2013-09-06;2341;710;1631
2013-09-08;2345;710;1635
2013-09-10;2349;710;1639
2013-09-12;2356;709;1647
2013-09-14;2361;709;1652
2013-09-16;2365;709;1656
2013-09-18;2372;709;1663
2013-09-20;2378;709;1669
2013-09-22;2376;709;1667
2013-09-24;2380;709;1671
2013-09-26;2385;709;1676
2013-09-28;2391;709;1682
2013-09-29;2391;709;1682
2013-10-02;2395;709;1686
2013-10-04;2397;709;1688
2013-10-06;2402;709;1693
2013-10-08;2408;709;1699
2013-10-10;2413;708;1705
2013-10-12;2424;708;1716
2013-10-14;2428;708;1720
2013-10-16;2428;708;1720
2013-10-18;2431;708;1723
2013-10-20;2436;708;1728
2013-10-22;2441;708;1733
2013-10-24;2445;708;1737
2013-10-26;2453;708;1745
2013-10-28;2458;708;1750
2013-10-30;2462;707;1755
2013-11-01;2474;707;1767
