date;followers;following;fans
2013-04-18;5258;1;5257
2013-04-20;5257;1;5256
2013-04-21;5261;1;5260
2013-04-22;5264;1;5263
2013-04-23;5266;1;5265
2013-04-25;5267;1;5266
2013-04-26;5269;1;5268
2013-04-27;5271;1;5270
2013-04-28;5271;1;5270
2013-04-29;5277;1;5276
2013-05-01;5281;1;5280
2013-05-02;5284;1;5283
2013-05-03;5286;1;5285
2013-05-04;5293;1;5292
2013-05-06;5294;1;5293
2013-05-07;5297;1;5296
2013-05-08;5299;1;5298
2013-05-09;5300;1;5299
2013-05-11;5302;1;5301
2013-05-12;5304;1;5303
2013-05-13;5307;1;5306
2013-05-14;5305;1;5304
2013-05-15;5308;1;5307
2013-05-16;5308;1;5307
2013-05-17;5308;1;5307
2013-05-18;5309;1;5308
2013-05-19;5312;1;5311
2013-05-20;5316;1;5315
2013-05-21;5318;1;5317
2013-05-22;5320;1;5319
2013-05-23;5323;1;5322
2013-05-24;5326;1;5325
2013-05-25;5326;1;5325
2013-05-26;5326;1;5325
2013-05-27;5326;1;5325
2013-05-28;5327;1;5326
2013-05-29;5329;1;5328
2013-05-30;5327;1;5326
2013-05-31;5327;1;5326
2013-06-01;5327;1;5326
2013-06-02;5329;1;5328
2013-06-03;5332;1;5331
2013-06-04;5330;1;5329
2013-06-05;5329;1;5328
2013-06-06;5328;1;5327
2013-06-07;5329;1;5328
2013-06-08;5331;1;5330
2013-06-09;5331;1;5330
2013-06-10;5332;1;5331
2013-06-11;5335;1;5334
2013-06-20;5348;1;5347
2013-06-21;5350;1;5349
2013-06-22;5354;1;5353
2013-06-23;5350;1;5349
2013-06-24;5349;1;5348
2013-06-25;5348;1;5347
2013-06-26;5353;1;5352
2013-06-27;5355;1;5354
2013-06-28;5356;1;5355
2013-06-29;5360;1;5359
2013-06-30;5362;1;5361
2013-07-02;5361;1;5360
2013-07-03;5360;1;5359
2013-07-04;5365;1;5364
2013-07-05;5367;1;5366
2013-07-06;5368;1;5367
2013-07-07;5374;1;5373
2013-07-08;5378;1;5377
2013-07-10;5382;1;5381
2013-07-11;5387;1;5386
2013-07-12;5389;1;5388
2013-07-13;5389;1;5388
2013-07-14;5390;1;5389
2013-07-15;5390;1;5389
2013-07-16;5392;1;5391
2013-07-17;5393;1;5392
2013-07-18;5393;1;5392
2013-07-19;5391;1;5390
2013-07-20;5392;1;5391
2013-07-21;5395;1;5394
2013-07-22;5400;1;5399
2013-07-23;5398;1;5397
2013-07-24;5400;1;5399
2013-07-25;5400;1;5399
2013-07-26;5399;1;5398
2013-07-27;5401;1;5400
2013-07-28;5403;1;5402
2013-07-29;5404;1;5403
2013-07-30;5406;1;5405
2013-07-31;5410;1;5409
2013-08-01;5411;1;5410
2013-08-03;5412;1;5411
2013-08-04;5413;1;5412
2013-08-05;5417;1;5416
2013-08-06;5417;1;5416
2013-08-07;5418;1;5417
2013-08-08;5421;1;5420
2013-08-09;5422;1;5421
2013-08-10;5421;1;5420
2013-08-11;5424;1;5423
2013-08-12;5425;1;5424
2013-08-13;5425;1;5424
2013-08-14;5424;1;5423
2013-08-15;5426;1;5425
2013-08-16;5429;1;5428
2013-08-17;5433;1;5432
2013-08-18;5434;1;5433
2013-08-19;5435;1;5434
2013-08-20;5439;1;5438
2013-08-21;5439;1;5438
2013-08-22;5436;1;5435
2013-08-23;5438;1;5437
2013-08-24;5444;1;5443
2013-08-25;5444;1;5443
2013-08-26;5448;1;5447
2013-08-27;5448;1;5447
2013-08-28;5449;1;5448
2013-08-29;5451;1;5450
2013-08-30;5452;1;5451
2013-08-31;5450;1;5449
2013-09-01;5450;1;5449
2013-09-02;5455;1;5454
2013-09-03;5461;1;5460
2013-09-04;5463;1;5462
2013-09-05;5465;1;5464
2013-09-06;5468;1;5467
2013-09-07;5473;1;5472
2013-09-08;5472;1;5471
2013-09-09;5471;1;5470
2013-09-10;5470;1;5469
2013-09-11;5469;1;5468
2013-09-12;5473;1;5472
2013-09-13;5474;1;5473
2013-09-14;5476;1;5475
2013-09-15;5478;1;5477
2013-09-16;5481;1;5480
2013-09-17;5482;1;5481
2013-09-18;5484;1;5483
2013-09-19;5483;1;5482
2013-09-20;5485;1;5484
2013-09-21;5488;1;5487
2013-09-22;5488;1;5487
2013-09-23;5492;1;5491
2013-09-24;5493;1;5492
2013-09-25;5493;1;5492
2013-09-26;5495;1;5494
2013-09-27;5498;1;5497
2013-09-28;5499;1;5498
2013-09-29;5502;1;5501
2013-10-01;5504;1;5503
2013-10-02;5505;1;5504
2013-10-03;5505;1;5504
2013-10-04;5506;1;5505
2013-10-05;5504;1;5503
2013-10-06;5506;1;5505
2013-10-07;5507;1;5506
2013-10-08;5507;1;5506
2013-10-09;5508;1;5507
2013-10-10;5506;1;5505
2013-10-11;5508;1;5507
2013-10-12;5509;1;5508
2013-10-13;5510;1;5509
2013-10-14;5509;1;5508
2013-10-15;5507;1;5506
2013-10-16;5509;1;5508
2013-10-17;5508;1;5507
2013-10-18;5505;1;5504
2013-10-19;5508;1;5507
2013-10-20;5508;1;5507
2013-10-21;5509;1;5508
2013-10-22;5512;1;5511
2013-10-23;5512;1;5511
2013-10-24;5510;1;5509
2013-10-25;5509;1;5508
2013-10-26;5510;1;5509
2013-10-27;5511;1;5510
2013-10-29;5512;1;5511
2013-10-30;5511;1;5510
2013-10-31;5512;1;5511
2013-11-01;5512;1;5511
2013-11-02;5512;1;5511
2013-11-03;5513;1;5512
2013-11-05;5515;1;5514
2013-11-06;5513;1;5512
2013-11-07;5513;1;5512
2013-11-08;5514;1;5513
2013-11-09;5514;1;5513
2013-11-10;5515;1;5514
2013-11-11;5515;1;5514
2013-11-12;5514;1;5513
2013-11-13;5516;1;5515
2013-11-15;5522;1;5521
2013-11-16;5523;1;5522
2013-11-17;5522;1;5521
2013-11-18;5523;1;5522
2013-11-19;5525;1;5524
2013-11-20;5526;1;5525
2013-11-21;5529;1;5528
2013-11-22;5529;1;5528
2013-11-23;5526;1;5525
2013-11-25;5526;1;5525
2013-11-26;5524;1;5523
2013-11-27;5521;1;5520
2013-11-28;5520;1;5519
2013-11-29;5523;1;5522
2013-11-30;5524;1;5523
2013-12-01;5523;1;5522
2013-12-02;5524;1;5523
2013-12-03;5527;1;5526
2013-12-04;5525;1;5524
2013-12-05;5524;1;5523
2013-12-06;5526;1;5525
2013-12-08;5529;1;5528
2013-12-09;5530;1;5529
2013-12-11;5530;1;5529
2013-12-12;5530;1;5529
2013-12-13;5533;1;5532
2013-12-14;5534;1;5533
2013-12-15;5536;1;5535
2013-12-16;5539;1;5538
2013-12-17;5540;1;5539
2013-12-18;5541;1;5540
2013-12-19;5544;1;5543
2013-12-20;5548;1;5547
2013-12-21;5549;1;5548
2013-12-22;5549;1;5548
2013-12-23;5549;1;5548
2013-12-24;5547;1;5546
2013-12-25;5544;1;5543
2013-12-26;5546;1;5545
2013-12-27;5547;1;5546
2013-12-28;5549;1;5548
2013-12-29;5550;1;5549
2013-12-30;5549;1;5548
2013-12-31;5549;1;5548
2014-01-01;5547;1;5546
2014-01-02;5547;1;5546
2014-01-03;5548;1;5547
2014-01-04;5550;1;5549
2014-01-05;5550;1;5549
2014-01-06;5553;1;5552
2014-01-07;5551;1;5550
2014-01-08;5551;1;5550
2014-01-09;5549;1;5548
2014-01-10;5552;1;5551
2014-01-11;5553;1;5552
2014-01-12;5555;1;5554
2014-01-13;5554;1;5553
2014-01-14;5554;1;5553
2014-01-15;5552;1;5551
2014-01-16;5551;1;5550
2014-01-17;5550;1;5549
2014-01-18;5553;1;5552
2014-01-19;5554;1;5553
2014-01-20;5557;1;5556
2014-01-21;5561;1;5560
2014-01-22;5566;1;5565
2014-01-23;5566;1;5565
2014-01-24;5567;1;5566
2014-01-25;5569;1;5568
2014-01-26;5569;1;5568
2014-01-27;5569;1;5568
2014-01-28;5571;1;5570
2014-01-30;5572;1;5571
2014-01-31;5573;1;5572
2014-02-01;5573;1;5572
2014-02-02;5574;1;5573
2014-02-03;5575;1;5574
2014-02-04;5575;1;5574
2014-02-05;5575;1;5574
2014-02-06;5575;1;5574
2014-02-07;5575;1;5574
2014-02-08;5576;1;5575
2014-02-09;5576;1;5575
2014-02-10;5580;1;5579
2014-02-11;5581;1;5580
2014-02-12;5579;1;5578
2014-02-13;5579;1;5578
2014-02-14;5580;1;5579
2014-02-15;5581;1;5580
2014-02-16;5581;1;5580
2014-02-17;5584;1;5583
2014-02-18;5584;1;5583
2014-02-19;5589;1;5588
2014-02-20;5592;1;5591
2014-02-21;5594;1;5593
2014-02-22;5592;1;5591
2014-02-23;5593;1;5592
2014-02-24;5594;1;5593
2014-02-25;5596;1;5595
2014-02-26;5599;1;5598
2014-02-27;5600;1;5599
2014-02-28;5600;1;5599
2014-03-01;5602;1;5601
2014-03-02;5608;1;5607
2014-03-03;5607;1;5606
2014-03-04;5606;1;5605
2014-03-05;5610;1;5609
2014-03-06;5613;1;5612
2014-03-07;5612;1;5611
2014-03-08;5611;1;5610
2014-03-09;5611;1;5610
2014-03-10;5612;1;5611
2014-03-11;5613;1;5612
2014-03-12;5614;1;5613
2014-03-13;5612;1;5611
2014-03-14;5613;1;5612
2014-03-15;5614;1;5613
2014-03-16;5612;1;5611
2014-03-17;5613;1;5612
2014-03-18;5614;1;5613
2014-03-19;5614;1;5613
2014-03-20;5613;1;5612
2014-03-21;5612;1;5611
2014-03-22;5613;1;5612
2014-03-23;5616;1;5615
2014-03-24;5616;1;5615
2014-03-25;5614;1;5613
2014-03-26;5614;1;5613
2014-03-27;5616;1;5615
2014-03-28;5617;1;5616
2014-03-29;5617;1;5616
2014-03-30;5617;1;5616
2014-03-31;5620;1;5619
2014-04-01;5617;1;5616
2014-04-02;5616;1;5615
2014-04-03;5615;1;5614
2014-04-04;5614;1;5613
2014-04-05;5615;1;5614
2014-04-06;5619;1;5618
2014-04-07;5620;1;5619
2014-04-08;5620;1;5619
2014-04-09;5618;1;5617
2014-04-10;5620;1;5619
2014-04-11;5620;1;5619
2014-04-12;5619;1;5618
2014-04-13;5620;1;5619
2014-04-14;5628;1;5627
2014-04-15;5629;1;5628
2014-04-16;5636;1;5635
2014-04-17;5636;1;5635
2014-04-18;5637;1;5636
2014-04-19;5640;1;5639
2014-04-20;5641;1;5640
2014-04-21;5641;1;5640
2014-04-22;5638;1;5637
2014-04-23;5638;1;5637
2014-04-24;5636;1;5635
2014-04-25;5638;1;5637
2014-04-26;5638;1;5637
2014-04-27;5640;1;5639
2014-04-28;5642;1;5641
2014-04-29;5642;1;5641
2014-04-30;5641;1;5640
2014-05-01;5639;1;5638
2014-05-02;5639;1;5638
2014-05-03;5641;1;5640
2014-05-04;5643;1;5642
2014-05-05;5645;1;5644
