date;followers;following;fans
2013-09-03;1439;112;1327
2013-09-05;1444;112;1332
2013-09-07;1454;112;1342
2013-09-09;1455;112;1343
2013-09-11;1457;112;1345
2013-09-13;1461;112;1349
2013-09-15;1463;112;1351
2013-09-17;1466;112;1354
2013-09-19;1469;112;1357
2013-09-21;1470;112;1358
2013-09-23;1472;112;1360
2013-09-25;1477;112;1365
2013-09-27;1477;112;1365
2013-09-29;1479;112;1367
2013-10-01;1478;112;1366
2013-10-03;1480;112;1368
2013-10-05;1485;112;1373
2013-10-07;1488;112;1376
2013-10-09;1490;112;1378
2013-10-11;1492;112;1380
2013-10-13;1495;112;1383
2013-10-15;1496;112;1384
2013-10-17;1497;112;1385
2013-10-19;1500;112;1388
2013-10-21;1497;112;1385
2013-10-23;1501;112;1389
2013-10-25;1506;112;1394
2013-10-27;1506;112;1394
2013-10-29;1506;112;1394
2013-10-31;1507;112;1395
2013-11-02;1506;112;1394
2013-11-04;1508;112;1396
2013-11-06;1510;112;1398
2013-11-08;1513;112;1401
2013-11-10;1516;112;1404
2013-11-12;1520;112;1408
2013-11-14;1523;112;1411
2013-11-16;1528;112;1416
2013-11-18;1530;112;1418
2013-11-20;1533;112;1421
2013-11-22;1537;112;1425
2013-11-24;1536;112;1424
2013-11-26;1538;112;1426
2013-11-28;1539;112;1427
2013-11-30;1542;112;1430
2013-12-02;1543;112;1431
2013-12-04;1546;112;1434
2013-12-06;1547;112;1435
2013-12-08;1550;112;1438
2013-12-10;1551;112;1439
2013-12-12;1554;112;1442
2013-12-14;1550;112;1438
2013-12-16;1551;112;1439
2013-12-18;1549;112;1437
2013-12-20;1550;112;1438
2013-12-22;1549;112;1437
2013-12-24;1551;112;1439
2013-12-26;1551;112;1439
2013-12-28;1550;112;1438
2013-12-30;1553;112;1441
2014-01-01;1556;112;1444
2014-01-03;1560;112;1448
2014-01-05;1558;112;1446
2014-01-07;1558;112;1446
2014-01-09;1559;112;1447
2014-01-11;1562;112;1450
2014-01-13;1565;112;1453
2014-01-15;1564;112;1452
2014-01-17;1564;112;1452
2014-01-19;1563;112;1451
2014-01-21;1568;112;1456
2014-01-23;1568;112;1456
2014-01-25;1570;112;1458
2014-01-27;1569;112;1457
2014-01-29;1569;112;1457
2014-02-01;1569;112;1457
2014-02-03;1571;112;1459
2014-02-05;1573;112;1461
2014-02-07;1576;112;1464
2014-02-09;1577;112;1465
2014-02-11;1579;112;1467
2014-02-13;1578;112;1466
2014-02-15;1578;112;1466
2014-02-17;1577;112;1465
2014-02-19;1581;112;1469
2014-02-21;1582;112;1470
2014-02-23;1582;112;1470
2014-02-25;1588;112;1476
2014-02-27;1586;112;1474
2014-03-01;1588;112;1476
2014-03-03;1587;112;1475
2014-03-05;1591;112;1479
2014-03-07;1592;112;1480
2014-03-09;1595;112;1483
2014-03-11;1593;112;1481
2014-03-13;1597;112;1485
2014-03-15;1596;112;1484
2014-03-17;1596;112;1484
2014-03-19;1598;112;1486
2014-03-21;1600;112;1488
2014-03-23;1602;112;1490
2014-03-25;1603;112;1491
2014-03-27;1605;112;1493
2014-03-29;1604;112;1492
2014-03-31;1605;112;1493
2014-04-02;1606;112;1494
2014-04-04;1608;112;1496
2014-04-06;1609;112;1497
2014-04-08;1610;112;1498
2014-04-10;1609;111;1498
2014-04-12;1610;111;1499
2014-04-14;1612;111;1501
2014-04-16;1614;111;1503
2014-04-18;1614;111;1503
2014-04-20;1616;111;1505
2014-04-22;1615;111;1504
2014-04-24;1617;111;1506
2014-04-26;1619;111;1508
2014-04-28;1618;111;1507
2014-04-30;1618;111;1507
2014-05-02;1616;111;1505
2014-05-04;1618;111;1507
