date;followers;following;fans
2013-04-18;1934;363;1571
2013-04-20;1932;363;1569
2013-04-22;1930;363;1567
2013-04-24;1929;366;1563
2013-04-26;1929;367;1562
2013-04-28;1928;368;1560
2013-04-30;1929;371;1558
2013-05-02;1932;371;1561
2013-05-04;1933;372;1561
2013-05-06;1935;372;1563
2013-05-08;1939;373;1566
2013-05-10;1941;373;1568
2013-05-12;1941;372;1569
2013-05-14;1941;373;1568
2013-05-16;1945;373;1572
2013-05-18;1945;377;1568
2013-05-20;1943;377;1566
2013-05-22;1949;602;1347
2013-05-24;1949;607;1342
2013-05-26;1952;607;1345
2013-05-28;1956;609;1347
2013-05-30;1958;610;1348
2013-06-01;1961;609;1352
2013-06-03;1965;608;1357
2013-06-05;1968;607;1361
2013-06-07;1968;606;1362
2013-06-09;1969;606;1363
2013-06-11;1970;606;1364
2013-06-20;1985;605;1380
2013-06-22;1990;605;1385
2013-06-24;1993;605;1388
2013-06-26;1995;605;1390
2013-06-28;2001;607;1394
2013-06-30;2004;607;1397
2013-07-02;2009;608;1401
2013-07-04;2013;609;1404
2013-07-06;2013;609;1404
2013-07-08;2014;609;1405
2013-07-10;2017;610;1407
2013-07-12;2018;610;1408
2013-07-14;2021;611;1410
2013-07-16;2024;612;1412
2013-07-18;2024;611;1413
2013-07-20;2028;611;1417
2013-07-22;2030;611;1419
2013-07-24;2031;613;1418
2013-07-26;2035;614;1421
2013-07-28;2034;613;1421
2013-07-30;2034;613;1421
2013-08-01;2039;615;1424
2013-08-03;2040;617;1423
2013-08-05;2039;617;1422
2013-08-07;2041;619;1422
2013-08-09;2043;622;1421
2013-08-11;2043;685;1358
2013-08-13;2054;734;1320
2013-08-15;2062;753;1309
2013-08-17;2067;764;1303
2013-08-19;2067;764;1303
2013-08-21;2071;771;1300
2013-08-23;2072;775;1297
2013-08-25;2074;776;1298
2013-08-27;2078;786;1292
2013-08-29;2079;787;1292
2013-08-31;2084;795;1289
2013-09-02;2087;797;1290
2013-09-04;2089;797;1292
2013-09-06;2094;797;1297
2013-09-08;2094;797;1297
2013-09-10;2093;797;1296
2013-09-12;2093;796;1297
2013-09-14;2104;806;1298
2013-09-16;2105;806;1299
2013-09-18;2110;812;1298
2013-09-20;2112;813;1299
2013-09-22;2113;813;1300
2013-09-24;2111;813;1298
2013-09-26;2110;813;1297
2013-09-28;2111;813;1298
2013-09-30;2113;813;1300
2013-10-02;2113;813;1300
2013-10-04;2119;813;1306
2013-10-06;2118;813;1305
2013-10-08;2123;813;1310
2013-10-10;2129;816;1313
2013-10-12;2129;819;1310
2013-10-14;2128;819;1309
2013-10-16;2125;818;1307
2013-10-18;2112;147;1965
2013-10-20;2130;147;1983
2013-10-22;2128;147;1981
2013-10-24;2126;147;1979
2013-10-26;2124;148;1976
2013-10-28;2121;149;1972
2013-10-30;2118;150;1968
2013-11-01;2119;152;1967
2013-11-03;2116;152;1964
2013-11-05;2115;153;1962
2013-11-07;2119;155;1964
2013-11-09;2122;156;1966
2013-11-11;2122;156;1966
2013-11-13;2128;156;1972
2013-11-15;2133;156;1977
2013-11-17;2133;156;1977
2013-11-19;2137;156;1981
2013-11-21;2137;157;1980
2013-11-23;2138;157;1981
2013-11-25;2136;158;1978
2013-11-27;2140;158;1982
2013-11-29;2142;159;1983
2013-12-01;2142;159;1983
2013-12-03;2143;153;1990
2013-12-05;2146;153;1993
2013-12-07;2143;153;1990
2013-12-09;2146;153;1993
2013-12-11;2148;153;1995
2013-12-13;2152;153;1999
2013-12-15;2150;153;1997
2013-12-17;2148;153;1995
2013-12-19;2148;154;1994
2013-12-21;2149;155;1994
2013-12-23;2149;155;1994
2013-12-25;2152;154;1998
2013-12-27;2150;154;1996
2013-12-29;2151;154;1997
2013-12-31;2152;154;1998
2014-01-02;2153;154;1999
2014-01-04;2154;154;2000
2014-01-06;2156;154;2002
2014-01-08;2157;154;2003
2014-01-10;2161;154;2007
2014-01-12;2164;154;2010
2014-01-14;2169;154;2015
2014-01-16;2174;185;1989
2014-01-18;2179;191;1988
2014-01-20;2179;191;1988
2014-01-22;2179;196;1983
2014-01-24;2185;213;1972
2014-01-26;2187;213;1974
2014-01-28;2189;216;1973
2014-01-30;2194;221;1973
2014-02-01;2195;239;1956
2014-02-03;2198;238;1960
2014-02-05;2198;240;1958
2014-02-07;2197;256;1941
2014-02-09;2197;256;1941
2014-02-11;2202;257;1945
2014-02-13;2207;261;1946
2014-02-15;2209;269;1940
