date;followers;following;fans
2013-08-02;3479;2467;1012
2013-08-04;3478;2471;1007
2013-08-06;3490;2471;1019
2013-08-08;3498;2476;1022
2013-08-10;3509;2479;1030
2013-08-12;3518;2479;1039
2013-08-14;3519;2481;1038
2013-08-16;3520;2481;1039
2013-08-18;3526;2491;1035
2013-08-20;3534;2495;1039
2013-08-22;3537;2497;1040
2013-08-24;3548;2499;1049
2013-08-26;3554;2499;1055
2013-08-28;3570;2508;1062
2013-08-30;3581;2510;1071
2013-09-01;3588;2509;1079
2013-09-03;3586;2510;1076
2013-09-05;3602;2510;1092
2013-09-07;3609;2510;1099
2013-09-09;3618;2516;1102
2013-09-11;3628;2520;1108
2013-09-13;3642;2533;1109
2013-09-15;3650;2537;1113
2013-09-17;3664;2536;1128
2013-09-19;3672;2539;1133
2013-09-21;3681;2542;1139
2013-09-23;3692;2543;1149
2013-09-25;3695;2544;1151
2013-09-27;3705;2546;1159
2013-09-29;3712;2548;1164
2013-10-01;3712;2552;1160
2013-10-03;3725;2562;1163
2013-10-05;3732;2562;1170
2013-10-07;3746;2570;1176
2013-10-09;3755;2572;1183
2013-10-11;3762;2578;1184
2013-10-13;3764;2584;1180
2013-10-15;3771;2583;1188
2013-10-17;3779;2585;1194
2013-10-19;3785;2589;1196
2013-10-21;3796;2591;1205
2013-10-23;3807;2594;1213
2013-10-25;3813;2594;1219
2013-10-27;3814;2597;1217
2013-10-28;3817;2597;1220
2013-10-31;3823;2603;1220
2013-11-02;3832;2605;1227
2013-11-04;3834;2605;1229
2013-11-06;3833;2607;1226
2013-11-08;3835;2608;1227
2013-11-10;3835;2610;1225
2013-11-12;3837;2610;1227
2013-11-14;3842;2615;1227
2013-11-16;3852;2615;1237
2013-11-18;3851;2615;1236
2013-11-20;3861;2617;1244
2013-11-22;3864;2619;1245
2013-11-23;3874;2620;1254
2013-11-26;3883;2631;1252
2013-11-28;3908;2635;1273
2013-11-30;3920;2639;1281
2013-12-02;3921;2641;1280
2013-12-04;3931;2650;1281
2013-12-06;3928;2655;1273
2013-12-08;3937;2658;1279
2013-12-10;3950;2659;1291
2013-12-12;3974;2665;1309
2013-12-14;3983;2669;1314
2013-12-16;3991;2676;1315
2013-12-18;4003;2683;1320
2013-12-20;4020;2689;1331
2013-12-22;4019;2691;1328
2013-12-24;4030;2693;1337
2013-12-26;4035;2694;1341
2013-12-28;4037;2696;1341
2013-12-30;4046;2696;1350
2014-01-01;4050;2698;1352
2014-01-03;4056;2703;1353
2014-01-05;4068;2704;1364
2014-01-07;4077;2715;1362
2014-01-09;4087;2717;1370
2014-01-11;4102;2720;1382
2014-01-13;4100;2722;1378
2014-01-15;4113;2726;1387
2014-01-17;4130;2729;1401
2014-01-19;4142;2734;1408
2014-01-21;4147;2736;1411
2014-01-23;4157;2743;1414
2014-01-25;4161;2748;1413
2014-01-27;4178;2751;1427
2014-01-29;4201;2752;1449
2014-02-01;4208;2752;1456
2014-02-03;4213;2754;1459
2014-02-04;4226;2756;1470
2014-02-07;4231;2756;1475
2014-02-09;4238;2757;1481
2014-02-11;4245;2755;1490
2014-02-13;4257;2756;1501
2014-02-15;4264;2760;1504
2014-02-17;4272;2759;1513
2014-02-19;4285;2762;1523
2014-02-21;4289;2764;1525
2014-02-23;4284;2764;1520
2014-02-25;4293;2769;1524
2014-02-27;4309;2770;1539
2014-03-01;4325;2776;1549
2014-03-03;4329;2776;1553
2014-03-05;4332;2782;1550
2014-03-07;4344;2782;1562
2014-03-09;4364;2785;1579
2014-03-11;4367;2785;1582
2014-03-13;4373;2786;1587
2014-03-15;4371;2787;1584
2014-03-17;4370;2786;1584
2014-03-19;4371;2785;1586
2014-03-21;4375;2788;1587
2014-03-23;4383;2790;1593
2014-03-25;4392;2789;1603
2014-03-27;4394;2793;1601
2014-03-29;4405;2794;1611
2014-03-31;4408;2795;1613
2014-04-02;4414;2796;1618
2014-04-04;4417;2797;1620
2014-04-06;4419;2800;1619
2014-04-08;4422;2799;1623
2014-04-10;4424;2802;1622
2014-04-12;4432;2807;1625
2014-04-14;4435;2810;1625
2014-04-16;4441;2809;1632
2014-04-18;4447;2812;1635
2014-04-20;4454;2816;1638
2014-04-22;4464;2816;1648
2014-04-24;4472;2821;1651
2014-04-26;4479;2823;1656
2014-04-28;4485;2815;1670
2014-04-30;4490;2811;1679
2014-05-02;4492;2813;1679
2014-05-04;4503;2814;1689
