date;followers;following;fans
2013-04-18;5693;339;5354
2013-04-20;5704;344;5360
2013-04-21;5708;344;5364
2013-04-22;5715;344;5371
2013-04-23;5725;344;5381
2013-04-25;5726;344;5382
2013-04-26;5729;346;5383
2013-04-27;5731;346;5385
2013-04-28;5735;346;5389
2013-04-29;5747;346;5401
2013-05-01;5750;346;5404
2013-05-02;5756;346;5410
2013-05-03;5764;346;5418
2013-05-04;5775;346;5429
2013-05-06;5780;346;5434
2013-05-07;5782;346;5436
2013-05-08;5790;346;5444
2013-05-09;5797;337;5460
2013-05-11;5795;338;5457
2013-05-12;5797;338;5459
2013-05-13;5801;338;5463
2013-05-14;5812;338;5474
2013-05-15;5819;338;5481
2013-05-16;5820;338;5482
2013-05-17;5830;338;5492
2013-05-19;5837;338;5499
2013-05-20;5843;338;5505
2013-05-21;5848;338;5510
2013-05-22;5850;338;5512
2013-05-23;5853;338;5515
2013-05-24;5863;338;5525
2013-05-25;5868;338;5530
2013-05-26;5871;338;5533
2013-05-27;5875;338;5537
2013-05-28;5881;338;5543
2013-05-30;5894;338;5556
2013-05-31;5895;338;5557
2013-06-01;5896;338;5558
2013-06-02;5900;338;5562
2013-06-03;5907;338;5569
2013-06-04;5909;338;5571
2013-06-05;5913;338;5575
2013-06-06;5920;338;5582
2013-06-08;5921;339;5582
2013-06-09;5925;339;5586
2013-06-10;5925;339;5586
2013-06-11;5927;339;5588
2013-06-20;5958;339;5619
2013-06-21;5960;341;5619
2013-06-22;5960;341;5619
2013-06-23;5966;341;5625
2013-06-24;5969;341;5628
2013-06-25;5973;341;5632
2013-06-26;5979;341;5638
2013-06-27;5987;341;5646
2013-06-28;6000;340;5660
2013-06-30;6006;340;5666
2013-07-02;6019;340;5679
2013-07-04;6034;344;5690
2013-07-06;6043;344;5699
2013-07-07;6046;343;5703
2013-07-08;6051;344;5707
2013-07-09;6050;344;5706
2013-07-10;6055;344;5711
2013-07-12;6061;344;5717
2013-07-13;6076;344;5732
2013-07-14;6083;345;5738
2013-07-15;6085;345;5740
2013-07-16;6096;345;5751
2013-07-17;6095;345;5750
2013-07-18;6100;346;5754
2013-07-19;6108;346;5762
2013-07-20;6110;346;5764
2013-07-21;6114;346;5768
2013-07-22;6113;346;5767
2013-07-23;6119;346;5773
2013-07-24;6123;347;5776
2013-07-25;6130;346;5784
2013-07-26;6137;346;5791
2013-07-27;6140;346;5794
2013-07-28;6141;348;5793
2013-07-29;6146;348;5798
2013-07-30;6157;348;5809
2013-07-31;6159;346;5813
2013-08-01;6169;346;5823
2013-08-03;6182;346;5836
2013-08-05;6188;346;5842
2013-08-06;6186;346;5840
2013-08-07;6191;346;5845
2013-08-08;6198;346;5852
2013-08-09;6198;346;5852
2013-08-10;6202;346;5856
2013-08-11;6200;346;5854
2013-08-12;6203;345;5858
2013-08-13;6211;345;5866
