date;followers;following;fans
2013-11-22;1438;414;1024
2013-11-24;1444;413;1031
2013-11-26;1452;411;1041
2013-11-28;1457;410;1047
2013-11-30;1472;409;1063
2013-12-02;1483;409;1074
2013-12-04;1496;409;1087
2013-12-06;1509;409;1100
2013-12-08;1514;409;1105
2013-12-10;1531;409;1122
2013-12-12;1545;409;1136
2013-12-14;1562;408;1154
2013-12-16;1583;408;1175
2013-12-18;1600;409;1191
2013-12-20;1612;409;1203
2013-12-22;1619;410;1209
2013-12-24;1625;410;1215
2013-12-26;1636;410;1226
2013-12-28;1649;410;1239
2013-12-30;1663;410;1253
2014-01-01;1681;412;1269
2014-01-03;1718;411;1307
2014-01-05;1740;411;1329
2014-01-07;1758;411;1347
2014-01-09;1766;411;1355
2014-01-11;1788;410;1378
2014-01-13;1794;411;1383
2014-01-15;1797;411;1386
2014-01-17;1813;411;1402
2014-01-19;1828;411;1417
2014-01-21;1837;413;1424
2014-01-23;1856;412;1444
2014-01-25;1868;412;1456
2014-01-27;1875;412;1463
2014-01-30;1896;412;1484
2014-02-01;1913;411;1502
2014-02-03;1937;411;1526
2014-02-05;1946;411;1535
2014-02-07;1951;411;1540
2014-02-09;1957;411;1546
2014-02-11;1971;411;1560
2014-02-13;1970;412;1558
2014-02-15;1974;414;1560
2014-02-17;1987;414;1573
2014-02-19;1992;415;1577
2014-02-21;2002;415;1587
2014-02-23;2017;413;1604
2014-02-25;2024;413;1611
2014-02-27;2038;413;1625
2014-03-01;2062;414;1648
2014-03-03;2085;414;1671
2014-03-05;2101;416;1685
2014-03-07;2122;415;1707
2014-03-09;2136;414;1722
2014-03-11;2214;799;1415
2014-03-13;2314;797;1517
2014-03-15;2387;802;1585
2014-03-17;2414;803;1611
2014-03-19;2423;413;2010
2014-03-21;2692;1394;1298
2014-03-23;2748;1387;1361
2014-03-25;3076;412;2664
2014-03-26;3101;415;2686
2014-03-27;3120;417;2703
2014-03-29;3128;418;2710
2014-03-30;3131;418;2713
2014-03-31;3129;419;2710
2014-04-02;3125;421;2704
2014-04-03;3129;422;2707
2014-04-05;3127;423;2704
2014-04-06;3134;423;2711
2014-04-07;3141;423;2718
2014-04-09;3141;425;2716
2014-04-10;3145;424;2721
2014-04-12;3151;424;2727
2014-04-13;3155;425;2730
2014-04-14;3169;426;2743
2014-04-16;3183;424;2759
2014-04-17;3186;424;2762
2014-04-18;3190;424;2766
2014-04-20;3198;424;2774
2014-04-21;3199;424;2775
2014-04-22;3206;425;2781
2014-04-24;3213;425;2788
2014-04-25;3224;425;2799
2014-04-26;3222;424;2798
2014-04-28;3229;424;2805
2014-04-29;3235;426;2809
2014-04-30;3232;426;2806
2014-05-02;3262;426;2836
2014-05-03;3267;426;2841
2014-05-04;3280;426;2854
