date;followers;following;fans
2014-02-10;1738;417;1321
2014-02-12;1748;340;1408
2014-02-14;1749;340;1409
2014-02-16;1754;342;1412
2014-02-18;1754;342;1412
2014-02-20;1760;342;1418
2014-02-22;1764;348;1416
2014-02-24;1771;351;1420
2014-02-26;1770;353;1417
2014-02-28;1773;355;1418
2014-03-02;1778;352;1426
2014-03-04;1781;352;1429
2014-03-06;1780;352;1428
2014-03-08;1784;355;1429
2014-03-10;1792;357;1435
2014-03-12;1793;358;1435
2014-03-14;1795;360;1435
2014-03-16;1795;362;1433
2014-03-18;1798;362;1436
2014-03-20;1803;362;1441
2014-03-22;1810;362;1448
2014-03-24;1813;362;1451
2014-03-26;1814;362;1452
2014-03-28;1815;362;1453
2014-03-30;1814;362;1452
2014-04-01;1818;362;1456
2014-04-03;1817;362;1455
2014-04-05;1819;362;1457
2014-04-07;1819;362;1457
2014-04-09;1824;367;1457
2014-04-11;1826;367;1459
2014-04-13;1827;368;1459
2014-04-15;1833;361;1472
2014-04-17;1837;362;1475
2014-04-19;1842;363;1479
2014-04-21;1843;364;1479
2014-04-23;1844;363;1481
2014-04-25;1847;363;1484
2014-04-27;1847;363;1484
2014-04-29;1850;366;1484
2014-05-01;1854;366;1488
2014-05-03;1854;366;1488
2014-05-05;1855;367;1488
