date;followers;following;fans
2014-01-09;1407;407;1000
2014-01-11;1423;408;1015
2014-01-13;1435;408;1027
2014-01-15;1452;410;1042
2014-01-17;1458;411;1047
2014-01-19;1460;412;1048
2014-01-21;1465;413;1052
2014-01-23;1466;412;1054
2014-01-25;1475;412;1063
2014-01-27;1485;413;1072
2014-01-30;1499;415;1084
2014-02-01;1510;416;1094
2014-02-03;1518;414;1104
2014-02-05;1530;419;1111
2014-02-07;1538;422;1116
2014-02-09;1550;421;1129
2014-02-11;1557;421;1136
2014-02-13;1563;416;1147
2014-02-15;1567;416;1151
2014-02-17;1579;417;1162
2014-02-19;1589;414;1175
2014-02-21;1590;412;1178
2014-02-23;1609;413;1196
2014-02-25;1615;414;1201
2014-02-27;1619;413;1206
2014-03-01;1632;415;1217
2014-03-03;1637;416;1221
2014-03-05;1634;416;1218
2014-03-07;1637;419;1218
2014-03-09;1642;419;1223
2014-03-11;1646;419;1227
2014-03-13;1651;419;1232
2014-03-15;1656;413;1243
2014-03-17;1672;414;1258
2014-03-19;1688;415;1273
2014-03-21;1710;416;1294
2014-03-23;1732;416;1316
2014-03-25;1733;415;1318
2014-03-27;1735;414;1321
2014-03-29;1742;414;1328
2014-03-31;1745;414;1331
2014-04-02;1760;416;1344
2014-04-04;1765;417;1348
2014-04-06;1768;418;1350
2014-04-08;1774;417;1357
2014-04-10;1779;417;1362
2014-04-12;1787;421;1366
2014-04-14;1798;423;1375
2014-04-16;1794;423;1371
2014-04-18;1800;426;1374
2014-04-20;1802;427;1375
2014-04-22;1813;427;1386
2014-04-24;1823;428;1395
2014-04-26;1837;428;1409
2014-04-28;1849;426;1423
2014-04-30;1851;424;1427
2014-05-02;1859;423;1436
2014-05-04;1872;427;1445
