date;followers;following;fans
2013-09-17;1896;879;1017
2013-10-06;1800;781;1019
2013-10-08;1782;774;1008
2013-10-14;1709;568;1141
2013-10-16;1709;587;1122
2013-10-18;1722;499;1223
2013-10-20;1704;479;1225
2013-10-22;1684;479;1205
2013-10-24;1674;476;1198
2013-10-26;1670;482;1188
2013-10-28;1657;483;1174
2013-10-30;1651;483;1168
2013-11-01;1643;486;1157
2013-11-03;1633;484;1149
2013-11-05;1630;486;1144
2013-11-07;1629;497;1132
2013-11-09;1639;504;1135
2013-11-11;1632;510;1122
2013-11-13;1632;516;1116
2013-11-15;1629;522;1107
2013-11-17;1620;518;1102
2013-11-19;1598;455;1143
2013-11-21;1593;456;1137
2013-11-23;1587;457;1130
2013-11-25;1575;461;1114
2013-11-27;1574;464;1110
2013-11-29;1564;463;1101
2013-12-01;1559;464;1095
2013-12-03;1559;456;1103
2013-12-05;1563;462;1101
2013-12-07;1566;465;1101
2013-12-09;1561;462;1099
2013-12-11;1552;462;1090
2013-12-13;1552;450;1102
2013-12-15;1550;451;1099
2013-12-17;1545;451;1094
2013-12-19;1539;451;1088
2013-12-21;1540;449;1091
2013-12-23;1535;449;1086
2013-12-25;1526;204;1322
2013-12-27;1561;205;1356
2013-12-29;1541;204;1337
2013-12-31;1539;204;1335
2014-01-02;1532;204;1328
2014-01-04;1524;206;1318
2014-01-06;1517;206;1311
2014-01-08;1507;207;1300
2014-01-10;1503;206;1297
2014-01-12;1498;208;1290
2014-01-14;1494;208;1286
2014-01-16;1487;207;1280
2014-01-18;1488;210;1278
2014-01-20;1481;210;1271
2014-01-22;1479;214;1265
2014-01-24;1474;221;1253
2014-01-26;1475;226;1249
2014-01-28;1470;224;1246
2014-01-30;1464;229;1235
2014-02-01;1464;231;1233
2014-02-03;1460;232;1228
2014-02-05;1458;234;1224
2014-02-07;1455;232;1223
2014-02-09;1452;237;1215
2014-02-11;1452;243;1209
2014-02-13;1457;260;1197
2014-02-15;1454;264;1190
2014-02-17;1453;261;1192
2014-02-19;1453;266;1187
2014-02-21;1455;267;1188
2014-02-23;1452;264;1188
2014-02-25;1452;272;1180
2014-02-27;1446;273;1173
2014-03-01;1446;271;1175
2014-03-03;1447;274;1173
2014-03-05;1441;272;1169
2014-03-07;1440;273;1167
2014-03-09;1436;271;1165
2014-03-11;1432;272;1160
2014-03-13;1437;277;1160
2014-03-15;1437;276;1161
2014-03-17;1438;280;1158
2014-03-19;1435;281;1154
2014-03-21;1428;279;1149
2014-03-23;1424;277;1147
2014-03-25;1424;274;1150
2014-03-27;1423;272;1151
2014-03-29;1424;273;1151
2014-03-31;1421;275;1146
2014-04-02;1421;275;1146
2014-04-04;1421;276;1145
2014-04-06;1419;276;1143
2014-04-08;1418;276;1142
2014-04-10;1418;277;1141
2014-04-12;1414;275;1139
2014-04-14;1412;275;1137
2014-04-16;1408;274;1134
2014-04-18;1408;275;1133
2014-04-20;1408;277;1131
2014-04-22;1403;277;1126
2014-04-24;1401;276;1125
2014-04-26;1400;277;1123
2014-04-28;1400;283;1117
2014-04-30;1397;283;1114
2014-05-02;1394;281;1113
2014-05-04;1395;281;1114
