date;followers;following;fans
2013-07-29;1081;49;1032
2013-07-31;1084;49;1035
2013-08-02;1086;49;1037
2013-08-04;1088;49;1039
2013-08-06;1091;49;1042
2013-08-08;1094;49;1045
2013-08-10;1095;49;1046
2013-08-12;1097;49;1048
2013-08-14;1100;53;1047
2013-08-16;1108;55;1053
2013-08-18;1112;55;1057
2013-08-20;1113;55;1058
2013-08-22;1118;55;1063
2013-08-24;1119;55;1064
2013-08-26;1122;55;1067
2013-08-28;1124;55;1069
2013-08-30;1126;55;1071
2013-09-01;1128;55;1073
2013-09-03;1142;55;1087
2013-09-05;1140;55;1085
2013-09-07;1140;55;1085
2013-09-09;1141;55;1086
2013-09-11;1144;55;1089
2013-09-13;1148;55;1093
2013-09-15;1151;56;1095
2013-09-17;1150;56;1094
2013-09-19;1150;56;1094
2013-09-21;1149;56;1093
2013-09-23;1150;56;1094
2013-09-25;1153;56;1097
2013-09-27;1154;56;1098
2013-09-29;1151;56;1095
2013-10-01;1153;56;1097
2013-10-03;1152;56;1096
2013-10-05;1153;56;1097
2013-10-07;1153;56;1097
2013-10-09;1153;56;1097
2013-10-11;1155;56;1099
2013-10-13;1157;56;1101
2013-10-15;1159;56;1103
2013-10-17;1158;56;1102
2013-10-19;1160;57;1103
2013-10-21;1160;57;1103
2013-10-23;1162;57;1105
2013-10-25;1164;57;1107
2013-10-27;1164;57;1107
2013-10-28;1168;57;1111
2013-10-31;1167;58;1109
2013-11-02;1170;58;1112
2013-11-04;1170;58;1112
2013-11-06;1174;58;1116
2013-11-08;1175;58;1117
2013-11-10;1176;58;1118
2013-11-12;1176;58;1118
2013-11-14;1177;58;1119
2013-11-16;1175;58;1117
2013-11-18;1176;58;1118
2013-11-20;1177;58;1119
2013-11-22;1178;58;1120
2013-11-23;1177;58;1119
2013-11-26;1183;58;1125
2013-11-28;1185;58;1127
2013-11-30;1185;58;1127
2013-12-02;1185;58;1127
2013-12-04;1187;58;1129
2013-12-06;1190;58;1132
2013-12-08;1192;58;1134
2013-12-10;1194;58;1136
2013-12-12;1196;58;1138
2013-12-14;1194;58;1136
2013-12-16;1196;58;1138
2013-12-18;1197;58;1139
2013-12-20;1197;58;1139
2013-12-22;1202;58;1144
2013-12-24;1205;58;1147
2013-12-26;1206;58;1148
2013-12-28;1205;58;1147
2013-12-30;1209;58;1151
2014-01-01;1210;58;1152
2014-01-03;1213;58;1155
2014-01-05;1218;58;1160
2014-01-07;1221;58;1163
2014-01-09;1225;58;1167
2014-01-11;1225;58;1167
2014-01-13;1228;58;1170
2014-01-15;1232;58;1174
2014-01-17;1233;58;1175
2014-01-19;1238;58;1180
2014-01-21;1244;58;1186
2014-01-23;1245;58;1187
2014-01-25;1247;58;1189
2014-01-27;1253;58;1195
2014-01-29;1265;58;1207
2014-02-01;1268;59;1209
2014-02-03;1271;59;1212
2014-02-05;1272;59;1213
2014-02-07;1274;59;1215
2014-02-09;1276;59;1217
2014-02-11;1279;59;1220
2014-02-13;1281;59;1222
2014-02-15;1285;60;1225
2014-02-17;1284;60;1224
2014-02-19;1285;61;1224
2014-02-21;1286;61;1225
2014-02-23;1288;61;1227
2014-02-25;1290;61;1229
2014-02-27;1289;61;1228
2014-03-01;1286;61;1225
2014-03-03;1288;61;1227
2014-03-05;1289;61;1228
2014-03-07;1295;61;1234
2014-03-09;1298;61;1237
2014-03-11;1303;62;1241
2014-03-13;1306;62;1244
2014-03-15;1306;62;1244
2014-03-17;1306;62;1244
2014-03-19;1304;62;1242
2014-03-21;1306;62;1244
2014-03-23;1303;62;1241
2014-03-25;1305;62;1243
2014-03-27;1307;62;1245
2014-03-29;1310;62;1248
2014-03-31;1312;62;1250
2014-04-02;1317;62;1255
2014-04-04;1318;62;1256
2014-04-06;1318;62;1256
2014-04-08;1319;62;1257
2014-04-10;1323;62;1261
2014-04-12;1324;62;1262
2014-04-14;1325;62;1263
2014-04-16;1330;62;1268
2014-04-18;1330;62;1268
2014-04-20;1330;62;1268
2014-04-22;1329;62;1267
2014-04-24;1329;62;1267
2014-04-26;1334;62;1272
2014-04-28;1338;62;1276
2014-04-30;1343;62;1281
2014-05-02;1347;62;1285
2014-05-04;1349;62;1287
