date;followers;following;fans
2014-01-05;1426;420;1006
2014-01-07;1434;422;1012
2014-01-09;1436;423;1013
2014-01-11;1436;423;1013
2014-01-13;1434;424;1010
2014-01-15;1437;424;1013
2014-01-17;1441;424;1017
2014-01-19;1444;425;1019
2014-01-21;1453;424;1029
2014-01-23;1458;425;1033
2014-01-25;1470;425;1045
2014-01-27;1477;425;1052
2014-01-30;1483;424;1059
2014-02-01;1492;424;1068
2014-02-03;1491;424;1067
2014-02-05;1500;424;1076
2014-02-07;1513;424;1089
2014-02-09;1519;424;1095
2014-02-11;1526;424;1102
2014-02-13;1529;425;1104
2014-02-15;1534;426;1108
2014-02-17;1539;427;1112
2014-02-19;1545;428;1117
2014-02-21;1548;428;1120
2014-02-23;1554;428;1126
2014-02-25;1557;428;1129
2014-02-27;1562;428;1134
2014-03-01;1571;428;1143
2014-03-03;1575;428;1147
2014-03-05;1583;428;1155
2014-03-07;1598;429;1169
2014-03-09;1603;430;1173
2014-03-11;1605;430;1175
2014-03-13;1612;430;1182
2014-03-15;1624;430;1194
2014-03-17;1628;430;1198
2014-03-19;1634;430;1204
2014-03-21;1638;432;1206
2014-03-23;1645;434;1211
2014-03-25;1646;434;1212
2014-03-27;1650;436;1214
2014-03-29;1658;437;1221
2014-03-31;1659;437;1222
2014-04-02;1659;437;1222
2014-04-04;1667;439;1228
2014-04-06;1668;439;1229
2014-04-08;1670;441;1229
2014-04-10;1675;444;1231
2014-04-12;1677;443;1234
2014-04-14;1679;444;1235
2014-04-16;1690;449;1241
2014-04-18;1700;454;1246
2014-04-20;1705;454;1251
2014-04-22;1707;456;1251
2014-04-24;1712;457;1255
2014-04-26;1711;457;1254
2014-04-28;1715;457;1258
2014-04-30;1718;458;1260
2014-05-02;1722;456;1266
2014-05-04;1729;457;1272
