date;followers;following;fans
2013-04-17;100856;22021;78835
2013-04-18;100848;22027;78821
2013-04-19;99899;22030;77869
2013-04-20;98200;22035;76165
2013-04-21;97116;22032;75084
2013-04-22;95643;22043;73600
2013-04-23;92106;22041;70065
2013-04-24;74460;22037;52423
2013-04-25;73599;22042;51557
2013-04-26;72744;22041;50703
2013-04-27;72708;22039;50669
2013-04-28;73791;22041;51750
2013-04-29;74266;22046;52220
2013-04-30;74008;22050;51958
2013-05-01;75758;22049;53709
2013-05-02;76121;22055;54066
2013-05-03;77594;22052;55542
2013-05-04;78924;22053;56871
2013-05-05;78894;22046;56848
2013-05-06;79460;22042;57418
2013-05-07;78875;22043;56832
2013-05-08;78621;22050;56571
2013-05-09;78223;22052;56171
2013-05-10;78144;22055;56089
2013-05-11;77709;22044;55665
2013-05-12;77397;22043;55354
2013-05-13;77098;22044;55054
2013-05-14;76843;22053;54790
2013-05-15;76435;17437;58998
2013-05-16;76087;12520;63567
2013-05-17;75832;12521;63311
2013-05-18;75114;12523;62591
2013-05-19;74768;12523;62245
2013-05-20;74497;12449;62048
2013-05-21;71936;11730;60206
2013-05-22;71512;11460;60052
2013-05-23;71174;11426;59748
2013-05-24;70847;10868;59979
2013-05-25;69680;10864;58816
2013-05-26;69618;10868;58750
2013-05-27;69583;10881;58702
2013-05-28;69393;10615;58778
2013-05-29;68048;10615;57433
2013-05-30;68004;10591;57413
2013-05-31;67884;10589;57295
2013-06-01;67538;10590;56948
2013-06-02;66833;10588;56245
2013-06-03;66209;10588;55621
2013-06-04;66188;10585;55603
2013-06-05;66183;10589;55594
2013-06-06;66213;10590;55623
2013-06-07;66301;10584;55717
2013-06-08;66305;10584;55721
2013-06-09;66313;10584;55729
2013-06-10;66285;10362;55923
2013-06-11;66291;10369;55922
2013-06-20;47781;7667;40114
2013-06-21;47474;7668;39806
2013-06-22;47456;7665;39791
2013-06-23;47444;7666;39778
2013-06-24;47424;6725;40699
2013-06-25;47414;6726;40688
2013-06-26;47406;6728;40678
2013-06-27;47396;6730;40666
2013-06-28;47387;6734;40653
2013-06-29;47376;6734;40642
2013-06-30;47364;6107;41257
2013-07-01;47349;6111;41238
2013-07-02;47341;6112;41229
2013-07-03;47318;5984;41334
2013-07-04;47306;5983;41323
2013-07-05;47304;5984;41320
2013-07-06;47272;5987;41285
2013-07-07;47269;5990;41279
2013-07-08;47258;5993;41265
2013-07-09;47250;5889;41361
2013-07-10;47234;935;46299
2013-07-11;47201;58;47143
2013-07-12;47182;60;47122
2013-07-13;47165;31;47134
2013-07-14;47157;43;47114
2013-07-15;47167;121;47046
2013-07-16;43969;35;43934
2013-07-17;43921;35;43886
2013-07-18;43521;35;43486
2013-07-19;43513;35;43478
2013-07-20;43498;35;43463
2013-07-21;43485;38;43447
2013-07-22;43481;37;43444
2013-07-23;43476;25;43451
2013-07-24;43468;26;43442
2013-07-25;43458;26;43432
2013-07-26;43435;27;43408
2013-07-27;42946;27;42919
2013-07-28;38635;27;38608
2013-07-29;38362;27;38335
2013-07-30;38351;26;38325
2013-07-31;38345;26;38319
2013-08-01;38330;28;38302
2013-08-02;38328;30;38298
2013-08-03;38339;177;38162
2013-08-04;38336;209;38127
2013-08-05;38323;212;38111
2013-08-06;38317;212;38105
2013-08-07;38312;213;38099
2013-08-08;38303;213;38090
2013-08-09;38296;215;38081
2013-08-10;38290;223;38067
2013-08-11;38283;224;38059
2013-08-12;38276;230;38046
