date;followers;following;fans
2013-11-22;3023;1860;1163
2013-11-24;3024;1859;1165
2013-11-26;3025;1860;1165
2013-11-28;3030;1860;1170
2013-11-30;3033;1860;1173
2013-12-02;3037;1860;1177
2013-12-04;3035;1861;1174
2013-12-06;3037;1861;1176
2013-12-08;3041;1861;1180
2013-12-10;3039;1861;1178
2013-12-12;3042;1861;1181
2013-12-14;3045;1861;1184
2013-12-16;3048;1861;1187
2013-12-18;3050;1861;1189
2013-12-20;3052;1861;1191
2013-12-22;3052;1861;1191
2013-12-24;3051;1861;1190
2013-12-26;3051;1861;1190
2013-12-28;3051;1861;1190
2013-12-30;3057;1860;1197
2014-01-01;3061;1860;1201
2014-01-03;3060;1860;1200
2014-01-05;3067;1860;1207
2014-01-07;3066;1860;1206
2014-01-09;3067;1860;1207
2014-01-11;3069;1860;1209
2014-01-13;3071;1860;1211
2014-01-15;3072;1860;1212
2014-01-17;3077;1860;1217
2014-01-19;3079;1860;1219
2014-01-21;3078;1860;1218
2014-01-23;3082;1860;1222
2014-01-25;3084;1860;1224
2014-01-27;3087;1859;1228
2014-01-30;3082;1859;1223
2014-02-01;3082;1858;1224
2014-02-03;3082;1858;1224
2014-02-05;3083;1857;1226
2014-02-07;3083;1858;1225
2014-02-09;3085;1857;1228
2014-02-11;3087;1857;1230
2014-02-13;3086;1856;1230
2014-02-15;3087;1855;1232
2014-02-17;3091;1854;1237
2014-02-19;3092;1854;1238
2014-02-21;3092;1854;1238
2014-02-23;3096;1854;1242
2014-02-25;3099;1854;1245
2014-02-27;3099;1859;1240
2014-03-01;3101;1859;1242
2014-03-03;3108;1858;1250
2014-03-05;3111;1858;1253
2014-03-07;3113;1858;1255
2014-03-09;3114;1858;1256
2014-03-11;3115;1860;1255
2014-03-13;3121;1860;1261
2014-03-15;3126;1860;1266
2014-03-17;3132;1860;1272
2014-03-19;3130;1859;1271
2014-03-21;3130;1860;1270
2014-03-23;3131;1860;1271
2014-03-25;3135;1860;1275
2014-03-27;3140;1860;1280
2014-03-29;3143;1860;1283
2014-03-31;3146;1860;1286
2014-04-02;3150;1859;1291
2014-04-04;3150;1859;1291
2014-04-06;3150;1858;1292
2014-04-08;3149;1858;1291
2014-04-10;3154;1858;1296
2014-04-12;3155;1858;1297
2014-04-14;3153;1858;1295
2014-04-16;3157;1858;1299
2014-04-18;3159;1858;1301
2014-04-20;3163;1858;1305
2014-04-22;3162;1858;1304
2014-04-24;3166;1858;1308
2014-04-26;3172;1857;1315
2014-04-28;3180;1858;1322
2014-04-30;3182;1859;1323
2014-05-02;3185;1858;1327
2014-05-04;3191;1858;1333
